# RTT Statistics — External P&O MPPT
# mean_ms,std_ms,max_ms,p99_ms,n_samples
# 22.920,9.447,65.141,58.026,172
sample_index,rtt_ms
0,13.202
1,23.604
2,37.857
3,20.605
4,19.186
5,65.141
6,59.592
7,14.476
8,45.214
9,15.240
10,44.506
11,18.336
12,35.185
13,29.805
14,18.584
15,19.151
16,15.851
17,27.666
18,16.216
19,15.914
20,13.417
21,25.985
22,15.360
23,18.907
24,17.854
25,37.355
26,14.825
27,34.599
28,30.817
29,27.572
30,15.516
31,15.465
32,18.055
33,25.942
34,16.331
35,19.518
36,17.519
37,31.329
38,15.125
39,18.170
40,18.074
41,13.797
42,29.948
43,31.646
44,18.944
45,14.587
46,28.578
47,32.664
48,17.990
49,25.433
50,25.879
51,21.793
52,26.904
53,16.920
54,27.927
55,30.693
56,30.090
57,28.924
58,15.722
59,31.942
60,17.892
61,16.972
62,25.430
63,19.691
64,15.884
65,16.850
66,15.950
67,28.230
68,19.793
69,14.753
70,15.801
71,16.020
72,29.780
73,22.846
74,18.759
75,17.265
76,31.220
77,19.901
78,20.825
79,15.910
80,15.831
81,25.811
82,21.284
83,18.369
84,14.933
85,16.082
86,25.631
87,17.309
88,18.197
89,12.821
90,25.971
91,16.916
92,36.902
93,14.805
94,24.771
95,38.112
96,14.573
97,24.816
98,13.600
99,37.048
100,17.089
101,27.823
102,21.066
103,16.115
104,16.169
105,32.282
106,20.812
107,35.560
108,24.153
109,21.146
110,18.288
111,13.767
112,13.361
113,21.586
114,20.003
115,35.712
116,26.373
117,57.386
118,13.902
119,29.734
120,19.856
121,16.953
122,14.232
123,21.970
124,15.739
125,35.204
126,13.757
127,27.896
128,27.628
129,18.723
130,46.373
131,33.185
132,15.594
133,13.164
134,36.320
135,18.529
136,13.213
137,16.354
138,23.485
139,30.177
140,14.261
141,24.324
142,13.991
143,20.559
144,36.141
145,24.763
146,14.663
147,15.805
148,13.947
149,12.731
150,26.700
151,16.583
152,14.739
153,41.296
154,13.602
155,18.166
156,21.028
157,17.231
158,26.544
159,23.730
160,17.955
161,41.857
162,14.697
163,49.977
164,21.222
165,30.056
166,18.626
167,13.016
168,27.797
169,18.208
170,16.171
171,14.160
