Time(s),V_pv_instant(V),V_mppt(V),I_pv(A),P_pv(W),P_ref(W),V_out(V),I_L(A),Duty
0.0002,20.7162,20.7162,2.67591,55.4348,85.0695,24.1835,2.67591,0.3
0.0004,11.9943,11.9943,5,59.9717,85.0695,24.4366,6.7113,0.566667
0.0006,11.553,11.553,3.17494,36.6802,85.0695,24.2164,3.17494,0.416667
0.0008,20.1917,20.1917,3.35422,67.7272,85.0695,24.2308,3.35422,0.266667
0.001,20.6594,20.6594,2.59762,53.6652,85.0695,24.18,2.59762,0.116667
0.0012,9.65982,9.65982,5,48.2991,85.0695,24.4461,7.16763,0.633274
0.0014,11.87,11.87,2.45906,29.1891,85.0695,24.1692,2.45906,0.416667
0.0016,20.0616,20.0616,3.55197,71.2583,85.0695,24.243,3.55197,0.304758
0.0018,19.0102,19.0102,4.36599,82.9985,85.0695,24.2993,4.36599,0.266667
0.002,18.3404,18.3404,4.60346,84.4293,85.0695,24.3124,4.60346,0.266667
0.0022,10.4113,10.4113,5,52.0564,85.0695,24.3875,5.8419,0.483274
0.0024,13.1389,13.1389,3.66705,48.1808,85.0695,24.2455,3.66705,0.459582
0.0026,20.2124,20.2124,3.27883,66.273,85.0695,24.2255,3.27883,0.221885
0.0028,19.2256,19.2256,4.24137,81.543,85.0695,24.2885,4.24137,0.266667
0.003,16.477,16.477,5,82.385,85.0695,24.3539,5.19008,0.341667
0.0032,4.82198,4.82198,5,24.1099,85.0695,24.3682,5.82463,0.609323
0.0034,20.7434,20.7434,1.98665,41.2099,85.0695,24.1358,1.98665,0.309582
0.0036,19.8598,19.8598,3.74679,74.4106,85.0695,24.2548,3.74679,0.285062
0.0038,18.8559,18.8559,4.44423,83.7999,85.0695,24.3014,4.44423,0.266667
0.004,19.4783,19.4783,3.91111,76.1816,85.0695,24.2692,3.91111,0.191667
0.0042,12.9045,12.9045,5,64.5225,85.0695,24.4014,5.98258,0.459323
0.0044,14.6047,14.6047,3.63859,53.1405,85.0695,24.2495,3.63859,0.372802
0.0046,19.3093,19.3093,4.22083,81.5013,85.0695,24.2895,4.22083,0.290886
0.0048,18.4451,18.4451,4.58541,84.5785,85.0695,24.3156,4.58541,0.266667
0.005,17.5265,17.5265,4.80621,84.2358,85.0695,24.3302,4.80621,0.293596
0.0052,17.0436,17.0436,4.79514,81.7263,85.0695,24.3294,4.79514,0.309323
