# RTT Statistics — External P&O MPPT
# mean_ms,std_ms,max_ms,p99_ms,n_samples
# 24.976,10.663,61.807,52.338,172
sample_index,rtt_ms
0,33.097
1,45.042
2,29.872
3,15.351
4,39.894
5,37.804
6,12.788
7,26.226
8,17.514
9,25.289
10,12.613
11,14.517
12,46.153
13,16.950
14,13.984
15,33.379
16,14.149
17,19.807
18,14.213
19,18.862
20,46.736
21,18.118
22,50.416
23,15.291
24,20.931
25,16.812
26,50.592
27,33.734
28,17.675
29,16.764
30,29.297
31,19.469
32,33.995
33,17.519
34,25.825
35,21.528
36,18.055
37,16.697
38,17.782
39,28.805
40,20.967
41,17.765
42,46.087
43,22.453
44,19.902
45,16.549
46,14.385
47,26.265
48,18.615
49,25.827
50,16.996
51,23.143
52,16.088
53,22.109
54,16.404
55,47.359
56,14.887
57,20.915
58,17.867
59,15.735
60,27.627
61,20.933
62,35.840
63,15.825
64,47.213
65,17.826
66,16.488
67,15.906
68,54.929
69,16.189
70,18.452
71,28.969
72,38.738
73,20.065
74,17.648
75,29.329
76,36.260
77,15.916
78,18.941
79,38.853
80,17.024
81,21.313
82,18.937
83,29.817
84,19.161
85,17.533
86,51.004
87,14.170
88,17.032
89,33.837
90,39.548
91,15.910
92,15.744
93,18.074
94,17.024
95,26.064
96,17.851
97,19.618
98,24.838
99,22.273
100,15.279
101,13.816
102,31.089
103,17.072
104,19.449
105,40.066
106,15.146
107,26.082
108,61.807
109,16.561
110,36.446
111,25.936
112,27.277
113,19.780
114,19.911
115,28.930
116,38.809
117,42.419
118,21.767
119,16.296
120,21.237
121,24.496
122,34.090
123,22.311
124,45.621
125,20.847
126,32.322
127,25.683
128,26.435
129,22.816
130,43.520
131,22.078
132,17.150
133,29.951
134,28.553
135,28.457
136,13.727
137,15.333
138,31.081
139,20.607
140,14.619
141,22.665
142,27.370
143,19.586
144,18.567
145,40.974
146,18.347
147,26.526
148,30.783
149,43.512
150,15.617
151,37.964
152,19.898
153,28.178
154,41.824
155,20.090
156,17.840
157,45.818
158,22.259
159,15.674
160,36.855
161,17.187
162,13.129
163,16.639
164,12.511
165,45.441
166,14.365
167,51.280
168,14.802
169,20.440
170,17.268
171,15.082
