Time(s),V_pv_instant(V),V_mppt(V),I_pv(A),P_pv(W),P_ref(W),V_out(V),I_L(A),Duty
0.0002,20.7162,20.7162,2.67591,55.4348,85.0695,24.1835,2.67591,0.3
0.0004,11.9943,11.9943,5,59.9717,85.0695,24.4366,6.7113,0.566667
0.0006,11.553,11.553,3.17494,36.6802,85.0695,24.2164,3.17494,0.416667
0.0008,20.1917,20.1917,3.35422,67.7272,85.0695,24.2308,3.35422,0.266667
0.001,20.6594,20.6594,2.59762,53.6652,85.0695,24.18,2.59762,0.116667
0.0012,12.2196,12.2196,5,61.0979,85.0695,24.4327,6.70762,0.566667
0.0014,11.3112,11.3112,3.22613,36.4913,85.0695,24.2202,3.22613,0.418808
0.0016,20.2136,20.2136,3.3278,67.2669,85.0695,24.2284,3.3278,0.266667
0.0018,19.1891,19.1891,4.26329,81.8086,85.0695,24.2922,4.26329,0.266667
0.002,19.2335,19.2335,4.12185,79.2778,85.0695,24.2792,4.12185,0.217681
0.0022,14.0499,14.0499,5,70.2497,85.0695,24.3848,5.68991,0.416667
0.0024,17.5948,17.5948,3.71006,65.2777,85.0695,24.2544,3.71006,0.296464
0.0026,19.9662,19.9662,3.51291,70.1396,85.0695,24.2411,3.51291,0.191667
0.0028,19.051,19.051,4.34695,82.8137,85.0695,24.2973,4.34695,0.266667
0.003,18.298,18.298,4.62244,84.5816,85.0695,24.315,4.62244,0.269192
0.0032,18.1837,18.1837,4.60007,83.6466,85.0695,24.3136,4.60007,0.26711
0.0034,19.4823,19.4823,3.90062,75.993,85.0695,24.2647,3.90062,0.190515
0.0036,19.8498,19.8498,3.61122,71.682,85.0695,24.2456,3.61122,0.182545
0.0038,18.9697,18.9697,4.3905,83.2864,85.0695,24.2986,4.3905,0.266738
0.004,17.6519,17.6519,4.83708,85.3838,85.0695,24.3322,4.83708,0.294947
0.0042,19.4303,19.4303,3.91445,76.059,85.0695,24.2702,3.91445,0.192331
0.0044,18.8269,18.8269,4.43824,83.5583,85.0695,24.3054,4.43824,0.261779
0.0046,16.4812,16.4812,5,82.4062,85.0695,24.3496,5.10491,0.332545
0.0048,18.287,18.287,4.30993,78.8156,85.0695,24.2968,4.30993,0.267167
0.005,18.8678,18.8678,4.3658,82.373,85.0695,24.3008,4.3658,0.246568
0.0052,18.4769,18.4769,4.54634,84.0023,85.0695,24.3129,4.54634,0.260322
