# RTT Statistics — External P&O MPPT
# mean_ms,std_ms,max_ms,p99_ms,n_samples
# 25.450,10.272,70.206,51.520,172
sample_index,rtt_ms
0,41.456
1,35.740
2,43.159
3,17.390
4,15.237
5,30.502
6,13.977
7,18.224
8,28.521
9,31.919
10,16.106
11,18.480
12,17.681
13,31.727
14,30.882
15,35.624
16,28.879
17,14.265
18,15.755
19,19.584
20,34.123
21,18.084
22,30.596
23,15.200
24,27.885
25,39.311
26,14.202
27,26.568
28,14.615
29,19.954
30,33.084
31,23.433
32,16.866
33,18.161
34,30.790
35,34.926
36,43.162
37,18.960
38,29.112
39,18.510
40,30.729
41,15.093
42,25.807
43,16.864
44,16.847
45,29.078
46,26.814
47,19.704
48,38.538
49,15.392
50,46.786
51,19.005
52,16.850
53,16.826
54,52.884
55,20.738
56,19.898
57,28.835
58,18.973
59,19.947
60,50.963
61,28.726
62,18.737
63,16.865
64,17.381
65,27.914
66,23.124
67,18.945
68,16.855
69,24.169
70,16.909
71,17.950
72,33.861
73,28.069
74,18.789
75,19.827
76,16.711
77,16.838
78,35.940
79,17.967
80,20.016
81,16.733
82,14.842
83,25.979
84,16.898
85,19.926
86,15.802
87,14.139
88,41.834
89,13.334
90,29.670
91,45.002
92,14.576
93,16.932
94,28.431
95,70.206
96,27.864
97,20.965
98,18.822
99,43.347
100,18.695
101,39.581
102,36.978
103,18.460
104,36.461
105,29.176
106,44.841
107,15.941
108,40.751
109,21.049
110,34.538
111,48.994
112,37.885
113,24.840
114,30.223
115,16.523
116,14.656
117,22.633
118,41.105
119,17.087
120,40.570
121,17.411
122,16.138
123,31.609
124,24.447
125,18.999
126,13.699
127,31.541
128,45.446
129,48.789
130,29.517
131,22.575
132,15.508
133,30.155
134,15.930
135,38.426
136,14.781
137,29.806
138,38.868
139,18.194
140,25.677
141,18.039
142,23.059
143,18.597
144,25.556
145,16.813
146,15.249
147,13.258
148,44.117
149,29.249
150,14.265
151,34.536
152,37.957
153,43.537
154,32.451
155,19.470
156,16.413
157,26.646
158,20.486
159,15.232
160,15.348
161,15.404
162,23.660
163,19.144
164,25.812
165,16.270
166,25.363
167,19.415
168,32.168
169,25.593
170,15.452
171,30.185
