Time(s),V_pv_instant(V),V_mppt(V),I_pv(A),P_pv(W),P_ref(W),V_out(V),I_L(A),Duty
0.0002,20.7162,20.7162,2.67591,55.4348,85.0695,24.1835,2.67591,0.3
0.0004,11.9943,11.9943,5,59.9717,85.0695,24.4366,6.7113,0.566667
0.0006,11.553,11.553,3.17494,36.6802,85.0695,24.2164,3.17494,0.416667
0.0008,20.1917,20.1917,3.35422,67.7272,85.0695,24.2308,3.35422,0.266667
0.001,20.6594,20.6594,2.59762,53.6652,85.0695,24.18,2.59762,0.116667
0.0012,12.2196,12.2196,5,61.0979,85.0695,24.4327,6.70762,0.566667
0.0014,10.0108,10.0108,3.36421,33.6784,85.0695,24.2281,3.36421,0.450742
0.0016,19.653,19.653,4.02522,79.1077,85.0695,24.2703,4.02522,0.352186
0.0018,18.6112,18.6112,4.54137,84.5204,85.0695,24.3093,4.54137,0.266667
0.002,18.2231,18.2231,4.60288,83.8789,85.0695,24.3164,4.60288,0.266667
0.0022,13.1632,13.1632,5,65.816,85.0695,24.3686,5.50997,0.416667
0.0024,15.2236,15.2236,4.04743,61.6166,85.0695,24.2762,4.04743,0.38444
0.0026,19.9805,19.9805,3.50877,70.107,85.0695,24.2412,3.50877,0.202186
0.0028,19.0513,19.0513,4.34465,82.7713,85.0695,24.2974,4.34465,0.266667
0.003,16.2845,16.2845,5,81.4224,85.0695,24.3543,5.18477,0.341667
0.0032,18.281,18.281,4.2427,77.5608,85.0695,24.2905,4.2427,0.266667
0.0034,18.8119,18.8119,4.41263,83.0101,85.0695,24.299,4.41263,0.25366
0.0036,15.8678,15.8678,5,79.3392,85.0695,24.3537,5.23743,0.352186
0.0038,18.3871,18.3871,4.15325,76.3664,85.0695,24.2852,4.15325,0.266667
0.004,19.6853,19.6853,3.7618,74.052,85.0695,24.2588,3.7618,0.191667
0.0042,19.8151,19.8151,3.65551,72.4341,85.0695,24.2517,3.65551,0.191667
0.0044,19.8601,19.8601,3.61538,71.8018,85.0695,24.2496,3.61538,0.192965
0.0046,17.5511,17.5511,5,87.7554,85.0695,24.3479,5.08436,0.33868
0.0048,17.8607,17.8607,4.46292,79.711,85.0695,24.3073,4.46292,0.266667
0.005,17.8173,17.8173,4.78171,85.1971,85.0695,24.3286,4.78171,0.29612
0.0052,15.959,15.959,4.99382,79.6966,85.0695,24.342,4.99382,0.337715
