# RTT Statistics — External P&O MPPT
# mean_ms,std_ms,max_ms,p99_ms,n_samples
# 24.568,11.030,138.974,55.076,517
sample_index,rtt_ms
0,20.775
1,38.850
2,38.070
3,15.327
4,51.289
5,29.209
6,33.949
7,19.981
8,37.652
9,30.483
10,37.202
11,19.265
12,41.578
13,22.672
14,26.259
15,21.332
16,16.511
17,18.548
18,15.894
19,15.009
20,29.305
21,15.368
22,17.402
23,15.233
24,17.634
25,27.847
26,40.369
27,15.541
28,15.596
29,29.075
30,35.109
31,17.133
32,15.513
33,26.121
34,18.257
35,35.509
36,20.556
37,28.879
38,22.171
39,18.849
40,14.361
41,29.978
42,15.372
43,43.524
44,13.766
45,22.137
46,20.359
47,37.375
48,30.831
49,16.635
50,20.056
51,17.508
52,36.831
53,21.449
54,19.280
55,46.405
56,22.464
57,14.156
58,13.207
59,31.731
60,23.355
61,37.800
62,23.091
63,16.110
64,18.623
65,17.246
66,37.574
67,17.646
68,28.839
69,14.906
70,32.392
71,35.643
72,15.307
73,21.911
74,22.886
75,44.923
76,34.747
77,15.836
78,14.732
79,31.471
80,14.762
81,16.918
82,17.610
83,14.845
84,27.972
85,17.075
86,29.851
87,29.015
88,14.560
89,21.522
90,14.433
91,24.233
92,21.447
93,31.697
94,25.629
95,15.103
96,20.329
97,15.018
98,51.015
99,37.630
100,50.372
101,20.917
102,17.009
103,17.206
104,27.112
105,37.742
106,37.659
107,31.003
108,13.224
109,14.954
110,29.200
111,19.256
112,23.167
113,16.452
114,45.601
115,19.532
116,13.835
117,43.498
118,16.287
119,29.000
120,27.714
121,24.918
122,20.403
123,39.127
124,30.280
125,28.371
126,28.024
127,14.111
128,25.051
129,28.215
130,15.364
131,36.391
132,21.130
133,20.336
134,13.701
135,35.939
136,24.591
137,19.878
138,27.823
139,38.821
140,15.750
141,14.959
142,28.549
143,19.169
144,16.078
145,19.794
146,33.498
147,19.805
148,34.183
149,28.996
150,45.229
151,17.599
152,26.320
153,13.000
154,30.401
155,45.736
156,36.292
157,22.247
158,26.602
159,13.575
160,18.786
161,14.855
162,14.223
163,28.567
164,17.662
165,19.535
166,22.143
167,30.377
168,34.757
169,15.474
170,25.221
171,15.627
172,20.603
173,19.074
174,15.594
175,31.542
176,20.080
177,17.668
178,16.588
179,16.474
180,28.102
181,20.170
182,16.569
183,17.681
184,24.834
185,22.802
186,21.469
187,15.746
188,26.580
189,16.344
190,23.010
191,18.907
192,18.007
193,29.606
194,21.475
195,17.868
196,15.765
197,32.266
198,14.850
199,22.017
200,16.364
201,14.607
202,31.988
203,16.402
204,17.442
205,14.686
206,23.772
207,22.015
208,17.438
209,19.421
210,24.493
211,18.804
212,20.220
213,28.563
214,28.360
215,15.301
216,22.678
217,15.530
218,18.262
219,28.153
220,45.823
221,13.056
222,48.898
223,16.060
224,17.456
225,30.211
226,16.531
227,21.575
228,17.924
229,17.833
230,28.155
231,25.830
232,17.522
233,20.939
234,30.603
235,25.831
236,17.660
237,17.173
238,27.460
239,36.452
240,23.727
241,38.908
242,17.616
243,15.661
244,21.103
245,38.443
246,19.727
247,39.907
248,29.592
249,16.729
250,20.309
251,14.793
252,15.380
253,20.288
254,17.399
255,19.195
256,33.646
257,23.427
258,15.811
259,26.072
260,26.455
261,45.478
262,38.522
263,26.034
264,17.510
265,13.935
266,33.676
267,25.442
268,19.385
269,12.910
270,14.049
271,28.380
272,30.698
273,14.991
274,15.979
275,33.738
276,39.356
277,43.264
278,18.028
279,29.253
280,13.365
281,49.588
282,16.552
283,29.765
284,17.964
285,16.010
286,43.025
287,16.657
288,13.507
289,13.342
290,26.002
291,20.047
