Time(s),V_pv_instant(V),V_mppt(V),I_pv(A),P_pv(W),P_ref(W),V_out(V),I_L(A),Duty
0.0002,20.7162,20.7162,2.67591,55.4348,85.0695,24.1835,2.67591,0.3
0.0004,11.9943,11.9943,5,59.9717,85.0695,24.4366,6.7113,0.566667
0.0006,11.553,11.553,3.17494,36.6802,85.0695,24.2164,3.17494,0.416667
0.0008,20.1917,20.1917,3.35422,67.7272,85.0695,24.2308,3.35422,0.266667
0.001,20.6594,20.6594,2.59762,53.6652,85.0695,24.18,2.59762,0.116667
0.0012,12.2196,12.2196,5,61.0979,85.0695,24.4327,6.70762,0.566667
0.0014,6.94094,6.94094,3.68451,25.574,85.0695,24.2457,3.68451,0.526213
0.0016,20.7556,20.7556,2.58099,53.5701,85.0695,24.1774,2.58099,0.266667
0.0018,19.689,19.689,3.88548,76.5013,85.0695,24.2624,3.88548,0.266667
0.002,18.746,18.746,4.48972,84.1645,85.0695,24.3034,4.48972,0.266667
0.0022,13.2531,13.2531,5,66.2653,85.0695,24.3748,5.58265,0.416667
0.0024,15.255,15.255,3.98412,60.7778,85.0695,24.2695,3.98412,0.376213
0.0026,16.86,16.86,5,84.3,85.0695,24.3544,5.27645,0.395135
0.0028,17.8727,17.8727,4.29127,76.6965,85.0695,24.2911,4.29127,0.266667
0.003,16.7742,16.7742,5,83.8708,85.0695,24.3514,5.13625,0.341667
0.0032,18.1214,18.1214,4.3405,78.6559,85.0695,24.2931,4.3405,0.266667
0.0034,19.1597,19.1597,4.17954,80.0789,85.0695,24.2875,4.17954,0.226213
0.0036,17.1195,17.1195,5,85.5977,85.0695,24.3435,5.05913,0.325568
0.0038,18.0847,18.0847,4.40954,79.7452,85.0695,24.3005,4.40954,0.266667
0.004,18.8287,18.8287,4.37191,82.3176,85.0695,24.3012,4.37191,0.246017
0.0042,19.5257,19.5257,3.87949,75.7497,85.0695,24.2671,3.87949,0.191667
0.0044,19.798,19.798,3.66403,72.5404,85.0695,24.2531,3.66403,0.187634
0.0046,19.9597,19.9597,3.50584,69.9754,85.0695,24.2422,3.50584,0.18298
0.0048,19.0542,19.0542,4.34377,82.7672,85.0695,24.2985,4.34377,0.266667
0.005,18.7847,18.7847,4.39148,82.4927,85.0695,24.3026,4.39148,0.24307
0.0052,18.2781,18.2781,4.62516,84.5391,85.0695,24.3184,4.62516,0.270089
