Time(s),V_pv_instant(V),V_mppt(V),I_pv(A),P_pv(W),P_ref(W),V_out(V),I_L(A),Duty
0.029,17.4276,17.4276,4.82881,84.1546,85.0695,24.2412,4.82881,0.3
0.058,10.9502,10.9502,4.97347,54.4604,85.0695,24.1643,4.97347,0.566667
0.087,14.5708,14.5708,4.95425,72.1872,85.0695,24.2108,4.95425,0.416667
0.116,18.2215,18.2215,4.6666,85.0325,85.0695,24.243,4.6666,0.266667
0.145,21.4104,21.4104,1.40852,30.157,85.0695,24.0868,1.40852,0.116667
0.174,10.9485,10.9485,4.96936,54.4071,85.0695,24.1641,4.96936,0.566667
0.203,14.6065,14.6065,4.94828,72.2773,85.0695,24.2105,4.94828,0.416667
0.232,18.2215,18.2215,4.6666,85.0325,85.0695,24.243,4.6666,0.266667
0.261,18.2215,18.2215,4.6666,85.0325,85.0695,24.243,4.6666,0.266667
0.29,18.2215,18.2215,4.6666,85.0325,85.0695,24.243,4.6666,0.266667
0.319,14.5839,14.5839,4.95331,72.2384,85.0695,24.2108,4.95331,0.416667
0.348,17.5591,17.5591,4.80978,84.4553,85.0695,24.2419,4.80978,0.294522
0.377,19.9105,19.9105,3.62188,72.1133,85.0695,24.2058,3.62188,0.191667
0.406,18.2215,18.2215,4.6666,85.0325,85.0695,24.243,4.6666,0.266667
0.435,16.4289,16.4289,4.91686,80.7787,85.0695,24.2326,4.91686,0.341667
0.464,10.9446,10.9446,4.97515,54.4509,85.0695,24.1643,4.97515,0.566667
0.493,19.721,19.721,3.80865,75.1104,85.0695,24.2143,3.80865,0.200506
0.522,16.42,16.42,4.91473,80.6998,85.0695,24.2325,4.91473,0.341667
0.551,18.2215,18.2215,4.6666,85.0325,85.0695,24.243,4.6666,0.266667
0.58,19.6112,19.6112,3.90756,76.6321,85.0695,24.2186,3.90756,0.20557
0.609,14.5978,14.5978,4.95464,72.3266,85.0695,24.2108,4.95464,0.416667
0.638,16.6685,16.6685,4.90085,81.6897,85.0695,24.235,4.90085,0.331428
0.667,17.8931,17.8931,4.74882,84.9711,85.0695,24.2431,4.74882,0.28054
0.696,18.2215,18.2215,4.6666,85.0325,85.0695,24.243,4.6666,0.266667
0.725,19.6727,19.6727,3.853,75.799,85.0695,24.2163,3.853,0.202739
