# RTT Statistics — External P&O MPPT
# mean_ms,std_ms,max_ms,p99_ms,n_samples
# 22.358,9.089,80.078,51.784,517
sample_index,rtt_ms
0,46.067
1,30.857
2,26.520
3,17.573
4,18.321
5,23.745
6,23.697
7,32.590
8,16.244
9,16.124
10,49.408
11,16.312
12,25.514
13,27.750
14,15.874
15,16.006
16,15.795
17,27.117
18,16.735
19,18.793
20,20.786
21,27.991
22,38.790
23,18.869
24,15.687
25,25.910
26,33.111
27,16.427
28,15.861
29,38.172
30,36.848
31,16.901
32,50.757
33,30.316
34,16.715
35,43.859
36,15.281
37,28.092
38,44.811
39,16.229
40,46.232
41,12.374
42,19.896
43,15.272
44,13.799
45,22.318
46,18.152
47,16.290
48,16.656
49,21.218
50,17.663
51,17.473
52,14.825
53,26.280
54,14.186
55,32.972
56,15.089
57,23.231
58,13.969
59,18.984
60,16.739
61,18.812
62,27.745
63,17.426
64,15.957
65,13.372
66,17.227
67,29.297
68,15.108
69,14.234
70,41.300
71,14.377
72,19.869
73,32.956
74,26.730
75,18.649
76,14.487
77,13.050
78,36.155
79,38.068
80,25.551
81,22.488
82,18.538
83,15.348
84,14.647
85,15.402
86,23.357
87,20.003
88,16.492
89,17.134
90,27.370
91,42.309
92,27.364
93,29.214
94,15.795
95,20.746
96,16.079
97,30.165
98,15.105
99,15.717
100,21.785
101,40.729
102,22.431
103,14.434
104,25.126
105,27.917
106,25.708
107,13.657
108,22.500
109,18.733
110,19.201
111,19.942
112,26.554
113,13.897
114,18.277
115,14.456
116,12.033
117,34.279
118,19.595
119,34.536
120,26.203
121,15.868
122,15.650
123,14.100
124,24.568
125,36.520
126,15.213
127,13.807
128,24.828
129,21.228
130,15.972
131,40.610
132,15.022
133,18.326
134,14.797
135,15.025
136,25.168
137,21.545
138,16.341
139,15.711
140,13.876
141,26.902
142,17.981
143,18.887
144,13.677
145,22.584
146,14.754
147,21.715
148,17.587
149,17.173
150,27.554
151,18.449
152,16.424
153,17.355
154,27.781
155,19.762
156,14.781
157,23.281
158,41.496
159,17.084
160,20.044
161,28.416
162,13.387
163,37.653
164,15.588
165,26.815
166,15.027
167,17.676
168,34.659
169,29.163
170,18.520
171,14.473
172,17.159
173,27.180
174,13.972
175,19.241
176,16.657
177,17.253
178,28.396
179,18.361
180,19.830
181,15.456
182,35.440
183,18.382
184,18.674
185,15.576
186,15.345
187,29.783
188,20.446
189,15.688
190,53.591
191,35.099
192,17.565
193,18.744
194,26.757
195,16.206
196,16.717
197,17.411
198,14.891
199,27.554
200,19.221
201,15.490
202,15.418
203,16.751
204,25.224
205,41.387
206,13.791
207,28.559
208,17.628
209,15.381
210,27.099
211,27.129
212,20.141
213,18.200
214,17.331
215,15.006
216,36.038
217,17.121
218,14.392
219,20.699
220,25.148
221,16.179
222,36.266
223,29.836
224,15.847
225,19.862
226,19.233
227,18.491
228,29.747
229,18.829
230,38.297
231,30.630
232,16.427
233,19.781
234,16.614
235,44.601
236,18.743
237,17.964
238,16.654
239,16.192
240,50.712
241,15.818
242,38.075
243,22.737
244,18.279
245,26.402
246,15.399
247,40.368
248,18.403
249,16.229
250,15.613
251,22.452
252,16.204
253,17.254
254,14.736
255,14.196
256,52.839
257,13.255
258,15.501
259,28.258
260,21.042
261,14.674
262,42.399
263,36.368
264,19.618
265,33.624
266,18.040
267,14.450
268,15.798
269,25.797
270,49.790
271,15.236
272,29.572
273,15.621
274,20.499
275,17.080
276,38.614
277,17.261
278,16.040
279,14.873
280,27.948
281,20.781
282,15.008
283,12.911
284,36.554
285,16.634
286,14.812
287,25.506
288,18.030
289,14.061
290,14.871
291,23.780
292,19.029
293,14.980
294,16.107
295,47.087
296,30.542
297,27.050
298,20.986
299,13.324
300,23.997
301,16.096
302,19.540
303,13.399
304,22.013
305,20.780
306,15.432
307,34.527
308,16.603
309,15.962
310,30.963
311,20.062
312,16.889
313,30.490
314,15.771
315,17.239
316,43.678
317,18.785
318,26.940
319,42.097
320,23.170
321,14.410
322,15.354
323,27.102
324,34.842
325,26.473
326,20.949
327,25.554
328,14.568
329,29.150
330,16.645
331,18.213
332,41.186
333,18.157
334,13.892
335,15.623
336,19.479
337,17.710
338,15.119
339,15.687
340,23.639
341,20.066
342,15.580
343,27.087
344,19.517
345,19.707
346,13.469
347,31.383
348,19.654
349,16.443
350,34.807
351,24.927
352,16.423
353,54.283
354,20.071
355,15.029
356,14.089
357,28.359
358,19.099
359,22.673
360,28.639
361,16.027
362,27.266
363,12.562
364,29.702
365,15.165
366,17.367
367,16.096
368,14.789
369,32.689
370,19.238
371,21.199
372,80.078
373,19.939
374,23.703
375,16.266
376,14.891
377,17.861
378,15.301
379,29.305
380,18.978
381,13.894
382,13.577
383,25.849
384,28.261
385,17.614
386,16.663
387,32.229
388,20.538
389,17.112
390,19.276
391,24.836
392,35.232
393,22.634
394,15.673
395,42.794
396,12.839
397,15.259
398,15.654
399,23.732
400,38.105
401,14.207
402,32.128
403,15.265
404,18.645
405,15.645
406,17.109
407,24.030
408,17.147
409,16.349
410,16.361
411,14.478
412,53.468
413,27.259
414,30.576
415,15.367
416,35.168
417,17.184
418,25.124
419,17.320
420,18.593
421,13.739
422,16.329
423,26.732
424,20.524
425,38.081
426,33.247
427,22.577
428,15.611
429,15.448
430,34.802
431,17.954
432,16.070
433,36.350
434,48.096
435,14.353
436,16.417
437,21.241
438,33.371
439,15.540
440,26.171
441,26.448
442,19.794
443,18.094
444,13.792
445,30.739
446,34.346
447,18.695
448,14.890
449,22.253
450,15.565
451,40.988
452,15.210
453,26.337
454,14.821
455,13.577
456,35.463
457,26.852
458,16.426
459,19.441
460,14.789
461,25.524
462,15.098
463,20.550
464,15.528
465,17.950
466,45.598
467,15.398
468,16.629
469,39.924
470,20.568
471,38.402
472,22.513
473,13.160
474,18.553
475,15.710
476,14.839
477,38.491
478,18.842
479,19.559
480,15.874
481,17.764
482,28.072
483,22.024
484,17.046
485,13.144
486,24.900
487,15.682
488,19.565
489,16.698
490,51.979
491,18.237
492,27.657
493,14.887
494,28.902
495,14.794
496,26.734
497,16.700
498,15.947
499,27.069
500,19.609
501,14.300
502,16.327
503,17.678
504,28.874
505,21.290
506,16.846
507,15.168
508,31.113
509,17.893
510,18.863
511,27.772
512,15.804
513,24.846
514,18.867
515,22.964
516,15.843
