Time(s),V_pv_instant(V),V_mppt(V),I_pv(A),P_pv(W),P_ref(W),V_out(V),I_L(A),Duty
0.0002,20.7162,20.7162,2.67591,55.4348,85.0695,24.1835,2.67591,0.3
0.0004,11.9943,11.9943,5,59.9717,85.0695,24.4366,6.7113,0.566667
0.0006,11.553,11.553,3.17494,36.6802,85.0695,24.2164,3.17494,0.416667
0.0008,20.1917,20.1917,3.35422,67.7272,85.0695,24.2308,3.35422,0.266667
0.001,20.6594,20.6594,2.59762,53.6652,85.0695,24.18,2.59762,0.116667
0.0012,12.2196,12.2196,5,61.0979,85.0695,24.4327,6.70762,0.566667
0.0014,11.4005,11.4005,3.21766,36.683,85.0695,24.2198,3.21766,0.416667
0.0016,20.2039,20.2039,3.33934,67.4676,85.0695,24.2282,3.33934,0.266667
0.0018,19.1775,19.1775,4.27139,81.9144,85.0695,24.2929,4.27139,0.266667
0.002,19.7866,19.7866,3.64242,72.0712,85.0695,24.2518,3.64242,0.170811
0.0022,15.1282,15.1282,5,75.6411,85.0695,24.3867,5.71382,0.416667
0.0024,11.0371,11.0371,4.50448,49.7165,85.0695,24.3017,4.50448,0.442496
0.0026,20.6035,20.6035,2.73107,56.2697,85.0695,24.188,2.73107,0.191667
0.0028,19.5954,19.5954,3.96547,77.705,85.0695,24.2714,3.96547,0.266667
0.003,17.5233,17.5233,5,87.6167,85.0695,24.3409,5.00236,0.320811
0.0032,16.1011,16.1011,4.80141,77.3079,85.0695,24.328,4.80141,0.324259
0.0034,11.2233,11.2233,5,56.1163,85.0695,24.3618,5.44063,0.482019
0.0036,18.1685,18.1685,3.56826,64.8298,85.0695,24.2426,3.56826,0.341667
0.0038,17.2643,17.2643,5,86.3214,85.0695,24.3526,5.2301,0.36341
0.004,12.8675,12.8675,4.96793,63.9246,85.0695,24.3366,4.96793,0.395811
0.0042,19.0922,19.0922,3.94854,75.3862,85.0695,24.2708,3.94854,0.304209
0.0044,15.377,15.377,5,76.8848,85.0695,24.3775,5.54664,0.39374
0.0046,12.3693,12.3693,4.54876,56.265,85.0695,24.3097,4.54876,0.416667
0.0048,17.2504,17.2504,4.61944,79.687,85.0695,24.3138,4.61944,0.404117
0.005,16.7885,16.7885,4.95376,83.1661,85.0695,24.3394,4.95376,0.331604
0.0052,15.0367,15.0367,4.92713,74.088,85.0695,24.337,4.92713,0.366095
