# RTT Statistics — External P&O MPPT
# mean_ms,std_ms,max_ms,p99_ms,n_samples
# 30.957,12.634,1042.224,57.476,74998
sample_index,rtt_ms
0,42.120
1,24.110
2,38.203
3,14.748
4,40.396
5,27.303
6,24.507
7,39.389
8,33.916
9,36.523
10,25.998
11,13.042
12,50.275
13,38.247
14,24.380
15,30.113
16,33.450
17,13.681
18,35.604
19,37.933
20,23.996
21,26.888
22,36.727
23,40.228
24,34.299
25,36.036
26,29.187
27,14.102
28,36.011
29,14.297
30,26.176
31,30.945
32,18.274
33,13.459
34,28.657
35,41.031
36,34.638
37,50.149
38,16.462
39,44.089
40,16.859
41,30.899
42,27.612
43,33.000
44,23.302
45,32.086
46,29.968
47,13.070
48,42.790
49,14.454
50,25.687
51,29.931
52,37.169
53,24.983
54,18.510
55,33.142
56,39.554
57,19.097
58,27.853
59,36.062
60,57.323
61,28.191
62,35.155
63,13.764
64,21.947
65,17.694
66,32.501
67,41.321
68,34.413
69,33.274
70,30.399
71,21.996
72,32.806
73,31.137
74,23.740
75,39.117
76,17.237
77,26.463
78,40.847
79,14.272
80,42.269
81,25.891
82,23.188
83,14.029
84,33.895
85,35.659
86,29.446
87,32.701
88,44.298
89,20.776
90,12.798
91,33.704
92,24.185
93,38.268
94,14.003
95,47.533
96,36.964
97,27.010
98,35.104
99,35.396
100,15.908
101,12.600
102,27.479
103,38.264
104,14.556
105,40.708
106,26.131
107,39.346
108,40.257
109,13.527
110,29.232
111,27.239
112,34.556
113,35.696
114,16.150
115,12.508
116,12.281
117,13.095
118,24.588
119,13.527
120,54.975
121,15.298
122,31.049
123,28.209
124,13.333
125,33.077
126,24.476
127,14.885
128,32.603
129,38.392
130,16.489
131,26.638
132,26.577
133,18.005
134,25.625
135,15.864
136,26.460
137,13.097
138,16.550
139,29.179
140,15.022
141,27.362
142,13.682
143,30.808
144,14.964
145,13.147
146,45.906
147,15.447
148,31.185
149,31.071
150,31.373
151,13.385
152,38.931
153,32.406
154,14.702
155,49.211
156,36.192
157,29.888
158,31.875
159,50.191
160,27.057
161,22.283
162,23.137
163,25.488
164,23.446
165,15.531
166,23.331
167,32.715
168,14.581
169,31.403
170,13.682
171,14.842
172,15.014
173,25.850
174,31.299
175,48.533
176,32.103
177,43.895
178,23.678
179,22.023
180,33.958
181,29.806
182,22.650
183,31.072
184,27.664
185,22.026
186,40.831
187,38.735
188,29.952
189,27.590
190,12.250
191,34.832
192,39.016
193,22.795
194,40.941
195,15.710
196,43.032
197,28.397
198,38.738
199,36.594
200,37.259
201,38.069
202,13.472
203,28.346
204,29.225
205,38.261
206,39.072
207,13.402
208,12.294
209,25.013
210,27.643
211,36.970
212,41.223
213,47.332
214,46.317
215,26.282
216,40.953
217,13.633
218,14.136
219,50.641
220,18.220
221,30.432
222,40.605
223,17.675
224,26.924
225,37.964
226,13.814
227,43.632
228,17.407
229,33.127
230,12.759
231,39.506
232,13.134
233,14.018
234,27.967
235,32.074
236,22.270
237,26.836
238,34.594
239,23.303
240,41.479
241,35.430
242,26.470
243,16.192
244,29.390
245,38.156
246,38.676
247,34.530
248,15.731
249,34.214
250,35.340
251,16.333
252,32.035
253,32.220
254,20.688
255,32.103
256,40.777
257,22.324
258,24.064
259,32.581
260,13.355
261,25.509
262,26.691
263,43.387
264,42.671
265,25.466
266,37.473
267,23.535
268,39.999
269,15.663
270,24.930
271,24.873
272,25.622
273,25.999
274,25.063
275,36.500
276,16.758
277,13.630
278,25.389
279,42.089
280,36.726
281,29.669
282,33.713
283,13.752
284,36.762
285,15.986
286,12.816
287,24.830
288,23.775
289,16.477
290,13.668
291,39.694
292,39.745
293,22.782
294,41.102
295,35.624
296,27.327
297,37.355
298,21.577
299,30.859
300,31.470
301,14.457
302,53.186
303,31.520
304,26.479
305,15.858
306,13.021
307,39.671
308,39.677
309,15.090
310,45.212
311,23.959
312,13.827
313,30.759
314,25.763
315,43.356
316,18.814
317,20.519
318,33.611
319,17.493
320,34.481
321,34.265
322,28.419
323,26.699
324,42.291
325,22.385
326,43.348
327,35.493
328,15.290
329,46.447
330,40.032
331,59.601
332,18.214
333,32.039
334,43.640
335,36.328
336,25.727
337,23.314
338,39.560
339,37.982
340,13.986
341,48.482
342,21.451
343,33.758
344,31.879
345,36.686
346,43.811
347,35.318
348,26.949
349,19.491
350,12.723
351,47.409
352,29.072
353,37.065
354,23.618
355,15.616
356,32.318
357,40.156
358,23.995
359,49.177
360,25.304
361,26.696
362,26.675
363,32.258
364,25.505
365,37.903
366,13.686
367,42.297
368,22.863
369,13.243
370,12.713
371,37.050
372,31.534
373,15.446
374,53.464
375,42.615
376,24.885
377,30.374
378,23.402
379,44.590
380,33.247
381,32.231
382,30.056
383,15.518
384,22.400
385,30.981
386,13.118
387,42.490
388,15.669
389,15.480
390,43.458
391,18.690
392,30.859
393,24.553
394,18.302
395,13.886
396,23.119
397,27.261
398,37.495
399,47.782
400,28.906
401,12.596
402,34.907
403,34.380
404,52.831
405,18.696
406,15.313
407,42.068
408,27.828
409,49.093
410,28.756
411,13.729
412,45.779
413,14.144
414,12.797
415,40.574
416,40.376
417,51.124
418,25.834
419,39.616
420,17.195
421,34.360
422,33.747
423,26.508
424,48.452
425,28.748
426,25.728
427,27.317
428,17.896
429,36.289
430,45.069
431,33.554
432,34.737
433,16.240
434,28.703
435,28.323
436,15.209
437,12.366
438,16.284
439,25.141
440,16.821
441,16.083
442,12.648
443,27.344
444,35.904
445,23.249
446,39.819
447,26.739
448,12.888
449,29.824
450,28.193
451,42.670
452,34.176
453,22.191
454,40.205
455,26.499
456,39.159
457,21.415
458,38.628
459,40.865
460,39.225
461,36.293
462,24.036
463,16.039
464,36.458
465,15.464
466,27.343
467,28.452
468,14.835
469,28.288
470,30.331
471,32.831
472,22.716
473,31.545
474,32.510
475,25.078
476,29.460
477,30.597
478,23.746
479,40.707
480,13.583
481,41.221
482,30.935
483,34.780
484,29.328
485,32.867
486,24.822
487,40.794
488,28.433
489,26.119
490,28.804
491,14.842
492,32.718
493,15.903
494,31.244
495,42.201
496,32.773
497,15.724
498,25.082
499,12.561
500,32.844
501,51.664
502,36.204
503,25.653
504,32.811
505,24.601
506,40.170
507,40.276
508,42.935
509,35.646
510,32.710
