# RTT Statistics — External P&O MPPT
# mean_ms,std_ms,max_ms,p99_ms,n_samples
# 25.643,10.455,74.594,53.022,517
sample_index,rtt_ms
0,32.515
1,35.103
2,39.295
3,16.587
4,25.470
5,24.457
6,39.010
7,29.684
8,19.113
9,18.629
10,46.085
11,14.936
12,30.734
13,15.625
14,35.639
15,16.075
16,16.851
17,27.566
18,15.455
19,26.385
20,17.685
21,15.178
22,15.156
23,17.739
24,23.576
25,18.262
26,16.100
27,19.056
28,18.360
29,26.690
30,28.059
31,15.804
32,15.664
33,25.669
34,16.806
35,33.144
36,15.963
37,27.647
38,14.522
39,19.685
40,25.857
41,15.003
42,26.408
43,32.581
44,18.840
45,18.822
46,27.141
47,21.612
48,19.476
49,14.371
50,30.586
51,17.256
52,19.115
53,39.784
54,17.166
55,17.348
56,22.133
57,33.042
58,38.207
59,14.628
60,28.933
61,26.105
62,17.354
63,43.603
64,25.962
65,42.413
66,26.501
67,17.362
68,15.560
69,14.223
70,31.274
71,17.819
72,18.196
73,24.425
74,46.106
75,37.733
76,25.896
77,28.121
78,17.652
79,47.571
80,16.200
81,18.149
82,33.197
83,18.832
84,32.944
85,17.404
86,12.979
87,48.869
88,17.451
89,15.362
90,35.443
91,28.226
92,29.960
93,26.956
94,18.125
95,33.863
96,15.848
97,21.571
98,40.398
99,13.630
100,24.023
101,16.874
102,43.468
103,27.752
104,13.573
105,16.185
106,15.092
107,15.909
108,17.654
109,16.469
110,18.761
111,16.153
112,18.583
113,21.085
114,19.965
115,20.255
116,13.113
117,46.589
118,19.631
119,44.229
120,14.806
121,23.869
122,35.192
123,46.784
124,13.887
125,19.980
126,24.776
127,32.193
128,13.720
129,19.895
130,43.235
131,36.909
132,28.738
133,33.476
134,24.345
135,15.939
136,28.141
137,40.348
138,28.824
139,36.061
140,31.461
141,14.709
142,24.369
143,16.009
144,41.234
145,14.157
146,26.259
147,18.143
148,24.965
149,15.181
150,48.171
151,15.058
152,44.552
153,16.348
154,24.017
155,15.920
156,24.282
157,15.381
158,19.440
159,25.489
160,27.013
161,15.348
162,18.296
163,17.773
164,47.068
165,32.899
166,19.056
167,40.686
168,17.348
169,18.790
170,13.739
171,35.482
172,36.485
173,17.564
174,16.760
175,33.677
176,21.410
177,39.900
178,24.236
179,15.540
180,16.840
181,17.524
182,45.736
183,26.669
184,16.581
185,17.476
186,27.285
187,17.922
188,16.614
189,19.909
190,74.594
191,24.049
192,15.287
193,27.509
194,16.654
195,15.444
196,16.559
197,20.524
198,45.638
199,38.628
200,29.842
201,15.587
202,41.530
203,16.751
204,28.268
205,37.302
206,43.847
207,14.753
208,35.106
209,15.682
210,38.702
211,31.264
212,20.138
213,14.543
214,24.001
215,28.531
216,28.367
217,16.127
218,43.607
219,28.113
220,45.866
221,20.224
222,18.827
223,15.615
224,17.812
225,25.033
226,30.618
227,19.396
228,42.892
229,18.190
230,17.395
231,16.674
232,39.584
233,33.365
234,21.737
235,42.570
236,23.262
237,18.612
238,14.755
239,14.304
240,25.904
241,16.627
242,16.497
243,15.139
244,17.133
245,23.170
246,36.458
247,17.394
248,13.747
249,26.683
250,20.506
251,14.316
252,14.361
253,32.248
254,19.061
255,19.161
256,15.934
257,23.100
258,16.039
259,16.204
260,33.211
261,22.683
262,21.174
263,41.402
264,27.367
265,20.201
266,15.796
267,15.470
268,25.185
269,16.016
270,37.166
271,33.854
272,32.375
273,23.354
274,24.951
275,13.626
276,33.277
277,23.000
278,39.782
279,18.443
280,23.855
281,16.935
282,29.015
283,29.553
284,16.437
285,18.551
286,12.636
287,24.788
288,18.277
