Time(s),V_pv_instant(V),V_mppt(V),I_pv(A),P_pv(W),P_ref(W),V_out(V),I_L(A),Duty
0.0002,20.7162,20.7162,2.67591,55.4348,85.0695,24.1835,2.67591,0.3
0.0004,11.9943,11.9943,5,59.9717,85.0695,24.4366,6.7113,0.566667
0.0006,11.553,11.553,3.17494,36.6802,85.0695,24.2164,3.17494,0.416667
0.0008,20.1917,20.1917,3.35422,67.7272,85.0695,24.2308,3.35422,0.266667
0.001,20.6594,20.6594,2.59762,53.6652,85.0695,24.18,2.59762,0.116667
0.0012,12.2196,12.2196,5,61.0979,85.0695,24.4327,6.70762,0.566667
0.0014,11.4005,11.4005,3.21766,36.683,85.0695,24.2198,3.21766,0.416667
0.0016,19.5697,19.5697,4.08584,79.9585,85.0695,24.2795,4.08584,0.336559
0.0018,18.5628,18.5628,4.55342,84.5244,85.0695,24.3103,4.55342,0.266667
0.002,18.7532,18.7532,4.3763,82.0697,85.0695,24.3014,4.3763,0.239012
0.0022,13.5493,13.5493,5,67.7465,85.0695,24.3765,5.62058,0.416667
0.0024,14.1725,14.1725,4.09436,58.0272,85.0695,24.2764,4.09436,0.396735
0.0026,19.6706,19.6706,3.8609,75.9463,85.0695,24.2634,3.8609,0.25135
0.0028,18.7587,18.7587,4.48397,84.1135,85.0695,24.3077,4.48397,0.266667
0.003,15.8281,15.8281,5,79.1405,85.0695,24.3516,5.20313,0.348291
0.0032,18.4748,18.4748,4.15673,76.7946,85.0695,24.283,4.15673,0.266667
0.0034,18.946,18.946,4.34148,82.2535,85.0695,24.295,4.34148,0.246735
0.0036,14.707,14.707,5,73.5352,85.0695,24.3683,5.46548,0.387212
0.0038,18.6137,18.6137,3.82864,71.2651,85.0695,24.2622,3.82864,0.266667
0.004,19.7684,19.7684,3.7062,73.2657,85.0695,24.2526,3.7062,0.198291
0.0042,19.8386,19.8386,3.63546,72.1223,85.0695,24.25,3.63546,0.191667
0.0044,20.0087,20.0087,3.45184,69.0667,85.0695,24.2385,3.45184,0.178909
0.0046,19.2196,19.2196,4.2256,81.2142,85.0695,24.2906,4.2256,0.257971
0.0048,18.4491,18.4491,4.58217,84.5368,85.0695,24.3154,4.58217,0.266667
0.005,19.0686,19.0686,4.19174,79.9306,85.0695,24.2893,4.19174,0.219496
0.0052,17.7642,17.7642,4.86449,86.4138,85.0695,24.3341,4.86449,0.300449
