Time(s),V_pv_instant(V),V_mppt(V),I_pv(A),P_pv(W),P_ref(W),V_out(V),I_L(A),Duty
0.0002,20.7162,20.7162,2.67591,55.4348,85.0695,24.1835,2.67591,0.3
0.0004,11.9943,11.9943,5,59.9717,85.0695,24.4366,6.7113,0.566667
0.0006,11.553,11.553,3.17494,36.6802,85.0695,24.2164,3.17494,0.416667
0.0008,20.1917,20.1917,3.35422,67.7272,85.0695,24.2308,3.35422,0.266667
0.001,20.6594,20.6594,2.59762,53.6652,85.0695,24.18,2.59762,0.116667
0.0012,12.2196,12.2196,5,61.0979,85.0695,24.4327,6.70762,0.566667
0.0014,11.4005,11.4005,3.21766,36.683,85.0695,24.2198,3.21766,0.416667
0.0016,20.2039,20.2039,3.33934,67.4676,85.0695,24.2282,3.33934,0.266667
0.0018,19.1775,19.1775,4.27139,81.9144,85.0695,24.2929,4.27139,0.266667
0.002,18.757,18.757,4.41989,82.9039,85.0695,24.3046,4.41989,0.248343
0.0022,13.3977,13.3977,5,66.9886,85.0695,24.38,5.60709,0.416667
0.0024,9.9507,9.9507,4.54313,45.2073,85.0695,24.3018,4.54313,0.504571
0.0026,20.8912,20.8912,2.28852,47.81,85.0695,24.158,2.28852,0.169206
0.0028,20.1648,20.1648,3.35282,67.609,85.0695,24.2293,3.35282,0.234901
0.003,18.4072,18.4072,4.76351,87.6832,85.0695,24.3224,4.76351,0.314182
0.0032,15.8081,15.8081,5,79.0407,85.0695,24.3452,5.03633,0.335982
0.0034,11.3641,11.3641,5,56.8206,85.0695,24.346,5.18004,0.468668
0.0036,20.7232,20.7232,2.51124,52.041,85.0695,24.1728,2.51124,0.16276
0.0038,18.6399,18.6399,4.75474,88.6281,85.0695,24.3245,4.75474,0.349357
0.004,15.2833,15.2833,5,76.4166,85.0695,24.3485,5.12039,0.3471
0.0042,18.9216,18.9216,4.05756,76.7756,85.0695,24.2779,4.05756,0.25959
0.0044,9.85856,9.85856,5,49.2928,85.0695,24.4181,6.32748,0.530265
0.0046,18.0394,18.0394,2.62635,47.3776,85.0695,24.1807,2.62635,0.31276
0.0048,17.9213,17.9213,5,89.6067,85.0695,24.3512,5.16668,0.392508
0.005,16.7941,16.7941,4.59866,77.2305,85.0695,24.3165,4.59866,0.28994
0.0052,17.4797,17.4797,4.81696,84.1989,85.0695,24.3305,4.81696,0.317236
