Time(s),V_pv_instant(V),V_mppt(V),I_pv(A),P_pv(W),P_ref(W),V_out(V),I_L(A),Duty
0.0002,20.7162,20.7162,2.67591,55.4348,85.0695,24.1835,2.67591,0.3
0.0004,11.9943,11.9943,5,59.9717,85.0695,24.4366,6.7113,0.566667
0.0006,11.553,11.553,3.17494,36.6802,85.0695,24.2164,3.17494,0.416667
0.0008,20.1917,20.1917,3.35422,67.7272,85.0695,24.2308,3.35422,0.266667
0.001,20.6594,20.6594,2.59762,53.6652,85.0695,24.18,2.59762,0.116667
0.0012,12.2196,12.2196,5,61.0979,85.0695,24.4327,6.70762,0.566667
0.0014,11.4005,11.4005,3.21766,36.683,85.0695,24.2198,3.21766,0.416667
0.0016,20.2039,20.2039,3.33934,67.4676,85.0695,24.2282,3.33934,0.266667
0.0018,19.1775,19.1775,4.27139,81.9144,85.0695,24.2929,4.27139,0.266667
0.002,18.4148,18.4148,4.59099,84.5421,85.0695,24.3144,4.59099,0.266667
0.0022,13.0866,13.0866,5,65.4329,85.0695,24.3719,5.52772,0.416667
0.0024,19.2316,19.2316,3.49637,67.2408,85.0695,24.2403,3.49637,0.266667
0.0026,19.9814,19.9814,3.49869,69.909,85.0695,24.2383,3.49869,0.191667
0.0028,19.0588,19.0588,4.34113,82.7366,85.0695,24.2977,4.34113,0.266667
0.003,16.2979,16.2979,5,81.4896,85.0695,24.349,5.184,0.341667
0.0032,18.2756,18.2756,4.24284,77.5402,85.0695,24.2896,4.24284,0.266667
0.0034,19.6401,19.6401,3.799,74.6129,85.0695,24.2607,3.799,0.191667
0.0036,19.5031,19.5031,3.95553,77.145,85.0695,24.2682,3.95553,0.217644
0.0038,18.6922,18.6922,4.50678,84.2414,85.0695,24.3099,4.50678,0.266667
0.004,14.9794,14.9794,5,74.8969,85.0695,24.3638,5.32706,0.371317
0.0042,19.8717,19.8717,3.45937,68.7435,85.0695,24.2382,3.45937,0.191667
0.0044,18.464,18.464,4.71528,87.0631,85.0695,24.3234,4.71528,0.30554
0.0046,17.425,17.425,4.7729,83.1678,85.0695,24.3283,4.7729,0.289592
0.0048,18.2901,18.2901,4.51172,82.52,85.0695,24.3104,4.51172,0.266667
0.005,19.1023,19.1023,4.18361,79.9166,85.0695,24.2885,4.18361,0.221317
0.0052,18.9993,18.9993,4.29118,81.5295,85.0695,24.2957,4.29118,0.237421
