# RTT Statistics — External P&O MPPT
# mean_ms,std_ms,max_ms,p99_ms,n_samples
# 27.455,12.706,112.426,59.112,50000
sample_index,rtt_ms
0,47.428
1,24.106
2,18.894
3,34.951
4,47.870
5,37.702
6,23.541
7,13.492
8,32.464
9,18.660
10,28.648
11,41.601
12,44.025
13,30.752
14,19.831
15,35.388
16,18.760
17,41.841
18,14.834
19,16.988
20,34.444
21,27.990
22,45.586
23,30.522
24,23.391
25,59.115
26,35.788
27,53.427
28,12.637
29,72.337
30,15.209
31,30.590
32,29.412
33,37.376
34,56.951
35,32.554
36,19.319
37,16.952
38,35.734
39,19.180
40,35.050
41,27.432
42,27.617
43,42.927
44,51.878
45,34.919
46,55.806
47,38.697
48,57.371
49,42.626
50,37.067
51,19.518
52,17.725
53,27.838
54,42.645
55,17.376
56,15.793
57,15.339
58,33.897
59,14.418
60,32.688
61,84.721
62,32.252
63,25.330
64,56.334
65,15.137
66,38.354
67,50.896
68,13.607
69,36.490
70,13.313
71,15.697
72,45.757
73,36.591
74,64.294
75,19.057
76,16.492
77,39.314
78,21.954
79,18.782
80,31.834
81,17.320
82,15.712
83,44.447
84,36.667
85,35.444
86,14.906
87,34.374
88,41.759
89,19.725
90,49.293
91,26.160
92,36.888
93,51.326
94,14.446
95,15.774
96,40.585
97,16.643
98,13.935
99,39.431
100,19.191
101,41.426
102,14.875
103,31.895
104,51.792
105,17.823
106,18.667
107,25.469
108,14.930
109,18.640
110,32.594
111,34.719
112,37.575
113,42.865
114,46.933
115,40.247
116,33.400
117,20.487
118,50.651
119,50.161
120,35.501
121,53.158
122,34.073
123,22.719
124,29.474
125,25.624
126,17.407
127,44.553
128,15.775
129,16.033
130,38.529
131,39.189
132,29.043
133,15.993
134,39.326
135,33.696
136,14.256
137,54.045
138,41.178
139,30.415
140,29.968
141,50.398
142,19.610
143,13.173
144,20.751
145,43.888
146,33.630
147,37.129
148,12.913
149,25.547
150,39.598
151,37.620
152,32.664
153,16.738
154,37.596
155,35.814
156,13.055
157,43.213
158,33.906
159,16.109
160,44.806
161,13.672
162,16.636
163,28.239
164,33.070
165,19.124
166,31.906
167,31.581
168,46.168
169,15.418
170,14.015
171,47.391
172,23.672
173,28.604
174,22.132
175,15.840
176,15.157
177,35.564
178,18.467
179,17.578
180,28.875
181,32.654
182,63.312
183,20.043
184,30.189
185,37.423
186,21.226
187,12.748
188,40.403
189,15.442
190,48.688
191,15.224
192,29.119
193,38.629
194,28.913
195,20.446
196,36.306
197,42.426
198,82.350
199,18.153
200,34.553
201,13.926
202,13.240
203,49.245
204,18.204
205,56.692
206,13.808
207,28.986
208,41.309
209,14.456
210,27.804
211,32.489
212,27.959
213,14.805
214,29.465
215,13.762
216,36.511
217,32.211
218,16.152
219,22.216
220,55.378
221,40.023
222,31.118
223,17.880
224,27.406
225,36.196
226,15.987
227,49.521
228,16.023
229,44.967
230,27.821
231,13.810
232,25.803
233,21.667
234,13.733
235,13.374
236,47.443
237,12.722
238,16.714
239,29.594
240,16.280
241,14.627
242,14.428
243,21.138
244,35.528
245,17.068
246,29.726
247,13.882
248,15.271
249,39.251
250,14.235
251,15.380
252,36.898
253,38.177
