# RTT Statistics — External P&O MPPT
# mean_ms,std_ms,max_ms,p99_ms,n_samples
# 25.446,10.457,68.858,52.330,517
sample_index,rtt_ms
0,15.304
1,12.778
2,14.702
3,27.332
4,18.145
5,15.340
6,43.995
7,23.717
8,17.054
9,18.086
10,32.328
11,19.639
12,22.312
13,17.957
14,13.525
15,34.550
16,18.341
17,14.628
18,41.252
19,18.794
20,29.256
21,15.184
22,43.890
23,16.563
24,15.370
25,14.612
26,31.378
27,40.504
28,16.763
29,27.104
30,39.945
31,27.017
32,25.698
33,42.252
34,24.434
35,38.336
36,30.519
37,15.534
38,15.888
39,26.639
40,36.193
41,29.442
42,27.097
43,35.130
44,14.554
45,35.048
46,16.194
47,16.722
48,44.842
49,20.639
50,29.573
51,16.412
52,36.171
53,13.373
54,17.896
55,15.493
56,45.361
57,17.401
58,15.579
59,24.107
60,19.009
61,43.861
62,17.837
63,26.931
64,20.198
65,16.881
66,26.523
67,47.501
68,36.850
69,27.835
70,17.248
71,19.258
72,31.840
73,42.043
74,15.167
75,46.025
76,30.786
77,17.961
78,44.596
79,20.947
80,16.273
81,15.529
82,14.673
83,45.842
84,18.166
85,46.218
86,18.212
87,23.872
88,19.973
89,37.533
90,25.944
91,14.397
92,14.126
93,23.408
94,40.695
95,29.415
96,42.997
97,17.991
98,13.038
99,25.341
100,28.117
101,55.567
102,30.552
103,16.629
104,12.755
105,42.312
106,16.884
107,14.987
108,12.720
109,26.571
110,42.185
111,17.036
112,25.386
113,29.028
114,16.451
115,15.573
116,24.570
117,23.784
118,41.929
119,36.862
120,20.890
121,32.418
122,28.185
123,23.613
124,16.952
125,14.625
126,29.250
127,33.713
128,13.840
129,17.192
130,24.617
131,22.055
132,14.197
133,18.346
134,30.577
135,23.501
136,21.006
137,15.773
138,29.441
139,19.298
140,16.976
141,17.685
142,68.858
143,15.754
144,34.933
145,15.799
146,19.074
147,18.151
148,25.226
149,25.841
150,17.809
151,43.562
152,19.049
153,28.139
154,38.678
155,17.754
156,17.709
157,16.538
158,13.745
159,18.625
160,18.941
161,17.041
162,14.339
163,37.587
164,37.665
165,15.401
166,17.045
167,47.051
168,28.892
169,27.747
170,35.728
171,39.032
172,32.100
173,20.404
174,35.939
175,15.295
176,28.100
177,22.635
178,15.175
179,17.893
180,24.552
181,16.896
182,44.021
183,15.740
184,49.786
185,17.942
186,20.371
187,14.521
188,28.333
189,44.259
190,14.829
191,27.356
192,21.853
193,17.658
194,15.776
195,37.889
196,22.592
197,17.212
198,25.747
199,24.971
200,15.011
201,17.504
202,29.817
203,16.782
204,47.300
205,34.588
206,39.500
207,28.415
208,14.365
209,20.735
210,17.923
211,43.588
212,14.815
213,23.967
214,18.429
215,18.078
216,39.783
217,31.639
218,40.552
219,15.354
220,30.095
221,42.948
222,15.737
223,51.777
224,35.074
225,15.470
226,15.703
227,39.574
228,23.583
229,16.261
230,16.851
231,51.705
232,46.412
233,24.875
234,22.041
235,19.632
236,15.695
237,31.571
238,14.777
239,35.497
240,16.275
241,29.465
242,14.168
243,20.795
244,33.619
245,47.332
246,16.375
247,47.751
248,15.879
249,20.951
250,17.347
251,16.177
252,52.401
253,14.506
254,14.464
255,16.015
256,19.747
257,17.393
258,13.976
259,48.560
260,38.413
261,16.789
262,28.510
263,15.621
264,22.235
265,28.197
266,46.506
267,16.911
268,14.431
269,51.130
270,14.983
271,16.952
272,30.105
273,22.990
274,28.034
275,32.517
276,19.505
277,34.051
278,39.136
279,38.982
280,38.414
281,43.260
282,15.960
283,31.598
284,15.680
285,46.797
286,18.884
287,16.052
288,13.593
289,34.344
290,15.887
291,14.640
292,31.334
293,23.512
294,27.490
295,55.128
296,28.677
297,28.364
298,15.885
299,14.578
300,30.391
301,27.924
302,24.264
303,22.234
304,16.034
305,31.578
306,24.458
307,16.763
308,35.142
309,20.494
310,20.301
311,30.600
312,39.978
313,16.640
314,25.059
315,27.582
316,21.391
317,16.917
318,17.833
319,27.289
320,33.324
321,14.204
322,24.852
323,17.272
324,16.049
325,15.801
326,24.346
327,17.004
328,18.628
329,30.054
330,28.298
331,14.885
332,41.906
333,47.938
334,32.352
335,30.038
336,14.765
337,30.563
338,15.309
339,20.368
340,19.679
341,26.654
342,25.795
343,16.822
344,34.138
345,25.226
346,17.108
347,31.227
348,30.395
349,39.839
350,15.591
351,28.398
352,18.296
353,16.981
354,17.255
355,27.340
356,13.535
357,21.496
358,14.002
359,13.305
360,22.610
361,17.732
362,15.399
363,14.103
364,22.534
365,16.462
366,18.011
367,29.116
368,28.864
369,21.365
370,18.956
371,46.506
372,35.274
373,13.398
374,16.650
375,51.956
376,29.049
377,23.792
378,33.794
379,18.558
380,15.813
381,26.538
382,14.589
383,38.300
384,16.063
385,28.706
386,18.847
387,38.500
388,14.500
389,44.900
390,37.737
391,26.938
392,34.265
393,20.510
394,38.689
395,15.271
396,19.396
397,18.299
398,15.452
399,22.602
400,14.758
401,34.714
402,16.194
403,27.548
404,20.606
405,17.740
406,15.322
407,17.318
408,25.198
409,18.954
410,16.475
411,14.961
412,57.272
413,23.437
414,36.311
415,31.518
416,19.279
417,17.825
418,38.198
419,20.207
420,18.449
421,15.877
422,37.130
423,30.733
424,14.115
425,13.803
426,53.639
427,19.153
428,14.905
429,26.121
430,19.493
431,20.428
432,24.530
433,27.468
434,17.807
435,20.570
436,47.079
437,14.678
438,19.474
439,17.734
440,16.737
441,25.112
442,18.798
443,19.101
444,48.185
445,38.200
446,28.438
447,43.123
448,28.911
449,27.613
450,48.085
451,19.067
452,39.661
453,14.727
454,17.639
455,19.561
456,15.566
457,23.180
458,14.492
