Time(s),V_pv_instant(V),V_mppt(V),I_pv(A),P_pv(W),P_ref(W),V_out(V),I_L(A),Duty
0.0002,20.7162,20.7162,2.67591,55.4348,85.0695,24.1835,2.67591,0.3
0.0004,11.9943,11.9943,5,59.9717,85.0695,24.4366,6.7113,0.566667
0.0006,11.553,11.553,3.17494,36.6802,85.0695,24.2164,3.17494,0.416667
0.0008,20.1917,20.1917,3.35422,67.7272,85.0695,24.2308,3.35422,0.266667
0.001,20.6594,20.6594,2.59762,53.6652,85.0695,24.18,2.59762,0.116667
0.0012,12.2196,12.2196,5,61.0979,85.0695,24.4327,6.70762,0.566667
0.0014,10.1116,10.1116,3.35828,33.9577,85.0695,24.2278,3.35828,0.4491
0.0016,20.3555,20.3555,3.14845,64.0883,85.0695,24.2167,3.14845,0.266667
0.0018,19.311,19.311,4.18533,80.8228,85.0695,24.2847,4.18533,0.266667
0.002,18.4921,18.4921,4.57184,84.5428,85.0695,24.3099,4.57184,0.266667
0.0022,13.1452,13.1452,5,65.7261,85.0695,24.3715,5.53499,0.416667
0.0024,18.3424,18.3424,3.66132,67.1576,85.0695,24.2484,3.66132,0.2991
0.0026,19.9447,19.9447,3.53404,70.4855,85.0695,24.2406,3.53404,0.191667
0.0028,19.0297,19.0297,4.3559,82.8914,85.0695,24.2993,4.3559,0.266667
0.003,16.2672,16.2672,5,81.3358,85.0695,24.3532,5.18108,0.341667
0.0032,18.2884,18.2884,4.2411,77.563,85.0695,24.2911,4.2411,0.266667
0.0034,19.2449,19.2449,4.13026,79.4863,85.0695,24.28,4.13026,0.2241
0.0036,19.2018,19.2018,4.1608,79.8947,85.0695,24.2818,4.1608,0.225498
0.0038,18.4065,18.4065,4.61929,85.0251,85.0695,24.3138,4.61929,0.272923
0.004,16.2274,16.2274,5,81.1372,85.0695,24.3465,5.05862,0.333069
0.0042,19.6421,19.6421,3.7229,73.1256,85.0695,24.2562,3.7229,0.191667
0.0044,19.2573,19.2573,4.16693,80.2439,85.0695,24.2871,4.16693,0.241723
0.0046,17.3195,17.3195,5,86.5975,85.0695,24.3434,5.00606,0.318129
0.0048,18.0485,18.0485,4.45706,80.4432,85.0695,24.3068,4.45706,0.267223
0.005,19.6512,19.6512,3.76948,74.0749,85.0695,24.2604,3.76948,0.183069
0.0052,19.3644,19.3644,4.07554,78.9206,85.0695,24.281,4.07554,0.231258
