algorithm,profile,packet_loss_pct,mean_eta,std_eta,ci95_lo,ci95_hi,mannwhitney_p
PO,P1,0.0,98.352,0.113,98.32,98.382,1.0
PO,P1,2.0,98.272,0.288,98.19,98.347,0.5789271506797158
PO,P1,5.0,98.103,0.398,97.971,98.194,2.2040780665423933e-05
PO,P1,10.0,97.993,0.522,97.839,98.125,0.00017911112327371266
PO,P1,15.0,98.05,0.757,97.787,98.223,0.04825913882496511
PO,P1,20.0,97.767,0.942,97.44,97.99,0.0001892099925849962
PO,P2,0.0,97.79,0.194,97.727,97.836,1.0
PO,P2,2.0,97.675,0.378,97.564,97.768,0.1486671846875566
PO,P2,5.0,97.663,0.434,97.527,97.772,0.12170356021669182
PO,P2,10.0,97.593,0.589,97.422,97.747,0.23166622013101779
PO,P2,15.0,97.706,0.686,97.499,97.878,0.7020111769696078
PO,P2,20.0,97.677,0.614,97.505,97.839,0.41792647678965045
PO,P3,0.0,98.236,0.167,98.188,98.28,1.0
PO,P3,2.0,98.227,0.323,98.133,98.308,0.5602112355080962
PO,P3,5.0,97.94,0.673,97.714,98.099,0.06824050611749542
PO,P3,10.0,97.892,0.626,97.716,98.054,0.0018547251354814286
PO,P3,15.0,97.937,0.721,97.733,98.126,0.08796704835301385
PO,P3,20.0,97.718,0.985,97.391,97.953,0.0032798544736267555
PSO,P1,0.0,95.492,0.73,95.271,95.676,1.0
PSO,P1,2.0,94.511,1.78,93.956,94.958,0.005762911227183264
PSO,P1,5.0,93.201,2.217,92.572,93.793,2.397630900466715e-08
PSO,P1,10.0,92.188,3.374,91.126,93.041,6.862487513520243e-09
PSO,P1,15.0,91.256,3.378,90.287,92.133,6.193572581462575e-14
PSO,P1,20.0,88.289,4.25,86.992,89.39,8.991869370890002e-17
PSO,P2,0.0,93.828,0.835,93.589,94.045,1.0
PSO,P2,2.0,93.122,1.8,92.562,93.563,0.09457336972345802
PSO,P2,5.0,91.8,2.531,91.063,92.466,7.3109159417664325e-06
PSO,P2,10.0,90.914,3.796,89.718,91.838,1.324681679038964e-06
PSO,P2,15.0,89.729,4.032,88.534,90.731,3.1621958171324667e-10
PSO,P2,20.0,86.136,4.886,84.729,87.432,3.1949811257159377e-16
PSO,P3,0.0,93.776,0.577,93.61,93.928,1.0
PSO,P3,2.0,89.401,10.925,85.475,91.845,0.014531098515685603
PSO,P3,5.0,86.086,13.361,81.777,89.167,1.3829337489918803e-05
PSO,P3,10.0,81.163,15.49,76.744,85.214,8.422039171272846e-09
PSO,P3,15.0,79.951,14.018,75.869,83.444,7.678087430142371e-15
PSO,P3,20.0,73.377,15.333,69.065,77.527,1.012931310865706e-17
