# RTT Statistics — External P&O MPPT
# mean_ms,std_ms,max_ms,p99_ms,n_samples
# 23.689,10.374,447.836,52.284,25000
sample_index,rtt_ms
0,25.901
1,20.662
2,46.746
3,18.484
4,25.685
5,32.281
6,20.803
7,12.989
8,14.453
9,26.771
10,14.812
11,13.720
12,12.617
13,30.899
14,14.043
15,14.681
16,23.343
17,18.090
18,12.608
19,23.399
20,17.425
21,14.464
22,15.783
23,27.493
24,21.771
25,34.164
26,23.499
27,20.927
28,21.856
29,51.064
30,15.015
31,14.137
32,17.815
33,17.895
34,33.674
35,20.342
36,16.588
37,13.165
38,13.534
39,40.037
40,13.585
41,32.339
42,33.738
43,44.298
44,19.879
45,12.912
46,12.713
47,20.258
48,19.033
49,39.432
50,24.025
51,15.339
52,18.996
53,27.212
54,17.219
55,13.202
56,13.605
57,14.383
58,14.832
59,51.178
60,16.700
61,26.564
62,25.542
63,20.061
64,15.741
65,13.791
66,17.372
67,22.200
68,13.276
69,48.713
70,15.285
71,39.738
72,31.464
73,48.661
74,19.245
75,12.728
76,24.335
77,44.499
78,32.014
79,27.632
80,17.094
81,12.766
82,33.349
83,19.447
84,13.393
85,28.468
86,28.557
87,13.174
88,12.254
89,20.737
90,15.977
91,12.580
92,30.663
93,35.661
94,13.809
95,25.689
96,23.519
97,16.736
98,25.893
99,19.995
100,12.714
101,41.547
102,18.848
103,12.378
104,12.996
105,24.249
106,21.348
107,12.747
108,32.976
109,21.204
110,22.901
111,31.688
112,20.605
113,15.186
114,30.917
115,18.551
116,15.615
117,28.347
118,36.292
119,37.660
120,44.931
121,24.275
122,17.093
123,14.800
124,14.264
125,23.751
126,16.376
127,19.371
128,46.225
129,34.345
130,21.625
131,15.249
132,14.500
133,24.696
134,17.030
135,16.055
136,36.066
137,38.084
138,12.658
139,25.933
140,40.750
141,12.655
142,20.625
143,15.449
144,32.525
145,18.505
146,32.331
147,13.117
148,19.458
149,16.292
150,31.387
151,20.621
152,19.835
153,16.096
154,24.026
155,16.180
156,23.520
157,28.396
158,19.629
159,14.293
160,23.806
161,20.491
162,14.396
163,12.670
164,30.742
165,16.082
166,14.276
167,20.342
168,17.049
169,16.939
170,13.064
171,23.863
172,19.825
173,15.459
174,24.050
175,26.107
176,13.447
177,23.401
178,19.314
179,13.709
180,12.792
181,24.728
182,29.901
183,12.636
184,20.978
185,19.339
186,13.798
187,29.528
188,24.715
189,13.996
190,20.830
191,19.869
192,27.891
193,30.437
194,15.903
195,14.780
196,13.071
197,22.324
198,16.738
199,13.495
200,33.001
201,15.891
202,13.164
203,12.454
204,23.079
205,15.549
206,15.549
207,22.660
208,18.713
209,38.952
210,37.249
211,36.583
212,28.125
213,18.055
214,19.419
215,24.641
216,28.147
217,20.728
218,13.728
219,26.712
220,16.210
221,14.717
222,26.932
223,17.854
224,26.106
225,15.820
226,17.098
227,15.290
228,42.311
229,19.307
230,25.605
231,21.126
232,14.103
233,38.978
234,17.437
235,13.265
236,22.612
237,13.022
238,32.145
239,28.835
240,26.031
241,21.623
242,13.647
243,20.882
244,22.364
245,12.799
246,12.961
247,22.318
248,14.031
249,42.182
250,24.397
251,17.254
252,29.419
253,18.612
254,30.154
255,20.466
256,25.098
257,13.717
258,38.694
259,12.455
260,12.553
261,14.490
262,25.659
263,25.908
264,38.330
265,15.453
266,36.377
267,28.920
268,26.552
269,20.283
270,12.153
271,27.703
272,15.549
273,13.309
274,13.042
275,30.836
276,15.868
277,15.178
278,23.676
279,21.698
280,12.554
281,20.517
282,18.668
283,14.373
284,50.157
285,36.901
286,12.944
287,47.249
288,12.518
289,42.771
290,21.024
291,12.460
292,26.401
293,30.123
294,13.105
295,12.533
296,13.380
297,38.685
298,37.886
299,38.899
300,19.613
301,32.811
302,20.020
303,33.010
304,17.651
305,15.509
306,13.507
307,29.942
308,44.572
309,25.710
310,17.294
311,15.562
312,31.983
313,35.140
314,14.207
315,46.580
316,18.130
317,37.916
318,31.928
319,18.103
320,25.830
321,21.644
322,14.017
323,42.977
324,14.025
325,13.390
326,27.661
327,19.872
328,16.252
329,38.178
330,18.985
331,13.527
332,32.170
333,16.349
334,15.135
335,20.402
336,21.617
337,35.286
338,26.909
339,26.583
340,13.077
341,13.990
342,20.821
343,15.263
344,47.639
345,25.631
346,38.714
347,39.376
348,17.641
349,35.514
350,27.912
351,17.509
352,27.598
353,27.290
354,16.578
355,20.562
356,47.256
357,32.746
358,20.448
359,13.618
360,13.500
361,16.969
362,14.174
363,12.814
364,36.322
365,18.151
366,14.559
367,30.928
368,15.937
369,14.539
370,16.407
371,16.729
372,29.129
373,44.049
374,22.838
375,12.541
376,38.698
377,18.484
378,13.096
379,13.482
380,29.321
381,12.810
382,16.407
383,23.192
384,20.631
385,16.908
386,43.229
387,31.670
388,17.641
389,27.107
390,14.895
391,13.951
392,13.861
393,20.945
394,39.217
395,31.582
396,38.124
397,44.585
398,20.557
399,14.583
400,73.416
401,15.344
402,22.106
403,17.245
404,13.443
405,14.321
406,16.020
407,40.902
408,12.395
409,18.823
410,22.935
411,14.589
412,22.963
413,19.161
414,15.649
415,13.393
416,22.495
417,28.222
418,44.533
419,15.858
420,14.287
421,12.688
422,20.558
423,27.571
424,16.820
425,21.699
426,18.013
427,33.354
428,16.498
429,21.063
430,12.504
431,13.308
432,34.985
433,30.938
434,21.660
435,20.288
436,14.566
437,38.331
438,38.442
439,44.118
440,41.487
441,17.079
442,15.000
443,18.412
444,12.407
445,25.982
446,17.887
447,33.555
448,25.738
449,19.084
450,14.068
451,29.604
452,19.263
453,12.258
454,41.626
455,21.955
456,15.201
457,32.956
458,15.614
459,14.716
460,14.273
461,24.972
462,22.254
463,13.460
464,25.798
465,20.663
466,33.125
467,24.852
468,43.301
469,36.717
470,17.938
471,12.896
472,13.067
473,19.711
474,17.558
475,12.715
476,33.770
477,19.880
478,16.104
479,25.562
480,29.811
481,14.497
482,23.904
483,25.902
484,33.122
485,41.739
486,12.599
487,15.761
488,22.612
489,20.786
490,13.949
491,26.598
492,18.719
493,30.325
494,19.646
495,20.269
496,36.481
497,24.486
498,16.527
499,17.950
500,25.675
501,22.171
502,15.732
503,12.535
504,22.074
505,18.727
506,12.226
507,37.794
508,18.073
509,13.210
510,14.490
511,17.549
512,15.901
513,28.818
514,29.996
515,28.872
516,12.905
517,25.127
518,17.277
519,14.044
520,27.849
521,26.712
522,13.721
523,14.104
524,20.962
525,14.245
526,32.275
527,17.628
528,23.629
529,17.009
530,28.254
531,29.429
532,42.242
533,18.440
534,20.201
535,25.045
536,18.400
537,25.424
538,34.896
539,20.260
540,17.349
541,28.166
542,41.506
543,14.444
544,34.124
545,13.960
546,15.478
547,23.202
548,20.353
549,12.998
550,29.221
551,20.958
552,12.941
553,32.623
554,35.628
555,15.406
556,23.875
557,47.003
558,24.129
559,32.836
560,49.512
561,13.821
562,15.654
563,13.186
564,25.180
565,19.576
566,24.291
567,30.086
568,20.666
569,12.312
570,14.569
571,21.232
572,21.217
573,16.731
574,19.392
575,12.235
576,14.235
577,23.672
578,26.883
579,18.941
580,14.194
581,13.370
582,13.240
583,20.900
584,13.307
585,26.961
586,20.401
587,12.669
588,12.452
589,26.481
590,22.165
591,23.115
592,35.648
593,14.360
594,13.085
595,33.509
596,15.959
597,13.437
598,28.146
599,19.849
600,23.663
601,35.994
602,13.017
603,12.430
604,28.849
605,19.000
606,19.409
607,27.649
608,26.564
609,34.300
610,21.283
611,15.747
612,27.167
613,31.200
614,56.836
615,14.419
616,12.851
617,23.107
618,24.603
619,12.917
620,27.996
621,16.870
622,33.331
623,24.795
624,17.753
625,23.260
626,20.751
627,17.874
628,35.787
629,21.949
630,33.151
631,12.660
632,20.067
633,43.065
634,28.934
635,20.143
636,32.755
637,17.535
638,17.098
639,14.325
640,13.150
641,15.754
642,17.954
643,31.803
644,42.796
645,29.190
646,38.021
647,34.414
648,30.681
649,18.989
650,12.515
651,14.591
652,21.243
653,20.487
654,12.736
655,35.563
656,38.286
657,38.616
658,21.845
659,27.853
660,28.089
661,30.707
662,12.905
663,24.050
664,20.420
665,36.527
666,18.481
667,37.412
668,25.531
669,31.531
670,12.759
671,13.484
672,17.954
673,17.367
674,12.614
675,33.378
676,35.184
677,13.075
678,29.781
679,17.031
680,25.343
681,49.909
682,17.437
683,26.438
684,36.417
685,16.166
686,54.400
687,14.041
688,36.418
689,20.485
690,35.885
691,23.076
692,33.323
693,26.415
694,18.586
695,15.602
696,26.732
697,24.962
698,15.715
699,25.283
700,28.825
701,14.789
702,30.801
703,15.451
704,37.005
705,25.040
706,23.569
707,34.112
708,38.937
709,37.968
710,50.746
711,13.614
712,27.690
713,17.440
714,15.687
715,16.826
716,39.287
717,18.021
718,27.434
719,13.494
720,15.797
721,15.592
722,45.166
723,13.664
724,38.041
725,22.982
726,14.014
727,25.543
728,19.910
729,16.089
730,12.840
731,21.596
732,39.355
733,13.527
734,17.971
735,24.979
736,12.318
737,29.477
738,36.489
739,13.940
740,43.989
741,13.010
742,13.871
743,19.294
744,24.386
745,12.738
746,23.290
747,18.090
748,36.141
749,25.328
750,34.426
751,12.603
752,24.088
753,36.074
754,38.639
755,32.629
756,12.524
757,29.970
758,21.328
759,13.553
760,26.802
761,18.732
762,18.032
763,36.211
764,20.532
765,27.280
766,34.423
767,16.816
768,36.428
769,18.184
770,15.006
771,12.985
772,25.239
773,29.044
774,36.763
775,18.908
776,14.854
777,27.959
778,24.611
779,17.971
780,17.361
781,33.995
782,35.650
783,41.982
784,21.159
785,18.190
786,23.161
787,20.162
788,14.609
789,12.704
790,25.123
791,24.161
792,15.888
793,28.096
794,38.740
795,17.131
796,39.171
797,32.378
798,25.312
