# RTT Statistics — External P&O MPPT
# mean_ms,std_ms,max_ms,p99_ms,n_samples
# 31.971,11.941,126.447,57.155,10000
sample_index,rtt_ms
0,34.432
1,23.594
2,27.011
3,26.684
4,46.764
5,35.264
6,16.445
7,36.763
8,49.825
9,22.654
10,42.280
11,12.935
12,30.666
13,42.516
14,32.578
15,39.551
16,37.770
17,50.783
18,24.879
19,22.877
20,31.160
21,16.135
22,17.382
23,46.138
24,32.276
25,36.952
26,29.758
27,24.565
28,28.871
29,18.168
30,35.420
31,24.187
32,34.102
33,42.863
34,36.426
35,17.101
36,31.921
37,15.030
38,32.045
39,25.566
40,34.440
41,32.305
42,26.479
43,37.462
44,37.893
45,36.583
46,27.104
47,37.791
48,36.614
49,24.340
50,38.621
51,36.628
52,55.081
53,13.550
54,42.471
55,27.704
56,16.180
57,31.641
58,37.013
59,43.116
60,13.417
61,38.427
62,29.362
63,29.714
64,51.385
65,12.517
66,39.974
67,31.866
68,14.606
69,42.640
70,39.478
71,48.779
72,12.905
73,48.344
74,21.793
75,14.200
76,42.346
77,13.190
78,37.962
79,53.976
80,22.681
81,38.505
82,15.777
83,28.299
84,51.272
85,60.651
86,12.256
87,12.775
88,53.187
89,13.849
90,31.692
91,39.424
92,36.153
93,38.010
94,40.867
95,55.955
96,15.968
97,48.269
98,21.185
99,35.442
100,32.535
101,52.088
102,35.556
103,38.359
104,36.234
105,54.055
106,12.807
107,30.687
108,36.971
109,14.063
110,13.164
111,16.495
112,19.926
113,27.790
114,49.530
115,39.685
116,30.159
117,48.470
118,27.138
119,32.159
120,14.248
121,38.325
122,19.987
123,42.089
124,23.142
125,38.038
126,14.878
127,29.709
128,51.244
129,14.304
130,31.940
131,32.651
132,25.435
133,29.459
134,27.628
135,50.619
136,23.969
137,25.110
138,29.208
139,31.522
140,53.535
141,32.242
142,14.438
143,47.240
144,25.399
145,30.027
146,28.881
147,25.862
148,34.799
149,45.298
150,39.839
151,51.176
152,12.860
153,31.419
154,37.684
155,26.701
156,19.018
157,72.906
158,24.737
159,22.629
160,12.184
161,40.294
162,32.220
163,51.670
164,23.506
165,52.216
166,21.621
167,24.304
168,41.864
169,39.393
170,40.630
171,34.375
172,36.669
173,38.128
174,37.336
175,13.622
176,30.861
177,29.193
178,28.696
179,23.523
180,22.827
181,40.227
182,45.170
183,39.874
184,37.387
185,36.915
186,54.324
187,41.959
188,37.233
189,28.726
190,14.836
191,23.814
192,12.932
193,44.608
194,23.926
195,39.307
196,23.937
197,52.627
198,28.334
199,39.449
200,32.574
201,36.039
202,29.696
203,31.579
204,34.154
205,12.266
206,31.783
207,14.221
208,40.264
209,35.517
210,42.888
211,22.048
212,64.159
213,35.922
214,25.804
215,29.661
216,48.961
217,26.735
218,51.089
219,13.037
220,51.557
221,31.465
222,16.634
223,45.764
224,22.871
225,37.426
226,38.080
227,38.398
228,31.608
229,28.903
230,23.592
231,54.196
232,12.253
233,43.358
234,26.888
235,51.095
236,37.032
237,51.036
238,28.935
239,31.425
240,31.598
241,13.267
242,53.355
243,53.877
244,21.498
245,22.086
246,45.114
247,24.307
248,22.778
249,38.531
250,39.087
251,54.836
252,37.795
253,39.690
254,49.090
255,33.710
256,18.379
257,41.216
258,39.110
259,30.542
260,35.294
261,48.161
262,13.539
263,12.859
264,44.860
265,37.470
266,52.137
267,38.146
268,34.312
269,13.731
270,29.106
271,43.336
272,39.137
273,41.248
274,35.216
275,13.406
276,47.991
277,14.467
278,17.038
279,16.408
280,29.984
281,27.423
282,34.874
283,23.734
284,51.537
285,22.797
286,22.520
287,38.627
288,36.184
289,14.590
290,29.397
291,39.080
292,40.852
293,34.627
294,15.350
295,49.029
296,23.861
297,37.594
298,38.368
299,40.078
300,35.610
301,51.254
302,34.317
303,39.152
304,28.112
305,15.628
306,41.423
307,14.076
308,40.932
309,31.197
310,43.191
311,40.975
312,37.516
313,13.273
314,32.948
315,52.322
316,40.224
317,55.118
318,15.594
319,35.904
320,15.873
