# RTT Statistics — External P&O MPPT
# mean_ms,std_ms,max_ms,p99_ms,n_samples
# 25.633,11.823,95.604,54.909,172
sample_index,rtt_ms
0,48.242
1,32.416
2,23.103
3,42.227
4,38.445
5,26.971
6,29.969
7,18.533
8,15.754
9,18.978
10,29.106
11,16.678
12,17.685
13,35.599
14,45.161
15,27.172
16,35.054
17,19.446
18,41.900
19,30.590
20,27.467
21,29.181
22,38.507
23,33.971
24,16.244
25,14.882
26,23.002
27,13.861
28,20.213
29,16.375
30,14.748
31,26.133
32,15.554
33,23.268
34,30.672
35,28.456
36,19.724
37,19.199
38,13.624
39,13.311
40,38.731
41,16.280
42,15.329
43,17.068
44,24.509
45,15.364
46,19.793
47,39.345
48,27.776
49,15.287
50,19.332
51,17.417
52,34.741
53,14.274
54,39.572
55,16.435
56,43.574
57,18.446
58,14.738
59,16.407
60,49.839
61,17.402
62,14.938
63,14.971
64,53.075
65,15.888
66,17.516
67,26.477
68,17.017
69,23.712
70,15.297
71,17.513
72,28.909
73,38.356
74,28.555
75,28.362
76,19.833
77,44.556
78,21.958
79,32.464
80,15.781
81,18.785
82,14.331
83,51.554
84,28.807
85,16.622
86,42.797
87,15.534
88,15.680
89,21.705
90,51.012
91,16.385
92,50.701
93,15.797
94,18.987
95,17.562
96,47.751
97,18.817
98,20.138
99,21.608
100,33.859
101,16.670
102,18.772
103,18.794
104,18.135
105,28.412
106,22.982
107,16.453
108,20.499
109,22.754
110,22.121
111,28.819
112,15.844
113,28.165
114,36.809
115,15.805
116,16.076
117,26.655
118,18.191
119,28.489
120,23.493
121,35.745
122,40.966
123,14.478
124,27.957
125,17.874
126,22.130
127,21.558
128,17.676
129,37.860
130,18.124
131,16.456
132,14.218
133,24.433
134,15.684
135,20.926
136,36.832
137,28.235
138,34.582
139,15.582
140,18.069
141,27.707
142,18.415
143,36.663
144,95.604
145,15.291
146,29.773
147,44.825
148,15.203
149,42.747
150,26.698
151,58.452
152,18.251
153,28.836
154,15.061
155,15.702
156,41.386
157,18.132
158,36.394
159,29.759
160,22.515
161,12.642
162,15.040
163,32.230
164,17.150
165,42.012
166,53.462
167,20.656
168,15.461
169,14.644
170,29.310
171,18.763
