# RTT Statistics — External P&O MPPT
# mean_ms,std_ms,max_ms,p99_ms,n_samples
# 23.581,9.559,63.791,52.057,172
sample_index,rtt_ms
0,33.911
1,14.619
2,29.096
3,17.105
4,34.850
5,26.666
6,16.219
7,21.004
8,13.148
9,43.401
10,20.099
11,38.479
12,37.426
13,17.574
14,15.571
15,50.883
16,15.154
17,18.501
18,17.959
19,12.958
20,29.441
21,16.975
22,16.877
23,38.873
24,17.244
25,31.437
26,13.372
27,38.672
28,18.332
29,17.458
30,46.701
31,18.909
32,31.723
33,15.385
34,25.466
35,15.607
36,20.575
37,19.379
38,41.575
39,16.377
40,37.886
41,14.928
42,42.255
43,32.428
44,18.160
45,24.350
46,14.342
47,18.308
48,21.934
49,16.979
50,28.672
51,20.674
52,18.010
53,28.509
54,28.470
55,19.450
56,20.865
57,27.121
58,24.250
59,20.434
60,19.994
61,41.112
62,17.325
63,20.699
64,21.117
65,15.523
66,45.744
67,24.177
68,16.605
69,25.665
70,17.606
71,20.002
72,18.289
73,44.501
74,15.305
75,20.167
76,18.916
77,15.356
78,25.965
79,18.470
80,32.730
81,20.240
82,31.831
83,17.497
84,18.066
85,26.422
86,53.890
87,19.483
88,15.583
89,30.999
90,19.544
91,15.459
92,14.338
93,27.559
94,32.106
95,16.210
96,16.808
97,30.818
98,17.921
99,34.833
100,16.748
101,25.707
102,16.710
103,15.698
104,15.995
105,17.519
106,27.660
107,21.870
108,18.724
109,17.876
110,28.687
111,18.730
112,63.791
113,25.766
114,19.088
115,15.685
116,14.864
117,20.730
118,51.308
119,16.424
120,14.983
121,15.468
122,36.221
123,24.850
124,21.433
125,25.686
126,15.169
127,19.913
128,19.054
129,14.764
130,27.507
131,16.846
132,20.559
133,17.461
134,42.741
135,20.373
136,15.246
137,14.042
138,15.572
139,25.770
140,18.714
141,16.889
142,17.754
143,14.281
144,25.435
145,19.702
146,16.461
147,16.630
148,14.382
149,26.319
150,42.170
151,17.617
152,29.454
153,36.838
154,28.387
155,41.888
156,19.715
157,23.688
158,17.267
159,29.839
160,17.296
161,16.685
162,16.200
163,17.107
164,46.113
165,34.422
166,26.494
167,15.285
168,18.571
169,16.014
170,21.672
171,25.550
