# RTT Statistics — External P&O MPPT
# mean_ms,std_ms,max_ms,p99_ms,n_samples
# 29.518,12.651,459.555,56.956,10000
sample_index,rtt_ms
0,35.112
1,12.933
2,34.241
3,39.394
4,28.785
5,44.723
6,37.913
7,17.198
8,42.162
9,22.308
10,36.222
11,42.569
12,38.152
13,33.529
14,39.154
15,12.863
16,32.276
17,32.368
18,35.498
19,47.109
20,13.050
21,22.539
22,42.074
23,27.667
24,45.648
25,23.360
26,35.724
27,34.239
28,16.734
29,41.501
30,41.435
31,49.095
32,41.086
33,14.771
34,48.089
35,31.408
36,48.657
37,26.078
38,36.849
39,39.168
40,22.669
41,42.827
42,32.650
43,51.567
44,40.340
45,33.788
46,31.805
47,25.947
48,32.739
49,12.774
50,45.476
51,38.100
52,37.672
53,25.255
54,29.636
55,25.914
56,17.014
57,40.540
58,34.469
59,26.687
60,22.469
61,50.007
62,29.555
63,18.176
64,31.444
65,15.681
66,26.999
67,37.670
68,13.824
69,35.002
70,53.576
71,46.732
72,39.707
73,37.902
74,35.740
75,14.104
76,43.614
77,13.864
78,46.573
79,36.587
80,47.121
81,12.810
82,12.864
83,50.315
84,32.235
85,14.375
86,29.740
87,15.957
88,35.378
89,23.172
90,37.804
91,39.215
92,35.694
93,17.245
94,24.081
95,18.983
96,24.689
97,34.875
98,15.833
99,34.463
100,34.905
101,40.332
102,25.775
103,27.665
104,30.970
105,33.918
106,40.229
107,33.936
108,38.300
109,35.839
110,25.291
111,34.902
112,42.093
113,35.311
114,15.261
115,30.429
116,45.763
117,29.758
118,35.820
119,25.851
120,32.609
121,49.573
122,30.481
123,39.100
124,38.781
125,46.133
126,36.493
127,42.393
128,16.914
129,38.421
130,15.360
131,14.664
132,37.693
133,37.244
134,51.145
135,54.654
136,36.097
137,43.472
138,29.772
139,34.549
140,17.880
141,42.484
142,37.759
143,32.586
144,39.088
145,24.497
146,15.664
147,46.472
148,13.472
149,43.714
150,24.716
151,28.486
152,33.308
153,17.297
154,27.975
155,19.690
156,38.694
157,28.086
158,29.118
159,52.044
160,29.035
161,28.396
162,43.081
163,27.511
164,30.337
165,16.092
166,14.193
167,40.992
168,25.098
169,23.611
170,37.323
171,41.168
172,36.841
173,34.986
174,49.631
175,24.681
176,14.002
177,17.463
178,21.553
179,30.881
180,39.451
181,36.154
182,50.740
183,29.091
184,41.771
185,30.085
186,39.166
187,38.570
188,36.135
189,35.913
190,40.339
191,35.775
192,40.277
193,36.638
194,37.824
195,36.944
196,46.287
197,29.125
198,48.959
199,23.935
200,23.480
201,37.677
202,38.272
203,15.994
204,44.542
205,14.237
206,31.353
207,35.038
208,45.368
209,30.522
210,47.938
211,29.569
212,35.455
213,37.659
214,41.846
215,30.281
216,12.522
217,46.499
218,38.591
219,44.380
220,38.498
221,21.517
222,30.386
223,49.768
224,30.689
225,35.544
226,41.050
227,25.800
228,17.771
229,41.591
230,39.239
231,17.458
232,37.006
233,49.989
234,23.364
235,33.668
236,15.553
237,41.784
238,25.564
239,28.050
240,30.335
241,49.639
242,37.268
243,42.987
244,33.773
245,54.700
246,39.655
247,13.166
248,26.525
249,13.135
250,17.146
251,40.995
252,43.991
253,36.048
254,49.334
255,27.462
256,39.782
257,34.695
258,54.452
259,37.124
