# RTT Statistics — External P&O MPPT
# mean_ms,std_ms,max_ms,p99_ms,n_samples
# 23.906,10.033,57.614,52.396,172
sample_index,rtt_ms
0,16.078
1,18.461
2,16.888
3,12.301
4,25.329
5,38.096
6,15.531
7,31.780
8,15.457
9,30.879
10,20.812
11,32.775
12,32.462
13,19.822
14,28.357
15,15.664
16,19.304
17,20.481
18,12.646
19,25.759
20,35.720
21,20.502
22,14.335
23,28.043
24,20.331
25,18.751
26,42.289
27,21.975
28,15.334
29,17.256
30,15.379
31,25.910
32,15.665
33,16.036
34,14.303
35,15.143
36,27.241
37,41.039
38,15.548
39,28.241
40,18.943
41,22.237
42,29.353
43,30.632
44,20.905
45,22.852
46,14.689
47,27.284
48,15.575
49,20.459
50,18.207
51,15.542
52,25.703
53,15.513
54,16.921
55,17.200
56,14.802
57,28.314
58,24.159
59,36.530
60,28.761
61,16.255
62,37.338
63,47.372
64,50.395
65,15.979
66,57.295
67,20.489
68,15.318
69,25.535
70,14.538
71,18.440
72,41.730
73,47.760
74,14.137
75,17.234
76,15.378
77,29.247
78,14.870
79,20.278
80,16.636
81,37.450
82,19.711
83,19.621
84,14.727
85,39.532
86,42.950
87,50.114
88,15.271
89,18.520
90,31.111
91,31.554
92,19.225
93,18.432
94,16.315
95,15.224
96,23.940
97,15.538
98,19.363
99,19.356
100,15.798
101,29.216
102,14.143
103,19.549
104,17.563
105,16.753
106,25.663
107,17.405
108,18.239
109,30.375
110,31.632
111,26.468
112,23.953
113,42.609
114,36.130
115,19.760
116,16.151
117,37.851
118,32.090
119,18.896
120,27.466
121,17.807
122,46.837
123,30.167
124,15.440
125,17.753
126,16.526
127,48.045
128,30.846
129,17.869
130,44.315
131,57.614
132,16.018
133,26.531
134,19.857
135,15.488
136,16.563
137,13.935
138,47.827
139,19.487
140,18.035
141,14.555
142,50.256
143,18.812
144,16.663
145,25.173
146,17.501
147,23.827
148,17.403
149,14.453
150,28.739
151,17.213
152,23.718
153,15.133
154,24.318
155,15.439
156,22.281
157,16.783
158,17.147
159,27.779
160,17.380
161,23.004
162,20.183
163,23.540
164,15.561
165,18.648
166,16.192
167,47.265
168,16.494
169,27.126
170,29.200
171,28.697
