# RTT Statistics — External P&O MPPT
# mean_ms,std_ms,max_ms,p99_ms,n_samples
# 24.505,10.375,56.768,53.661,172
sample_index,rtt_ms
0,22.960
1,17.821
2,13.941
3,12.992
4,28.276
5,18.706
6,15.408
7,15.854
8,32.186
9,13.938
10,16.372
11,17.636
12,15.285
13,24.890
14,19.374
15,26.987
16,15.931
17,36.151
18,34.171
19,15.534
20,15.452
21,41.026
22,16.146
23,14.770
24,19.082
25,56.010
26,48.334
27,14.996
28,21.114
29,30.290
30,39.935
31,18.988
32,41.599
33,25.302
34,31.059
35,16.686
36,16.358
37,34.055
38,16.517
39,31.059
40,17.470
41,26.637
42,17.095
43,15.159
44,16.379
45,16.515
46,47.144
47,14.770
48,15.683
49,18.096
50,45.165
51,30.453
52,15.665
53,27.520
54,25.201
55,20.344
56,15.899
57,34.503
58,24.047
59,16.465
60,16.726
61,30.239
62,14.170
63,19.599
64,16.667
65,14.925
66,26.515
67,37.507
68,56.768
69,37.511
70,36.884
71,46.566
72,19.817
73,22.506
74,13.816
75,43.348
76,17.805
77,51.575
78,32.825
79,16.362
80,52.701
81,15.550
82,27.694
83,15.515
84,15.736
85,26.539
86,33.881
87,29.893
88,44.235
89,30.574
90,14.988
91,25.547
92,36.580
93,26.642
94,15.859
95,31.470
96,25.946
97,18.732
98,14.967
99,29.504
100,24.701
101,16.896
102,14.311
103,32.723
104,36.643
105,20.821
106,14.346
107,25.690
108,16.948
109,17.317
110,21.228
111,16.757
112,39.904
113,21.762
114,15.899
115,15.728
116,34.773
117,31.612
118,27.189
119,15.930
120,26.603
121,17.852
122,26.609
123,17.768
124,39.879
125,45.870
126,36.351
127,14.869
128,36.733
129,16.823
130,28.914
131,15.609
132,18.647
133,18.282
134,16.924
135,52.271
136,14.164
137,13.893
138,25.613
139,15.452
140,22.727
141,18.978
142,15.997
143,29.634
144,20.558
145,39.541
146,29.739
147,17.854
148,16.423
149,14.341
150,15.416
151,36.622
152,16.266
153,19.635
154,48.895
155,15.692
156,20.189
157,16.013
158,18.584
159,27.581
160,19.484
161,34.418
162,16.485
163,26.114
164,31.329
165,12.929
166,15.416
167,29.642
168,23.376
169,13.352
170,15.432
171,27.745
