# RTT Statistics — External P&O MPPT
# mean_ms,std_ms,max_ms,p99_ms,n_samples
# 24.660,10.877,111.962,52.249,25000
sample_index,rtt_ms
0,14.673
1,15.566
2,23.650
3,40.208
4,18.142
5,33.873
6,28.973
7,13.225
8,47.543
9,16.256
10,14.774
11,24.697
12,15.977
13,14.342
14,48.311
15,38.529
16,47.677
17,28.769
18,45.808
19,13.277
20,13.956
21,46.761
22,24.977
23,18.068
24,27.735
25,13.464
26,21.647
27,26.891
28,19.066
29,16.637
30,13.517
31,46.643
32,12.684
33,39.021
34,14.181
35,14.365
36,12.183
37,43.884
38,12.856
39,36.329
40,35.925
41,30.596
42,27.334
43,13.374
44,13.196
45,25.604
46,41.912
47,53.589
48,13.928
49,70.540
50,26.861
51,23.202
52,40.392
53,35.962
54,27.666
55,28.190
56,24.200
57,25.845
58,35.096
59,41.709
60,14.828
61,14.714
62,38.121
63,27.217
64,14.732
65,17.544
66,47.537
67,14.007
68,36.585
69,30.237
70,13.789
71,33.209
72,37.167
73,36.051
74,25.323
75,14.306
76,37.528
77,30.362
78,12.824
79,23.419
80,17.658
81,33.771
82,44.152
83,12.692
84,14.111
85,30.731
86,15.627
87,30.563
88,36.422
89,37.961
90,36.576
91,35.700
92,13.149
93,36.283
94,15.780
95,16.333
96,43.539
97,13.145
98,38.540
99,30.024
100,13.579
101,37.427
102,28.038
103,12.307
104,36.385
105,13.542
106,15.118
107,45.855
108,24.322
109,36.650
110,36.226
111,15.868
112,18.479
113,35.686
114,46.461
115,44.461
116,15.983
117,38.811
118,42.324
119,39.416
120,15.043
121,13.793
122,13.479
123,31.120
124,15.551
125,12.262
126,38.625
127,29.031
128,22.810
129,27.065
130,17.771
131,12.293
132,13.387
133,29.458
134,27.680
135,46.706
136,50.892
137,24.552
138,26.965
139,15.071
140,40.619
141,27.564
142,48.726
143,37.829
144,49.242
145,17.938
146,14.082
147,46.803
148,30.808
149,44.504
150,19.038
151,14.949
152,13.947
153,47.572
154,39.429
155,40.077
156,36.794
157,38.203
158,37.455
159,39.808
160,33.428
161,50.535
162,17.826
163,14.348
164,19.925
165,22.696
166,35.806
167,30.974
168,43.436
169,46.890
170,18.553
171,12.682
172,12.502
173,38.757
174,31.456
175,40.938
176,35.241
177,43.543
178,16.943
179,15.421
180,42.822
181,14.842
182,34.461
183,26.203
184,30.939
185,63.938
186,27.134
187,42.948
188,31.927
189,45.749
190,17.055
191,16.389
192,13.548
193,36.812
194,32.857
195,40.369
196,17.490
197,27.938
198,42.309
199,30.494
200,37.602
201,16.589
202,27.060
203,44.757
204,26.364
205,14.298
206,24.402
207,28.933
208,45.669
209,44.567
210,45.706
211,19.820
212,12.456
213,36.987
214,17.943
215,32.466
216,29.632
217,31.331
218,13.450
219,31.286
220,15.932
221,13.091
222,50.223
223,36.080
224,35.249
225,18.082
226,15.785
227,16.055
228,23.046
229,34.988
230,47.603
231,46.498
232,39.360
233,16.363
234,14.110
235,36.808
236,14.700
237,42.828
238,33.486
239,49.942
240,18.687
241,29.582
242,39.937
243,14.385
244,38.927
245,18.494
246,30.141
247,40.175
248,13.236
249,28.829
250,28.588
251,26.006
252,25.353
253,20.710
254,15.532
255,30.579
256,26.331
257,16.752
258,30.941
259,38.316
260,13.060
261,12.212
262,23.724
263,19.151
264,17.930
265,50.493
266,37.803
267,47.085
268,17.528
269,16.010
270,15.009
271,35.425
272,13.824
273,30.922
274,31.818
275,22.472
276,43.957
277,15.065
278,37.565
279,36.851
280,13.991
281,27.845
282,21.775
283,38.312
284,37.914
285,42.380
286,17.465
287,23.973
288,33.548
289,12.906
290,28.311
291,24.265
292,16.938
293,46.905
294,15.565
295,16.673
296,46.123
297,17.444
298,16.439
299,24.584
300,18.607
301,13.555
302,26.054
303,14.980
304,12.382
305,13.734
306,35.164
307,39.237
308,33.275
309,17.276
310,18.280
311,26.143
312,41.213
313,43.103
314,21.422
315,30.144
316,23.975
317,20.474
318,16.911
319,39.134
320,23.758
321,21.334
322,14.101
323,25.583
324,32.056
325,20.122
326,27.343
327,31.962
328,12.725
329,25.774
330,13.370
331,12.427
332,12.336
333,27.898
334,16.534
335,44.114
336,25.566
337,37.197
338,21.821
339,37.689
340,45.248
341,24.959
342,13.099
343,33.999
344,14.057
345,15.766
346,16.147
347,23.012
348,14.783
349,13.549
350,26.983
351,17.136
352,29.988
353,26.562
354,17.651
355,13.358
356,13.486
357,17.332
358,15.868
359,15.559
360,12.952
361,39.972
362,15.042
363,42.879
364,17.820
365,33.583
366,36.793
367,32.887
368,29.331
369,17.932
370,13.498
371,13.085
372,29.840
373,13.831
374,39.717
375,22.428
376,13.526
377,14.191
378,23.436
379,21.660
380,13.771
381,15.168
382,34.231
383,18.330
384,28.286
385,35.250
386,12.270
387,41.384
388,17.023
389,12.721
390,50.871
391,14.951
392,31.073
393,26.578
394,30.470
395,23.121
396,40.330
397,15.251
