# RTT Statistics — External P&O MPPT
# mean_ms,std_ms,max_ms,p99_ms,n_samples
# 27.667,15.476,1016.892,55.250,10000
sample_index,rtt_ms
0,34.594
1,30.083
2,22.621
3,25.103
4,30.958
5,13.344
6,27.798
7,38.488
8,39.572
9,39.533
10,17.800
11,53.357
12,34.573
13,39.089
14,18.178
15,42.174
16,35.683
17,50.657
18,36.258
19,31.718
20,29.330
21,13.689
22,34.660
23,18.152
24,29.921
25,25.635
26,36.869
27,28.213
28,12.854
29,15.281
30,42.625
31,14.221
32,15.047
33,51.296
34,13.421
35,16.079
36,20.053
37,12.134
38,13.064
39,13.350
40,24.155
41,28.626
42,19.315
43,27.087
44,14.926
45,32.508
46,19.804
47,26.780
48,45.121
49,15.017
50,35.332
51,31.698
52,14.252
53,13.449
54,49.129
55,36.375
56,17.792
57,27.098
58,37.347
59,16.419
60,33.892
61,33.002
62,39.353
63,19.086
64,16.523
65,33.371
66,22.361
67,23.036
68,25.640
69,13.951
70,34.013
71,38.043
72,22.654
73,16.609
74,44.282
75,27.361
76,52.458
77,36.665
78,24.706
79,15.506
80,27.895
81,24.431
82,13.538
83,27.852
84,34.263
85,12.192
86,38.017
87,35.249
88,39.589
89,39.311
90,12.762
91,77.433
92,13.025
93,15.919
94,16.424
95,18.348
96,12.662
97,36.713
98,39.519
99,38.673
100,31.411
101,29.220
102,41.122
103,26.401
104,39.670
105,39.122
106,31.072
107,28.596
108,30.872
109,84.152
110,36.782
111,26.420
112,33.464
113,51.966
114,12.607
115,12.838
116,41.586
117,21.247
118,37.398
119,39.597
120,44.771
121,31.788
122,48.005
123,36.162
124,27.722
125,12.729
126,30.403
127,20.703
128,13.890
129,29.007
130,27.915
131,13.231
132,15.227
133,43.561
134,23.471
135,18.651
136,13.797
137,22.713
138,36.079
139,39.889
140,37.627
141,17.148
142,26.713
143,39.637
144,24.544
145,40.296
146,25.591
147,37.177
148,13.687
149,21.943
150,29.012
151,14.345
152,32.811
153,42.610
154,36.585
155,23.522
156,39.380
157,13.260
158,36.805
159,49.916
160,16.258
161,40.235
162,25.857
163,35.911
164,37.709
165,39.772
166,28.637
167,30.665
168,52.321
169,23.653
170,13.636
171,25.271
172,39.593
173,37.747
174,23.184
175,17.923
176,36.257
177,22.764
178,37.225
179,13.994
180,34.614
181,19.073
182,14.641
183,31.406
184,39.097
185,41.706
186,22.256
187,38.467
188,41.775
189,12.312
190,33.033
191,34.066
192,38.681
193,46.696
194,31.542
195,14.657
196,21.047
197,45.380
198,51.873
199,36.498
200,26.855
201,15.908
202,17.177
203,40.943
204,12.796
205,21.915
206,56.662
207,39.481
208,46.348
209,38.099
210,13.469
211,25.305
212,39.100
213,36.746
214,18.017
215,40.628
216,13.451
217,16.546
218,27.002
219,34.088
220,40.883
221,29.433
222,52.661
223,12.637
224,33.535
225,39.672
226,14.360
227,16.178
228,16.696
229,45.909
230,43.692
231,12.553
232,40.137
233,32.472
234,23.613
235,16.459
236,44.577
237,42.213
238,14.424
239,37.993
240,35.200
241,37.211
242,50.041
243,22.878
244,39.275
245,35.845
246,48.440
247,29.362
248,44.073
249,41.549
250,30.499
251,30.933
252,12.559
253,37.764
254,15.141
255,24.465
256,39.733
257,22.320
258,16.497
259,28.242
260,13.235
261,41.651
262,34.693
263,50.773
264,35.968
265,40.372
266,38.811
267,38.230
268,37.424
269,38.292
270,42.934
271,33.097
272,37.353
273,24.363
274,24.559
275,42.532
276,28.244
277,28.965
278,16.064
279,44.655
280,24.961
281,24.739
282,13.553
283,15.089
284,15.512
285,40.572
286,23.749
287,19.306
288,42.007
289,47.370
290,29.728
291,26.681
292,37.613
293,49.280
294,26.026
295,19.631
296,25.838
297,22.612
298,19.088
299,27.153
300,21.887
301,18.174
302,34.607
303,31.250
304,44.769
305,26.230
306,22.987
307,26.446
308,36.652
309,17.869
310,72.648
311,45.263
312,14.196
313,14.264
314,25.635
315,15.980
316,27.104
317,53.885
318,36.267
319,40.713
320,51.025
321,13.241
322,14.703
323,25.465
324,37.922
325,13.513
326,33.760
327,36.931
328,14.704
329,15.262
330,35.995
331,40.310
332,24.497
333,34.717
334,52.388
335,31.305
336,22.468
337,39.549
338,22.172
339,15.764
340,25.348
341,16.372
342,14.232
343,34.377
344,14.754
345,12.801
346,48.510
347,23.954
348,14.036
349,15.946
350,25.206
351,13.885
352,13.528
353,50.928
354,38.559
355,40.769
356,34.622
357,28.481
358,19.655
359,32.601
