# RTT Statistics — External P&O MPPT
# mean_ms,std_ms,max_ms,p99_ms,n_samples
# 23.891,10.217,58.900,54.527,172
sample_index,rtt_ms
0,26.355
1,13.116
2,31.444
3,15.106
4,55.357
5,38.888
6,16.411
7,14.969
8,33.615
9,18.605
10,18.454
11,43.350
12,35.603
13,15.478
14,13.126
15,35.901
16,20.337
17,40.429
18,23.602
19,16.414
20,16.094
21,17.138
22,13.500
23,47.987
24,14.284
25,14.508
26,37.221
27,15.704
28,18.670
29,36.099
30,27.171
31,29.699
32,17.673
33,18.035
34,23.470
35,15.175
36,16.193
37,15.050
38,38.534
39,37.083
40,15.468
41,15.374
42,28.186
43,20.054
44,16.691
45,15.052
46,15.210
47,26.369
48,32.601
49,17.233
50,13.642
51,27.144
52,15.616
53,20.205
54,13.492
55,18.115
56,24.506
57,19.625
58,15.633
59,15.436
60,15.784
61,25.926
62,20.414
63,27.395
64,15.601
65,27.902
66,20.645
67,15.762
68,17.941
69,16.396
70,22.971
71,18.128
72,28.500
73,16.598
74,26.561
75,23.293
76,17.813
77,15.549
78,39.172
79,15.511
80,31.522
81,17.661
82,39.749
83,20.609
84,16.231
85,15.386
86,26.706
87,17.751
88,18.552
89,16.456
90,45.198
91,17.149
92,18.034
93,20.710
94,16.977
95,29.453
96,17.876
97,15.178
98,20.959
99,30.301
100,28.813
101,18.644
102,18.444
103,29.864
104,17.544
105,22.736
106,39.622
107,28.677
108,20.931
109,18.978
110,29.858
111,47.364
112,20.158
113,15.069
114,26.625
115,17.423
116,18.871
117,14.540
118,28.202
119,28.889
120,18.749
121,17.313
122,46.999
123,18.706
124,16.694
125,16.873
126,47.172
127,37.690
128,18.785
129,47.789
130,21.800
131,23.446
132,18.441
133,35.302
134,17.352
135,45.924
136,28.171
137,19.736
138,18.366
139,15.642
140,24.775
141,16.672
142,19.479
143,20.860
144,16.202
145,54.188
146,14.618
147,15.881
148,19.271
149,58.900
150,30.610
151,48.528
152,17.524
153,15.714
154,14.037
155,24.852
156,18.275
157,12.772
158,14.923
159,16.695
160,31.010
161,37.979
162,18.842
163,39.719
164,22.599
165,13.790
166,18.443
167,52.775
168,35.491
169,26.700
170,34.456
171,18.661
