# RTT Statistics — External P&O MPPT
# mean_ms,std_ms,max_ms,p99_ms,n_samples
# 24.323,9.379,60.678,49.636,172
sample_index,rtt_ms
0,40.000
1,15.402
2,13.383
3,27.820
4,24.401
5,29.954
6,32.831
7,26.257
8,13.455
9,25.050
10,14.978
11,27.786
12,19.414
13,18.600
14,13.758
15,13.839
16,25.616
17,16.536
18,13.915
19,30.405
20,29.514
21,30.790
22,39.778
23,26.091
24,38.326
25,15.349
26,35.259
27,16.774
28,24.752
29,19.536
30,38.627
31,21.261
32,37.355
33,23.015
34,14.312
35,19.286
36,20.079
37,14.694
38,25.678
39,17.037
40,20.661
41,14.810
42,13.268
43,27.670
44,15.328
45,16.417
46,30.411
47,29.327
48,18.900
49,38.186
50,13.837
51,24.630
52,18.485
53,22.600
54,14.431
55,24.358
56,17.552
57,18.386
58,18.028
59,14.971
60,26.973
61,18.206
62,20.999
63,15.627
64,37.857
65,17.824
66,34.666
67,17.343
68,45.612
69,15.435
70,14.768
71,16.599
72,30.816
73,16.409
74,20.017
75,17.470
76,15.623
77,30.851
78,17.844
79,18.566
80,16.236
81,36.414
82,19.796
83,17.797
84,15.898
85,31.082
86,19.052
87,22.959
88,15.530
89,37.710
90,14.650
91,21.710
92,26.064
93,26.686
94,14.892
95,19.625
96,15.808
97,18.946
98,24.393
99,27.325
100,29.890
101,20.085
102,24.674
103,18.929
104,36.136
105,33.722
106,16.645
107,38.455
108,18.346
109,26.041
110,34.239
111,19.570
112,34.912
113,14.852
114,18.169
115,18.948
116,15.501
117,25.715
118,44.490
119,15.410
120,18.769
121,35.877
122,19.461
123,16.731
124,46.091
125,36.631
126,19.734
127,16.152
128,54.366
129,16.585
130,47.476
131,15.287
132,18.497
133,20.465
134,21.771
135,25.978
136,21.565
137,23.419
138,39.596
139,37.884
140,60.678
141,15.757
142,19.649
143,33.049
144,32.806
145,16.631
146,39.705
147,43.933
148,18.253
149,22.810
150,16.408
151,30.358
152,34.435
153,24.266
154,14.854
155,28.497
156,19.466
157,35.469
158,32.443
159,16.620
160,26.362
161,23.867
162,29.396
163,44.532
164,29.404
165,25.053
166,16.854
167,18.723
168,47.703
169,14.220
170,22.382
171,16.604
