# RTT Statistics — External P&O MPPT
# mean_ms,std_ms,max_ms,p99_ms,n_samples
# 24.127,9.663,52.693,49.708,172
sample_index,rtt_ms
0,14.918
1,36.549
2,40.102
3,37.017
4,19.337
5,17.822
6,17.503
7,36.271
8,21.878
9,19.346
10,42.534
11,38.468
12,43.529
13,36.667
14,16.703
15,15.082
16,17.168
17,26.547
18,17.389
19,32.378
20,14.408
21,26.045
22,18.660
23,19.359
24,45.028
25,15.093
26,42.476
27,19.054
28,28.482
29,23.684
30,18.645
31,14.794
32,30.368
33,14.945
34,14.666
35,13.793
36,17.560
37,24.974
38,13.618
39,41.152
40,28.637
41,16.248
42,17.177
43,18.938
44,16.314
45,24.240
46,14.332
47,21.451
48,24.713
49,39.476
50,36.815
51,19.370
52,36.719
53,19.032
54,33.666
55,17.167
56,42.518
57,16.517
58,36.377
59,28.787
60,21.796
61,18.551
62,18.600
63,48.177
64,15.913
65,38.689
66,48.324
67,15.564
68,15.625
69,15.590
70,52.693
71,31.260
72,26.535
73,15.409
74,19.320
75,30.738
76,28.308
77,16.507
78,16.329
79,36.814
80,30.184
81,16.954
82,14.548
83,21.150
84,15.778
85,50.637
86,21.101
87,43.319
88,15.778
89,20.929
90,17.195
91,15.656
92,31.761
93,20.708
94,16.920
95,15.849
96,16.913
97,25.491
98,18.368
99,38.535
100,14.660
101,28.819
102,18.695
103,19.621
104,17.079
105,24.635
106,31.857
107,15.494
108,14.274
109,40.734
110,31.126
111,15.723
112,17.778
113,28.800
114,33.105
115,17.853
116,16.908
117,35.790
118,21.863
119,17.532
120,15.138
121,24.975
122,13.679
123,20.060
124,15.452
125,15.723
126,23.302
127,15.844
128,19.792
129,29.846
130,15.248
131,26.677
132,37.152
133,19.316
134,27.091
135,18.025
136,17.411
137,13.410
138,30.276
139,16.590
140,18.518
141,37.839
142,28.353
143,15.882
144,26.483
145,18.143
146,28.619
147,26.825
148,26.368
149,17.631
150,31.753
151,41.314
152,17.386
153,13.744
154,27.665
155,22.468
156,19.597
157,43.214
158,16.267
159,19.857
160,18.433
161,12.583
162,26.597
163,22.408
164,16.500
165,13.064
166,14.842
167,49.329
168,19.569
169,37.243
170,16.640
171,16.395
