# RTT Statistics — External P&O MPPT
# mean_ms,std_ms,max_ms,p99_ms,n_samples
# 28.027,11.715,101.160,55.735,25000
sample_index,rtt_ms
0,35.782
1,16.119
2,24.758
3,15.230
4,32.219
5,33.815
6,29.380
7,38.128
8,28.623
9,37.607
10,47.493
11,15.050
12,13.313
13,42.950
14,13.650
15,32.143
16,23.853
17,15.198
18,32.947
19,14.222
20,27.991
21,13.054
22,26.423
23,33.331
24,13.875
25,26.332
26,13.059
27,33.845
28,13.043
29,12.423
30,13.405
31,25.746
32,14.257
33,28.728
34,41.410
35,39.970
36,38.339
37,35.630
38,37.038
39,26.991
40,36.919
41,41.800
42,22.687
43,12.185
44,48.116
45,35.906
46,44.450
47,36.058
48,29.496
49,13.665
50,13.436
51,12.193
52,26.090
53,28.659
54,13.130
55,17.317
56,32.510
57,13.982
58,36.970
59,23.329
60,38.830
61,40.652
62,12.797
63,27.106
64,43.604
65,34.617
66,35.610
67,14.783
68,39.820
69,26.193
70,34.420
71,26.543
72,55.033
73,36.919
74,25.292
75,22.520
76,13.112
77,47.883
78,26.040
79,25.007
80,29.915
81,33.760
82,24.290
83,40.202
84,12.485
85,43.789
86,30.450
87,39.346
88,27.681
89,29.443
90,40.343
91,16.773
92,29.116
93,32.207
94,44.555
95,12.803
96,28.869
97,32.428
98,35.917
99,29.651
100,36.958
101,39.915
102,15.145
103,35.315
104,23.420
105,12.293
106,32.853
107,33.147
108,34.443
109,47.689
110,13.409
111,22.932
112,43.904
113,26.746
114,23.554
115,39.409
116,12.272
117,45.936
118,29.790
119,38.773
120,30.956
121,41.334
122,38.478
123,13.070
124,14.025
125,50.901
126,30.684
127,22.970
128,45.126
129,13.880
130,13.189
131,21.036
132,17.424
133,14.717
134,32.261
135,36.049
136,24.000
137,12.811
138,50.963
139,14.304
140,45.535
141,28.686
142,49.865
143,17.040
144,33.317
145,23.834
146,31.788
147,26.090
148,31.255
149,29.548
150,22.764
151,42.491
152,36.806
153,33.964
154,31.359
155,15.558
156,35.620
157,33.360
158,27.284
159,53.881
160,49.794
161,25.619
162,15.284
163,13.612
164,20.377
165,31.738
166,24.341
167,36.985
168,24.823
169,15.325
170,42.894
171,13.722
172,13.252
173,12.770
174,38.213
175,33.711
176,46.669
177,14.173
178,22.507
179,41.069
180,34.976
181,16.126
182,34.485
183,12.523
184,31.978
185,39.117
186,12.899
187,57.512
188,14.840
189,14.179
190,47.967
191,27.328
192,24.917
193,12.838
194,25.707
195,32.351
196,41.295
197,23.428
198,12.395
199,53.338
200,13.435
201,29.719
202,36.231
203,27.132
204,13.848
205,37.337
206,13.232
207,13.246
208,13.807
209,34.870
210,34.707
211,15.203
212,49.309
213,37.506
214,41.344
215,23.104
216,12.646
217,29.245
218,28.465
219,16.079
220,36.203
221,34.968
222,13.194
223,37.752
224,13.741
225,34.856
226,68.546
227,52.028
228,13.477
229,34.271
230,38.394
231,18.722
232,51.401
233,13.997
234,13.272
235,27.234
236,27.693
237,36.221
238,12.727
239,33.897
240,26.260
241,16.498
242,27.839
243,26.050
244,16.143
245,15.710
246,28.672
247,37.179
248,35.371
249,12.809
250,38.281
251,29.896
252,34.314
253,25.807
254,29.855
255,33.900
256,44.271
257,30.412
258,50.469
259,27.393
260,15.112
261,14.612
262,40.536
263,28.256
264,35.371
265,30.836
266,24.950
267,45.435
268,34.244
269,23.842
270,24.198
271,12.303
272,15.854
273,29.372
274,29.616
275,14.324
276,66.194
277,24.853
278,40.668
279,14.145
280,31.952
281,25.104
282,36.346
283,26.205
284,30.390
285,15.211
286,24.283
287,39.630
288,39.247
289,39.907
290,13.961
291,31.314
292,31.960
293,15.543
294,33.868
295,23.274
296,30.810
297,23.010
298,39.168
299,14.171
300,47.511
301,14.895
302,34.743
303,25.946
304,13.237
305,27.937
306,38.423
307,41.026
308,25.396
309,33.086
310,12.887
311,26.262
312,40.984
313,25.212
314,12.187
315,35.244
316,35.414
317,13.788
318,26.308
319,35.308
320,24.699
321,25.154
322,13.059
323,27.293
324,28.192
325,32.787
326,13.282
327,44.395
328,14.934
329,36.344
330,36.309
331,23.942
332,16.380
333,37.175
334,15.483
335,12.802
336,40.099
337,22.806
338,12.466
339,38.851
340,15.318
341,30.390
342,41.869
343,39.920
344,30.606
345,36.968
346,47.102
347,32.694
348,24.365
349,40.741
350,22.988
351,14.342
352,29.781
353,13.028
354,14.858
355,40.864
356,43.491
357,37.783
358,14.770
359,13.508
360,30.921
361,40.181
362,40.072
363,37.821
364,15.844
365,31.945
366,55.584
367,12.913
368,46.641
369,15.663
370,33.099
371,29.140
372,13.955
373,29.483
374,38.286
375,14.292
376,15.649
377,41.812
378,27.126
379,41.975
380,31.759
381,27.767
382,13.052
383,50.725
384,14.318
385,41.350
386,15.175
387,16.958
388,31.378
389,40.911
390,12.981
391,35.753
392,18.295
393,27.234
394,39.704
395,15.119
396,13.495
397,12.537
398,13.140
399,35.727
400,24.421
401,12.993
402,37.172
403,26.183
404,13.895
405,28.682
406,13.146
407,14.372
408,14.778
409,46.772
410,18.439
411,17.539
412,52.515
413,36.562
414,39.893
415,22.959
416,43.026
417,15.959
418,29.189
419,40.071
420,13.157
421,15.603
422,13.164
423,25.573
424,12.236
425,13.081
426,47.074
427,26.083
428,12.879
429,25.094
430,35.922
431,23.946
432,34.558
433,13.971
434,12.996
435,39.945
436,13.289
437,30.102
438,40.707
439,15.213
440,28.301
441,51.074
442,25.503
443,36.448
444,12.708
445,35.431
446,25.274
447,39.547
448,25.336
449,40.534
450,36.821
451,42.565
452,21.392
453,50.401
454,28.262
455,39.688
456,40.056
457,13.144
458,50.334
459,41.445
460,52.934
461,13.922
462,12.625
463,31.004
464,41.487
465,11.992
466,44.929
467,14.891
468,13.903
469,12.133
470,41.252
471,27.095
472,56.503
473,37.835
474,55.316
475,14.147
476,26.969
477,33.697
478,30.195
479,24.064
480,28.249
481,25.168
482,12.617
483,38.189
484,22.012
485,14.020
486,32.630
487,14.979
488,27.615
489,38.006
490,25.820
491,24.013
492,57.918
493,21.399
494,13.106
495,50.868
496,13.076
497,46.304
498,12.618
499,12.694
500,54.782
501,15.812
502,49.959
503,14.602
504,24.923
505,36.517
506,46.071
507,15.170
508,42.474
509,13.367
510,12.212
511,41.176
512,30.799
513,24.708
514,42.059
515,12.166
516,58.333
517,14.387
518,24.366
519,12.596
520,48.721
521,15.834
522,45.885
523,26.736
524,24.007
525,29.984
526,34.339
527,47.193
528,13.003
529,39.872
530,47.097
531,19.004
532,13.672
533,30.422
534,29.756
535,13.591
536,55.488
537,33.786
538,37.092
539,15.866
540,31.768
541,29.454
542,14.012
543,16.079
544,36.710
545,33.309
546,24.802
547,38.890
548,17.556
549,29.620
550,26.533
551,22.249
552,13.027
553,51.218
554,27.710
555,45.801
556,27.071
557,13.143
558,12.730
559,32.531
560,13.544
561,33.024
562,37.791
563,14.725
564,49.812
565,14.388
566,32.549
567,12.889
568,52.112
569,24.179
570,29.422
571,33.034
572,24.902
573,39.860
574,23.479
575,47.006
576,32.921
577,15.887
578,40.698
579,31.186
580,16.005
581,42.128
582,15.531
583,15.596
584,25.963
585,32.569
586,21.990
587,34.097
588,14.062
589,31.965
590,34.060
591,13.918
592,26.924
593,43.764
594,32.547
595,23.600
596,40.097
597,39.767
598,29.983
599,23.745
600,41.191
601,12.718
602,34.950
603,25.154
604,40.142
605,14.942
606,36.613
607,12.531
608,14.658
609,16.100
610,35.118
611,13.726
612,35.042
613,30.817
614,28.905
615,24.330
616,27.908
617,12.818
618,12.911
619,12.830
620,39.065
621,38.246
622,38.221
623,26.187
624,39.094
625,39.670
626,22.868
627,15.818
628,49.035
629,29.206
630,35.436
631,39.085
632,13.587
633,28.831
634,27.938
635,23.695
636,40.994
637,38.141
638,30.142
639,13.500
640,13.194
641,71.514
642,22.589
643,35.414
644,37.308
645,37.454
646,25.170
647,12.874
648,15.053
649,40.784
650,38.684
651,34.952
652,12.427
653,36.810
654,53.934
655,25.143
656,28.100
657,30.232
658,12.234
659,38.728
660,12.459
