# RTT Statistics — External P&O MPPT
# mean_ms,std_ms,max_ms,p99_ms,n_samples
# 22.318,8.983,52.585,50.669,172
sample_index,rtt_ms
0,37.616
1,17.967
2,17.816
3,12.531
4,15.359
5,25.050
6,38.106
7,15.852
8,29.508
9,15.428
10,38.377
11,16.041
12,44.277
13,15.607
14,15.576
15,12.322
16,28.423
17,35.666
18,17.442
19,15.379
20,27.313
21,22.618
22,18.517
23,13.542
24,29.516
25,16.971
26,33.945
27,13.435
28,27.376
29,15.602
30,21.355
31,29.772
32,25.029
33,34.504
34,15.522
35,21.280
36,52.585
37,19.830
38,17.720
39,27.463
40,16.100
41,16.001
42,37.384
43,23.847
44,17.658
45,14.748
46,15.466
47,36.842
48,20.225
49,19.525
50,17.490
51,12.931
52,43.264
53,21.294
54,14.112
55,12.879
56,50.596
57,27.533
58,17.039
59,19.821
60,17.428
61,16.697
62,50.848
63,32.496
64,16.447
65,15.639
66,37.464
67,13.817
68,17.848
69,17.466
70,31.405
71,14.956
72,18.430
73,17.509
74,15.836
75,20.843
76,38.296
77,20.611
78,16.750
79,26.657
80,18.460
81,15.521
82,15.566
83,13.528
84,27.066
85,16.564
86,15.550
87,31.614
88,40.266
89,13.254
90,37.756
91,14.526
92,19.153
93,18.190
94,13.142
95,26.546
96,17.368
97,15.901
98,17.646
99,14.901
100,31.321
101,19.157
102,14.568
103,16.037
104,38.235
105,35.906
106,18.492
107,27.903
108,18.510
109,17.978
110,15.727
111,29.611
112,15.027
113,21.027
114,16.401
115,19.528
116,26.410
117,17.474
118,12.808
119,18.338
120,13.677
121,24.876
122,20.974
123,14.765
124,16.518
125,26.737
126,14.150
127,40.651
128,16.701
129,23.776
130,15.861
131,34.818
132,15.281
133,24.890
134,18.290
135,18.487
136,19.945
137,25.651
138,13.280
139,38.771
140,17.303
141,25.102
142,13.560
143,17.296
144,34.461
145,25.893
146,17.859
147,24.274
148,17.256
149,39.627
150,16.790
151,14.784
152,15.000
153,32.712
154,14.898
155,15.794
156,15.503
157,13.760
158,24.835
159,21.773
160,18.973
161,36.652
162,48.096
163,19.999
164,31.399
165,17.916
166,17.923
167,15.005
168,28.228
169,16.817
170,18.988
171,18.693
