# RTT Statistics — External P&O MPPT
# mean_ms,std_ms,max_ms,p99_ms,n_samples
# 24.686,9.226,55.695,50.595,172
sample_index,rtt_ms
0,37.623
1,27.124
2,30.934
3,12.542
4,39.220
5,23.787
6,17.430
7,16.417
8,27.580
9,15.743
10,20.609
11,30.632
12,28.366
13,19.557
14,15.584
15,15.063
16,35.393
17,30.732
18,16.551
19,13.641
20,31.440
21,15.771
22,20.830
23,15.221
24,14.852
25,26.669
26,36.070
27,20.999
28,22.595
29,17.301
30,20.255
31,15.624
32,15.493
33,25.258
34,24.611
35,17.816
36,15.412
37,32.554
38,14.777
39,16.251
40,36.516
41,45.723
42,28.392
43,36.973
44,16.462
45,35.845
46,19.057
47,22.215
48,20.469
49,23.537
50,39.522
51,26.350
52,21.412
53,23.681
54,17.524
55,27.634
56,23.159
57,24.512
58,16.548
59,48.753
60,19.698
61,17.849
62,24.151
63,32.393
64,16.263
65,26.019
66,32.843
67,21.594
68,23.865
69,25.308
70,15.408
71,18.493
72,22.586
73,16.084
74,25.514
75,16.942
76,21.303
77,30.571
78,29.590
79,25.965
80,14.858
81,15.789
82,47.493
83,38.828
84,33.669
85,20.382
86,15.181
87,25.301
88,27.005
89,21.645
90,40.492
91,26.833
92,21.646
93,38.835
94,25.054
95,30.528
96,39.739
97,29.867
98,20.740
99,18.114
100,39.999
101,19.035
102,19.801
103,16.737
104,19.614
105,25.545
106,36.474
107,16.379
108,28.316
109,40.737
110,13.408
111,27.935
112,24.735
113,17.869
114,15.682
115,45.704
116,42.370
117,29.982
118,16.346
119,15.078
120,17.356
121,14.949
122,28.022
123,21.836
124,21.801
125,14.507
126,55.695
127,17.950
128,18.408
129,48.969
130,39.067
131,25.935
132,20.450
133,18.918
134,34.610
135,26.099
136,18.176
137,17.881
138,30.452
139,54.578
140,17.676
141,17.952
142,34.997
143,20.941
144,16.053
145,44.716
146,33.085
147,17.976
148,16.378
149,25.854
150,13.437
151,14.888
152,14.587
153,18.579
154,23.108
155,21.845
156,17.409
157,42.693
158,29.382
159,15.458
160,15.292
161,36.009
162,25.383
163,14.702
164,15.283
165,26.100
166,23.763
167,18.802
168,17.347
169,16.771
170,31.150
171,27.944
