# RTT Statistics — External P&O MPPT
# mean_ms,std_ms,max_ms,p99_ms,n_samples
# 27.212,12.710,598.868,55.388,25000
sample_index,rtt_ms
0,13.652
1,12.615
2,15.719
3,29.182
4,37.195
5,29.318
6,33.160
7,23.464
8,40.931
9,25.320
10,41.496
11,15.007
12,23.067
13,16.334
14,31.238
15,34.398
16,36.324
17,26.772
18,12.938
19,39.722
20,35.144
21,54.571
22,22.563
23,25.263
24,37.325
25,37.641
26,14.438
27,29.513
28,13.263
29,22.712
30,30.868
31,14.993
32,28.509
33,36.515
34,27.381
35,12.879
36,34.526
37,14.649
38,39.876
39,31.418
40,16.149
41,13.664
42,46.294
43,56.860
44,26.949
45,12.797
46,34.837
47,30.987
48,28.831
49,25.762
50,51.747
51,58.574
52,34.416
53,26.418
54,26.167
55,12.815
56,26.586
57,31.970
58,14.146
59,33.894
60,29.305
61,15.093
62,26.154
63,38.273
64,13.286
65,31.918
66,38.999
67,13.227
68,31.713
69,39.328
70,39.306
71,29.019
72,29.758
73,51.240
74,15.555
75,12.654
76,12.990
77,31.323
78,27.667
79,12.968
80,13.630
81,45.737
82,24.182
83,40.835
84,14.565
85,20.982
86,14.841
87,43.463
88,15.131
89,43.456
90,14.200
91,13.493
92,30.583
93,20.529
94,28.943
95,12.244
96,28.881
97,16.003
98,43.891
99,25.373
100,36.018
101,42.933
102,15.783
103,30.891
104,37.068
105,23.827
106,12.609
107,40.307
108,17.939
109,15.702
110,40.837
111,32.039
112,24.922
113,53.295
114,23.154
115,36.129
116,28.657
117,15.016
118,14.138
119,23.893
120,23.808
121,23.464
122,36.136
123,14.030
124,22.102
125,40.921
126,13.836
127,34.301
128,29.457
129,30.670
130,24.946
131,41.198
132,37.563
133,52.969
134,42.711
135,42.421
136,14.119
137,14.359
138,29.412
139,36.267
140,14.356
141,35.941
142,15.337
143,29.844
144,23.553
145,31.391
146,42.607
147,36.697
148,17.520
149,33.895
150,36.199
151,39.322
152,24.268
153,15.761
154,24.085
155,32.467
156,16.438
157,26.126
158,26.007
159,23.735
160,39.964
161,36.932
162,26.030
163,26.205
164,37.248
165,14.214
166,26.300
167,12.298
168,14.681
169,43.758
170,14.151
171,23.573
172,14.202
173,49.348
174,14.403
175,43.633
176,13.614
177,14.471
178,29.408
179,16.033
180,24.326
181,15.672
182,24.326
183,15.593
184,15.081
185,35.503
186,35.554
187,45.426
188,15.530
189,37.033
190,41.226
191,21.898
192,13.547
193,41.177
194,13.147
195,16.816
196,18.851
197,24.308
198,13.545
199,31.220
200,33.211
201,25.670
202,13.205
203,37.170
204,29.274
205,61.768
206,13.727
207,17.919
208,14.396
209,25.203
210,34.901
211,15.842
212,80.782
213,42.530
214,14.308
215,36.265
216,43.149
217,59.829
218,15.297
219,27.636
220,31.880
221,49.503
222,44.999
223,29.926
224,14.399
225,31.379
226,14.635
227,33.134
228,40.787
229,36.270
230,26.811
231,36.779
232,14.505
233,37.000
234,12.833
235,31.518
236,35.454
237,14.774
238,35.249
239,41.179
240,27.253
241,37.581
242,14.278
243,32.244
244,29.909
245,34.355
246,55.408
247,16.068
248,29.830
249,31.229
250,34.884
251,17.704
252,59.412
253,14.186
254,45.110
255,18.730
256,15.265
257,38.406
258,32.252
259,45.414
260,13.407
261,16.087
262,27.287
263,39.455
264,23.743
265,15.553
266,28.413
267,13.128
268,36.511
269,41.352
270,15.260
271,43.833
272,12.651
273,12.476
274,12.107
275,15.946
276,37.458
277,17.205
278,20.763
279,24.223
280,17.076
281,34.251
282,40.687
283,14.995
284,48.628
285,24.502
286,21.086
287,34.042
288,21.740
289,33.027
290,88.861
291,49.018
292,41.132
293,37.619
294,45.282
295,44.141
296,12.568
297,14.868
298,45.527
299,37.864
300,35.317
301,34.522
302,51.717
303,27.776
304,12.400
305,14.028
306,23.225
307,27.102
308,14.422
309,26.104
310,36.781
311,20.901
312,34.774
313,12.657
314,76.678
315,28.580
316,53.622
317,24.715
318,24.814
319,40.840
320,35.593
321,32.333
322,27.622
323,24.594
324,25.337
325,14.325
326,23.127
327,14.711
328,41.100
329,37.572
330,39.652
331,32.920
332,52.752
333,23.719
334,29.384
335,14.179
336,13.565
337,45.096
338,25.769
339,24.886
340,30.546
341,31.789
342,38.574
343,26.089
344,36.400
345,16.332
346,45.939
347,16.157
