# RTT Statistics — External P&O MPPT
# mean_ms,std_ms,max_ms,p99_ms,n_samples
# 23.700,11.223,108.458,54.177,24999
sample_index,rtt_ms
0,30.086
1,29.128
2,15.795
3,13.073
4,12.619
5,33.366
6,15.040
7,15.211
8,17.443
9,26.759
10,26.362
11,14.929
12,47.396
13,37.616
14,32.038
15,31.152
16,17.885
17,32.073
18,13.811
19,13.210
20,39.187
21,15.899
22,30.112
23,33.074
24,28.660
25,27.702
26,51.580
27,38.164
28,31.725
29,12.801
30,59.517
31,13.493
32,12.633
33,49.487
34,13.971
35,14.512
36,35.486
37,18.300
38,15.054
39,30.689
40,15.031
41,25.810
42,30.504
43,14.139
44,14.701
45,16.872
46,39.263
47,38.699
48,27.620
49,14.868
50,19.795
51,51.599
52,13.888
53,39.066
54,12.644
55,12.002
56,15.487
57,30.313
58,12.868
59,37.650
60,25.275
61,17.012
62,13.897
63,51.504
64,13.558
65,14.360
66,48.372
67,30.324
68,21.261
69,40.561
70,37.180
71,27.708
72,16.082
73,16.503
74,12.654
75,31.176
76,12.499
77,32.216
78,28.346
79,35.721
80,14.684
81,36.423
82,31.735
83,15.241
84,33.388
85,15.987
86,13.705
87,16.293
88,30.044
89,14.162
90,18.420
91,30.331
92,12.364
93,13.173
94,30.422
95,12.164
96,24.192
97,13.773
98,29.649
99,27.786
100,12.788
101,32.347
102,37.508
103,13.412
104,26.116
105,14.711
106,12.677
107,14.072
108,28.436
109,36.991
110,13.657
111,30.195
112,39.015
113,13.328
114,24.195
115,12.554
116,28.287
117,38.853
118,12.972
119,30.764
120,30.954
121,13.995
122,15.373
123,15.663
124,28.014
125,16.628
126,49.470
127,14.302
128,14.736
129,16.157
130,34.738
131,15.935
132,13.867
133,12.779
134,28.110
135,22.371
136,12.136
137,34.743
138,22.074
139,12.890
140,42.717
141,15.235
142,12.460
143,19.651
144,31.107
145,25.909
146,22.388
147,37.771
148,12.162
149,12.926
150,31.262
151,13.801
152,12.188
153,13.735
154,28.895
155,16.347
156,15.570
157,13.957
158,45.032
159,14.356
160,13.489
161,26.576
162,15.124
163,14.322
164,25.988
165,33.730
166,31.049
167,15.091
168,21.666
169,13.431
170,14.225
171,15.871
172,23.098
173,13.710
174,13.104
175,13.565
176,41.895
177,14.187
178,50.218
179,14.275
180,31.540
181,32.812
182,26.652
183,14.704
184,39.962
185,37.516
186,44.900
187,12.333
188,13.023
189,51.205
190,15.796
191,12.727
192,13.407
193,28.914
194,24.121
195,12.615
196,31.884
197,12.327
198,13.070
199,13.818
200,48.493
201,14.603
202,45.661
203,12.540
204,15.619
205,15.873
206,38.468
207,35.542
208,47.295
209,29.316
210,23.739
211,53.980
212,13.820
213,14.905
214,24.149
215,14.835
216,13.406
217,36.905
218,12.509
219,17.548
220,15.194
221,28.721
222,13.784
223,28.754
224,29.229
225,16.739
226,13.879
227,12.838
228,34.193
229,33.690
230,15.031
231,30.537
232,13.843
233,13.652
234,42.836
235,12.235
236,14.186
237,17.343
238,49.957
239,23.377
240,12.374
241,27.162
242,13.895
243,12.263
244,45.931
245,25.825
246,14.581
247,31.928
248,18.748
249,13.321
250,13.660
251,30.953
252,39.607
253,13.374
254,47.836
255,42.010
256,27.799
257,27.792
258,48.531
259,30.439
260,12.199
261,26.642
262,24.933
263,13.062
264,15.143
265,27.600
266,14.218
267,12.863
268,14.428
269,31.557
270,13.688
271,12.546
272,13.307
273,30.002
274,35.292
275,12.122
276,49.930
277,23.216
278,32.315
279,33.640
280,12.113
281,40.842
282,15.765
283,14.826
284,18.855
285,27.647
286,30.510
287,12.339
288,23.629
289,12.403
290,14.559
291,51.491
292,12.382
293,38.879
294,29.182
295,12.357
296,13.807
297,54.655
298,24.878
299,12.246
300,48.764
301,17.924
302,12.314
303,44.755
304,36.567
305,62.863
306,33.321
307,37.051
308,13.391
309,12.933
310,14.498
311,43.960
312,17.745
313,36.830
314,24.456
315,34.867
316,38.502
317,25.579
318,40.527
319,50.933
320,13.688
321,13.852
322,32.511
323,16.942
324,13.302
325,36.843
326,12.442
327,13.022
328,24.375
329,28.996
330,12.108
331,12.339
332,13.502
333,55.657
334,13.207
335,45.241
336,27.205
337,12.859
338,38.269
339,21.864
340,38.679
341,30.456
342,16.879
343,13.816
344,40.977
345,29.900
346,50.863
347,14.119
348,15.108
349,30.939
350,38.805
351,22.587
352,14.641
353,31.089
354,12.109
355,22.322
356,33.326
357,13.853
358,13.788
359,54.438
360,36.258
361,15.152
362,33.195
363,13.264
364,14.399
365,15.585
366,44.408
367,12.273
368,53.162
369,22.017
370,13.936
371,14.324
372,29.335
373,40.598
374,29.755
375,15.933
376,14.616
377,31.785
378,28.146
379,34.168
380,14.057
381,26.101
382,14.344
383,34.492
384,38.761
