# RTT Statistics — External P&O MPPT
# mean_ms,std_ms,max_ms,p99_ms,n_samples
# 24.131,9.322,63.034,50.053,172
sample_index,rtt_ms
0,35.406
1,14.280
2,39.429
3,17.070
4,15.115
5,14.571
6,27.603
7,15.531
8,16.426
9,19.041
10,17.357
11,22.473
12,21.363
13,16.264
14,27.554
15,23.929
16,20.638
17,17.543
18,48.525
19,14.925
20,18.238
21,17.727
22,18.474
23,24.623
24,15.643
25,32.474
26,16.486
27,28.026
28,19.232
29,16.654
30,16.463
31,35.736
32,17.624
33,19.846
34,35.098
35,27.740
36,20.434
37,36.437
38,27.545
39,28.458
40,17.921
41,14.984
42,25.480
43,13.797
44,18.559
45,38.640
46,27.530
47,13.648
48,23.434
49,32.537
50,25.586
51,15.715
52,18.853
53,14.716
54,19.503
55,23.658
56,20.466
57,16.547
58,19.751
59,50.788
60,49.752
61,48.654
62,19.498
63,14.805
64,24.536
65,15.786
66,32.248
67,15.096
68,28.411
69,15.830
70,21.179
71,16.303
72,15.307
73,29.494
74,20.371
75,17.457
76,14.822
77,35.465
78,19.544
79,32.282
80,17.937
81,27.441
82,21.564
83,12.951
84,14.498
85,27.772
86,16.529
87,28.423
88,49.154
89,33.291
90,18.631
91,24.895
92,16.267
93,22.018
94,15.265
95,21.072
96,24.270
97,19.051
98,14.911
99,28.845
100,24.409
101,18.984
102,24.388
103,19.036
104,28.684
105,17.728
106,33.185
107,37.005
108,22.826
109,18.084
110,26.226
111,35.917
112,17.491
113,16.831
114,33.815
115,14.895
116,42.375
117,25.948
118,30.799
119,26.470
120,15.698
121,48.911
122,34.997
123,29.621
124,17.757
125,19.399
126,29.157
127,26.903
128,20.506
129,38.792
130,26.054
131,15.849
132,19.365
133,15.055
134,13.034
135,25.160
136,19.234
137,30.389
138,13.341
139,25.020
140,28.853
141,21.856
142,43.169
143,16.404
144,21.483
145,21.630
146,40.845
147,17.991
148,18.765
149,63.034
150,17.906
151,21.734
152,14.210
153,25.452
154,15.215
155,35.960
156,28.532
157,16.919
158,38.729
159,15.645
160,29.366
161,26.133
162,15.345
163,14.483
164,39.402
165,18.857
166,31.008
167,27.887
168,16.270
169,18.924
170,34.212
171,43.232
