# RTT Statistics — External P&O MPPT
# mean_ms,std_ms,max_ms,p99_ms,n_samples
# 30.412,11.396,90.049,55.838,10000
sample_index,rtt_ms
0,36.520
1,14.736
2,48.009
3,13.900
4,46.447
5,13.415
6,39.521
7,30.003
8,25.251
9,47.835
10,29.804
11,17.317
12,19.299
13,14.944
14,17.703
15,34.195
16,32.111
17,25.166
18,29.101
19,43.916
20,34.849
21,16.259
22,30.412
23,24.500
24,37.433
25,32.573
26,15.503
27,19.826
28,15.275
29,51.196
30,36.607
31,39.035
32,55.226
33,38.538
34,46.687
35,30.029
36,40.219
37,21.252
38,13.032
39,34.618
40,28.898
41,27.394
42,26.839
43,13.370
44,33.535
45,14.954
46,47.277
47,41.634
48,13.033
49,31.370
50,48.448
51,14.326
52,44.190
53,51.495
54,38.657
55,40.496
56,12.656
57,38.526
58,14.752
59,15.836
60,49.932
61,26.917
62,14.900
63,34.898
64,15.948
65,27.068
66,26.863
67,32.823
68,25.559
69,37.775
70,32.278
71,34.851
72,40.507
73,35.203
74,39.420
75,37.710
76,41.989
77,31.154
78,30.027
79,43.283
80,14.261
81,34.549
82,24.769
83,21.087
84,87.970
85,26.917
86,38.760
87,46.177
88,12.893
89,35.824
90,39.672
91,50.184
92,35.316
93,23.394
94,22.141
95,39.557
96,25.868
97,35.550
98,26.608
99,37.868
100,37.579
101,31.673
102,13.872
103,29.094
104,37.585
105,13.364
106,29.030
107,40.389
108,12.383
109,20.257
110,41.314
111,16.409
112,17.547
113,78.016
114,39.777
115,44.427
116,47.236
117,17.866
118,32.554
119,28.525
120,14.305
121,14.855
122,44.673
123,29.739
124,19.271
125,38.964
126,34.010
127,49.338
128,14.865
129,34.354
130,41.334
131,40.603
132,43.240
133,17.290
134,16.951
135,43.123
136,37.046
137,45.714
138,34.014
139,44.089
140,28.405
141,44.198
142,32.303
143,49.525
144,31.230
145,17.224
146,41.681
147,26.879
148,40.274
149,35.608
150,30.028
151,33.025
152,18.496
153,28.399
154,23.673
155,17.892
156,20.914
157,17.745
158,12.796
159,31.343
160,40.305
161,38.998
162,26.602
163,14.096
164,28.549
165,27.404
166,19.429
167,19.907
168,28.350
169,18.348
170,14.482
171,14.255
172,35.980
173,13.522
174,32.925
175,55.421
176,14.473
177,14.801
178,30.081
179,45.305
180,41.971
181,23.783
182,21.946
183,29.552
184,19.230
185,31.976
186,35.020
187,54.633
188,36.254
189,39.361
190,15.200
191,50.387
192,17.607
193,15.038
194,22.044
195,29.498
196,30.691
197,40.614
198,37.132
199,23.481
200,30.340
201,13.009
202,54.094
203,27.698
204,15.203
205,44.711
206,43.883
207,40.685
208,53.579
209,18.556
210,14.445
211,29.647
212,27.499
213,37.229
214,53.112
215,27.412
216,49.969
217,39.064
218,29.203
219,36.017
220,29.753
221,29.019
222,28.656
223,15.837
224,31.926
225,19.154
226,38.010
227,26.575
228,18.090
229,31.811
230,17.480
231,14.872
232,30.662
233,22.376
234,12.916
235,13.929
236,13.972
237,33.392
238,37.063
239,36.796
240,25.124
241,24.562
242,24.361
243,38.031
244,15.538
245,24.636
246,27.366
247,24.860
248,44.584
249,33.185
250,29.307
251,35.114
252,26.163
253,37.484
254,40.390
255,43.154
256,38.191
257,40.764
258,15.166
259,20.102
260,25.937
261,18.327
262,42.350
263,28.579
264,41.644
265,49.880
266,23.862
267,41.246
268,24.917
269,13.754
270,36.551
271,40.067
272,48.287
273,26.376
274,15.343
275,46.728
276,31.642
277,49.917
278,24.191
279,18.943
280,37.848
281,14.445
282,40.497
283,13.432
284,14.554
285,24.070
286,36.129
287,17.186
288,36.862
289,30.443
290,25.312
291,33.333
292,14.132
293,28.902
294,43.227
295,15.126
296,28.593
297,40.669
298,35.986
299,41.330
300,14.178
301,20.640
302,36.712
303,38.991
304,43.225
305,24.583
306,39.429
307,26.151
308,15.816
309,27.362
310,15.836
311,32.608
312,25.506
313,36.744
314,55.073
315,42.171
316,51.110
317,36.581
318,31.442
319,14.752
320,17.983
321,31.964
322,38.680
323,25.128
324,43.229
325,23.828
326,35.014
327,23.092
328,23.936
329,38.755
330,41.215
331,35.930
332,27.659
333,23.647
334,48.186
335,32.510
336,52.633
337,78.822
338,29.556
339,25.948
340,43.588
341,34.841
342,34.198
343,16.474
344,35.721
345,22.583
346,41.047
347,46.045
348,36.254
349,43.704
350,33.175
351,15.094
352,30.813
353,23.515
354,25.238
355,43.482
356,37.136
357,47.435
358,30.241
359,14.984
360,35.979
361,38.523
362,28.042
363,16.368
364,36.101
365,38.477
366,14.048
367,45.523
368,32.293
369,27.827
370,21.591
371,12.961
372,13.654
373,38.834
374,14.313
375,28.885
376,53.950
377,21.700
378,36.872
379,40.254
380,42.046
381,27.580
382,33.116
383,19.465
384,24.177
385,26.738
386,46.446
387,27.053
388,16.031
389,44.315
390,29.634
391,50.651
392,35.192
393,39.593
394,27.055
395,13.906
396,26.962
397,25.732
398,39.481
399,38.072
400,37.172
401,41.160
402,18.924
403,29.350
404,46.814
405,15.867
406,44.915
407,27.622
408,23.127
409,27.281
410,12.833
411,33.228
412,40.245
413,37.551
414,41.315
415,19.837
416,27.747
417,31.091
418,28.351
419,34.775
420,24.880
421,14.380
422,28.981
423,12.883
424,17.549
425,42.729
426,15.150
427,35.531
428,42.049
429,38.873
430,40.193
431,39.950
432,46.382
433,14.399
434,24.270
435,40.076
436,36.183
437,16.873
438,28.325
439,16.096
440,40.019
441,37.242
442,27.935
443,32.600
444,29.670
445,39.322
446,36.492
447,29.010
448,20.516
449,37.724
450,35.949
451,28.459
452,17.908
453,42.063
454,24.947
455,56.946
456,13.772
457,33.638
458,26.515
459,36.061
460,20.858
461,36.318
462,28.189
463,61.170
464,73.623
465,33.481
466,25.068
467,46.059
468,43.337
469,15.608
470,55.157
471,37.939
472,38.683
473,25.241
474,49.817
475,25.807
476,23.071
477,40.169
478,32.262
479,24.406
480,19.615
481,17.600
482,42.539
483,15.204
484,28.225
485,31.372
486,35.808
487,41.260
488,35.553
489,22.785
490,14.119
491,34.226
492,39.779
493,13.531
494,35.475
495,25.156
496,38.671
497,22.969
498,42.866
499,38.835
500,38.773
501,38.727
502,13.822
503,49.032
504,12.906
505,81.484
506,18.117
507,34.456
508,25.029
509,13.827
510,32.767
511,25.143
512,17.420
513,27.903
514,13.772
515,37.114
516,39.551
517,15.142
518,54.566
519,35.276
520,54.021
521,15.849
522,15.190
523,42.554
524,35.465
525,36.186
526,26.308
527,36.409
528,13.715
529,38.118
530,28.352
531,30.502
532,50.527
533,27.504
534,40.126
535,39.460
536,41.393
537,28.274
538,38.615
539,35.636
540,25.226
541,42.531
542,14.315
543,30.184
544,38.774
545,36.916
546,39.740
547,22.108
548,42.799
549,26.186
550,43.111
551,22.528
552,38.474
553,45.368
554,32.496
555,41.073
556,19.693
557,33.232
558,42.809
559,36.430
560,40.288
561,19.095
562,39.500
563,36.409
564,14.225
565,27.879
566,55.811
567,37.244
568,26.400
569,15.639
570,38.233
571,30.798
572,16.630
573,26.129
574,14.260
575,40.008
576,30.121
577,12.237
578,13.690
579,36.033
580,40.597
581,19.218
582,13.889
583,24.658
584,20.322
585,27.830
586,30.984
587,16.274
588,44.346
589,29.661
590,21.083
591,42.244
592,29.184
593,34.941
594,15.707
595,42.987
596,15.757
597,37.645
598,52.017
599,25.198
600,21.667
601,42.737
602,38.835
603,30.836
604,34.251
605,29.067
606,44.448
607,21.287
608,36.372
609,21.405
610,34.321
611,50.327
612,15.540
613,43.722
614,12.463
615,34.861
616,19.754
617,47.896
618,34.477
619,15.875
620,32.513
621,37.109
622,14.203
623,15.345
624,15.175
625,28.412
626,36.740
627,21.927
628,29.165
629,36.111
630,25.648
631,36.038
632,14.744
633,48.520
634,17.746
635,29.454
636,38.313
637,37.333
638,38.285
639,26.008
640,35.617
641,39.517
642,48.446
643,24.568
644,37.200
645,35.990
646,44.616
647,34.409
648,23.961
649,24.560
650,18.225
651,56.027
652,49.970
653,30.427
654,44.644
655,39.721
656,13.652
657,25.453
658,41.997
659,37.367
660,15.799
661,22.074
662,16.463
663,20.180
664,46.471
665,19.073
666,19.909
667,59.672
668,17.339
669,18.918
670,22.255
671,14.563
672,17.445
673,40.175
674,13.800
675,12.245
676,30.174
677,23.915
678,29.578
679,42.497
680,12.730
681,34.819
682,30.606
683,28.931
684,16.129
685,43.646
686,32.114
687,31.359
688,36.499
689,40.982
690,38.408
691,45.289
692,16.857
693,51.505
694,29.327
695,48.185
696,30.100
697,13.225
698,39.432
699,17.107
700,42.035
701,13.718
702,31.944
703,36.766
704,38.303
705,28.030
706,36.334
707,33.980
708,27.344
709,16.490
710,74.350
711,34.624
712,31.128
713,47.153
714,33.192
715,39.899
716,15.735
717,33.537
718,40.553
719,34.298
720,42.610
721,36.517
722,15.564
723,38.179
724,35.578
725,22.836
726,23.983
727,42.510
728,26.654
729,35.927
730,36.188
731,13.362
732,13.570
733,16.051
734,35.315
735,12.618
736,21.179
737,42.149
738,30.535
739,45.949
740,13.694
741,23.318
742,38.352
743,25.801
744,23.279
745,39.997
746,24.197
747,24.417
748,26.634
749,34.681
750,12.661
751,40.040
752,15.534
753,26.998
754,27.809
755,13.594
756,15.874
757,41.900
758,33.572
759,20.353
760,44.333
761,43.589
762,34.666
763,48.885
764,35.874
765,41.295
766,13.174
767,34.618
768,38.202
769,14.023
770,57.274
771,33.807
772,13.456
773,49.564
774,22.643
775,31.254
776,23.601
777,23.812
778,32.016
779,32.066
780,32.513
781,24.252
782,13.118
783,40.743
784,32.213
785,25.722
786,37.999
787,13.069
788,37.473
789,21.524
790,44.072
791,40.084
792,31.570
793,49.213
794,25.159
795,25.844
796,29.447
797,37.730
798,24.999
799,33.833
800,17.889
801,46.444
802,17.185
803,46.330
804,37.365
805,26.415
806,22.164
807,27.490
808,39.038
809,13.071
810,53.746
811,37.209
812,39.222
813,34.173
814,30.047
815,37.094
816,38.500
817,39.307
818,17.595
819,26.187
820,20.075
821,12.525
822,23.174
823,22.705
824,26.681
825,30.633
826,26.227
827,17.402
828,36.854
829,25.955
830,24.926
831,31.089
832,44.070
833,25.498
834,24.565
835,23.875
836,26.975
837,52.781
838,27.622
839,16.280
840,41.673
841,23.929
842,16.486
843,33.290
844,38.583
845,38.538
846,14.848
847,19.029
848,31.673
849,13.246
850,12.994
851,28.373
852,37.388
853,33.862
854,41.370
855,40.245
856,23.703
857,12.732
858,37.051
859,37.145
860,14.849
861,46.268
862,14.098
863,36.494
864,34.970
865,13.189
866,24.161
867,17.208
868,46.531
869,17.605
870,40.364
871,13.951
872,36.050
873,23.404
874,15.306
875,16.971
876,13.567
877,23.885
878,28.268
879,12.990
880,41.004
881,32.811
882,16.489
883,25.128
884,15.567
885,14.309
886,43.091
887,24.160
888,34.566
889,18.105
890,56.382
891,34.678
892,23.096
893,24.157
894,23.331
895,30.240
896,34.272
897,22.845
898,49.643
899,22.360
900,36.213
901,16.257
902,39.795
903,43.562
904,23.992
905,36.673
906,27.215
907,28.534
908,28.316
909,16.068
910,32.008
911,39.117
912,25.682
913,26.832
914,28.675
915,45.397
916,27.297
917,25.464
918,38.749
919,36.616
920,57.295
921,13.337
922,33.713
923,38.817
924,13.327
925,28.074
926,24.519
927,53.453
928,24.322
929,13.897
930,48.162
931,24.654
932,43.112
933,17.891
934,15.086
935,40.342
936,49.196
937,29.171
938,36.022
939,51.360
940,30.725
941,22.388
942,35.626
943,40.780
944,37.838
945,23.850
946,15.149
947,35.399
948,14.463
949,29.188
950,27.653
951,33.934
952,38.234
953,15.745
954,34.836
955,18.738
956,36.434
957,22.614
958,40.242
959,13.536
960,56.486
961,32.611
962,48.103
963,34.309
964,57.721
965,27.463
966,31.675
967,46.902
968,30.851
969,59.589
970,12.230
971,33.001
972,35.076
973,27.538
974,24.303
975,45.346
976,34.423
977,39.658
978,39.749
979,22.752
980,35.751
981,23.532
982,25.747
983,20.698
984,30.700
985,23.248
986,42.233
987,37.443
988,23.582
989,27.563
990,34.144
991,37.386
992,35.378
993,12.401
994,47.165
995,15.904
996,17.854
997,14.405
998,27.101
999,33.027
1000,42.682
1001,37.314
1002,15.049
1003,31.021
1004,23.765
1005,13.329
1006,15.427
1007,42.542
1008,39.053
1009,28.432
1010,12.987
