# RTT Statistics — External P&O MPPT
# mean_ms,std_ms,max_ms,p99_ms,n_samples
# 24.088,10.289,69.620,51.141,172
sample_index,rtt_ms
0,31.640
1,21.979
2,19.135
3,39.364
4,35.907
5,29.693
6,26.486
7,13.886
8,43.227
9,69.620
10,15.472
11,30.170
12,26.203
13,34.748
14,16.461
15,38.612
16,29.381
17,17.656
18,15.206
19,26.416
20,16.532
21,34.551
22,14.659
23,39.234
24,18.349
25,40.892
26,46.221
27,17.049
28,17.419
29,15.851
30,24.438
31,19.067
32,18.484
33,46.588
34,33.306
35,40.089
36,26.469
37,21.595
38,38.458
39,25.848
40,16.454
41,21.243
42,33.511
43,23.961
44,17.439
45,17.475
46,15.545
47,37.890
48,19.083
49,15.478
50,16.845
51,13.697
52,24.571
53,16.379
54,16.535
55,33.039
56,45.462
57,17.104
58,53.541
59,16.120
60,18.656
61,19.766
62,16.485
63,42.431
64,16.452
65,25.592
66,28.517
67,31.679
68,16.420
69,16.636
70,26.968
71,14.355
72,16.964
73,15.548
74,15.905
75,36.969
76,17.470
77,17.759
78,15.354
79,13.130
80,28.361
81,22.333
82,16.477
83,42.056
84,17.494
85,34.460
86,16.510
87,24.521
88,34.769
89,13.386
90,36.601
91,14.946
92,19.442
93,19.044
94,35.108
95,15.795
96,32.389
97,27.693
98,20.867
99,14.998
100,22.459
101,14.895
102,32.850
103,18.225
104,15.455
105,15.382
106,16.153
107,26.096
108,16.255
109,20.082
110,12.770
111,33.879
112,15.554
113,20.752
114,30.638
115,48.005
116,41.363
117,28.063
118,28.114
119,20.595
120,15.404
121,24.966
122,12.824
123,18.914
124,16.355
125,16.059
126,24.116
127,33.142
128,16.422
129,15.816
130,24.693
131,15.745
132,42.420
133,14.989
134,26.304
135,29.996
136,32.401
137,23.052
138,16.279
139,16.295
140,16.314
141,26.974
142,16.243
143,17.865
144,16.379
145,16.124
146,50.161
147,15.880
148,17.217
149,35.631
150,12.621
151,21.367
152,14.824
153,14.993
154,22.662
155,24.872
156,16.689
157,16.553
158,42.997
159,20.775
160,21.944
161,15.052
162,40.901
163,17.118
164,14.466
165,14.781
166,48.774
167,18.679
168,16.012
169,35.044
170,15.640
171,15.813
