# RTT Statistics — External P&O MPPT
# mean_ms,std_ms,max_ms,p99_ms,n_samples
# 24.838,9.919,52.957,51.435,172
sample_index,rtt_ms
0,43.168
1,35.054
2,30.950
3,32.536
4,17.476
5,30.735
6,17.613
7,22.999
8,19.726
9,31.711
10,15.600
11,16.300
12,16.344
13,18.677
14,48.639
15,25.609
16,15.434
17,29.458
18,29.585
19,16.882
20,18.340
21,27.635
22,20.414
23,14.810
24,15.747
25,16.492
26,30.355
27,17.108
28,16.377
29,15.806
30,25.585
31,13.150
32,21.414
33,19.529
34,14.903
35,47.042
36,26.412
37,41.619
38,42.881
39,13.863
40,40.435
41,36.591
42,16.375
43,26.933
44,15.645
45,21.876
46,41.374
47,25.572
48,16.382
49,39.298
50,15.393
51,24.923
52,45.472
53,16.016
54,27.539
55,16.882
56,22.569
57,15.313
58,31.534
59,35.845
60,28.868
61,25.684
62,17.724
63,41.775
64,18.493
65,24.783
66,16.310
67,13.954
68,17.446
69,18.308
70,25.950
71,17.080
72,15.636
73,14.949
74,28.603
75,12.943
76,34.560
77,15.825
78,28.537
79,16.824
80,19.461
81,18.055
82,16.740
83,24.675
84,20.579
85,21.478
86,20.390
87,24.383
88,27.271
89,37.473
90,49.823
91,38.743
92,25.606
93,17.972
94,16.735
95,51.939
96,15.056
97,37.247
98,39.709
99,16.853
100,19.467
101,14.980
102,13.326
103,26.806
104,20.425
105,35.939
106,30.650
107,40.229
108,18.278
109,15.043
110,28.416
111,17.954
112,16.463
113,22.557
114,26.613
115,17.787
116,17.370
117,14.843
118,23.364
119,31.491
120,26.215
121,16.976
122,38.723
123,21.588
124,20.224
125,16.002
126,39.650
127,26.897
128,14.397
129,31.170
130,16.685
131,35.483
132,16.300
133,44.089
134,16.461
135,47.314
136,14.558
137,20.021
138,35.030
139,43.583
140,33.059
141,15.551
142,32.800
143,20.107
144,16.306
145,51.229
146,15.631
147,38.991
148,30.319
149,14.994
150,17.298
151,14.712
152,40.672
153,14.905
154,30.312
155,16.912
156,28.519
157,21.036
158,34.083
159,19.402
160,26.438
161,18.095
162,16.946
163,15.522
164,24.242
165,18.889
166,16.511
167,30.996
168,31.383
169,23.802
170,15.759
171,52.957
