# RTT Statistics — External P&O MPPT
# mean_ms,std_ms,max_ms,p99_ms,n_samples
# 27.854,11.505,102.349,54.526,10000
sample_index,rtt_ms
0,50.941
1,38.484
2,29.382
3,28.632
4,36.225
5,34.091
6,15.790
7,44.913
8,28.115
9,36.307
10,18.311
11,32.496
12,45.034
13,12.247
14,17.057
15,43.483
16,28.451
17,38.086
18,37.061
19,13.108
20,38.222
21,36.610
22,23.855
23,17.301
24,19.853
25,14.311
26,16.614
27,47.058
28,19.132
29,18.160
30,49.558
31,47.140
32,29.289
33,52.464
34,16.348
35,14.707
36,14.622
37,30.910
38,26.463
39,20.864
40,27.167
41,15.233
42,20.851
43,34.604
44,24.794
45,49.042
46,33.242
47,35.000
48,37.101
49,29.313
50,21.913
51,13.496
52,30.320
53,30.901
54,35.581
55,13.315
56,32.101
57,32.733
58,21.076
59,43.173
60,41.656
61,51.510
62,41.958
63,35.565
64,38.407
65,32.978
66,35.050
67,22.702
68,36.954
69,27.253
70,13.440
71,30.700
72,18.535
73,25.112
74,31.702
75,27.555
76,24.762
77,35.846
78,27.797
79,18.451
80,21.877
81,18.254
82,16.057
83,35.255
84,36.918
85,12.719
86,53.991
87,15.355
88,41.908
89,26.327
90,16.302
91,14.788
92,27.468
93,35.213
94,23.228
95,22.076
96,27.912
97,46.161
98,32.274
99,12.980
100,35.357
101,22.505
102,52.478
103,13.104
104,37.195
105,29.778
106,12.278
107,12.165
108,13.882
109,20.071
110,21.523
111,16.013
112,57.997
113,32.745
114,19.376
115,30.716
116,12.446
117,14.682
118,38.613
119,22.924
120,13.708
121,44.914
122,14.687
123,34.981
124,32.013
125,32.359
126,37.003
127,12.094
128,37.559
129,22.869
130,16.087
131,21.229
132,16.083
133,33.354
134,17.820
135,45.359
136,30.844
137,16.478
138,25.382
139,34.341
140,15.652
141,26.826
142,28.844
143,50.186
144,14.818
145,37.809
146,30.595
147,25.251
148,14.682
149,47.523
150,30.566
151,36.096
152,37.128
153,25.739
154,33.605
155,36.076
156,39.004
157,45.530
158,14.217
159,24.895
160,13.565
161,26.394
162,12.913
163,16.326
164,41.396
165,28.516
166,17.041
167,42.340
168,13.978
169,13.397
170,26.794
171,35.099
172,47.126
173,13.911
174,33.571
175,26.262
176,13.963
177,17.305
178,16.044
179,23.716
180,37.359
181,45.599
182,29.509
183,25.468
184,24.596
185,39.959
186,45.246
187,28.545
188,42.956
189,13.721
190,17.071
191,17.477
192,31.048
193,28.472
194,40.790
195,13.998
196,35.270
197,24.277
198,39.815
199,18.596
200,13.653
201,27.011
202,39.138
203,15.768
204,16.947
205,42.054
206,30.548
207,43.595
208,34.118
209,40.871
210,41.055
211,44.681
212,40.067
213,26.510
214,30.778
215,42.875
216,37.331
217,13.017
218,17.893
219,41.212
220,26.035
221,28.061
222,13.118
223,27.975
224,25.884
225,37.975
226,23.231
227,18.879
228,40.981
229,16.656
230,31.295
231,14.120
232,34.393
233,17.842
234,44.322
235,15.412
236,44.893
237,41.877
238,48.197
239,31.656
240,34.627
241,48.710
242,28.810
243,12.654
244,36.479
245,15.359
246,37.921
247,21.496
248,30.689
249,36.915
250,50.113
251,42.768
252,31.055
