Time(s),V_pv_instant(V),V_mppt(V),I_pv(A),P_pv(W),P_ref(W),V_out(V),I_L(A),Duty
0.029,17.4276,17.4276,4.82881,84.1546,85.0695,24.2412,4.82881,0.3
0.058,16.7321,16.7321,4.89819,81.957,85.0695,24.2356,4.89819,0.329167
0.087,15.7031,15.7031,4.94037,77.5794,85.0695,24.2246,4.94037,0.370833
0.116,16.7259,16.7259,4.8959,81.8885,85.0695,24.2355,4.8959,0.329167
0.145,17.7271,17.7271,4.78157,84.7637,85.0695,24.2427,4.78157,0.2875
0.174,18.7073,18.7073,4.48989,83.9939,85.0695,24.2397,4.48989,0.245833
0.203,17.7271,17.7271,4.78157,84.7637,85.0695,24.2427,4.78157,0.2875
0.232,16.7187,16.7187,4.8973,81.8762,85.0695,24.2356,4.8973,0.329167
0.261,17.7271,17.7271,4.78157,84.7637,85.0695,24.2427,4.78157,0.2875
0.29,18.7073,18.7073,4.48989,83.9939,85.0695,24.2397,4.48989,0.245833
0.319,17.7271,17.7271,4.78157,84.7637,85.0695,24.2427,4.78157,0.2875
0.348,16.7186,16.7186,4.8973,81.8762,85.0695,24.2356,4.8973,0.329167
0.377,17.7271,17.7271,4.78157,84.7637,85.0695,24.2427,4.78157,0.2875
0.406,18.7073,18.7073,4.48989,83.9939,85.0695,24.2397,4.48989,0.245833
0.435,17.7271,17.7271,4.78157,84.7637,85.0695,24.2427,4.78157,0.2875
0.464,16.7186,16.7186,4.8973,81.8762,85.0695,24.2356,4.8973,0.329167
0.493,17.7271,17.7271,4.78157,84.7637,85.0695,24.2427,4.78157,0.2875
0.522,18.7073,18.7073,4.48989,83.9939,85.0695,24.2397,4.48989,0.245833
0.551,17.7271,17.7271,4.78157,84.7637,85.0695,24.2427,4.78157,0.2875
0.58,16.7186,16.7186,4.8973,81.8762,85.0695,24.2356,4.8973,0.329167
0.609,17.7271,17.7271,4.78157,84.7637,85.0695,24.2427,4.78157,0.2875
0.638,18.7073,18.7073,4.48989,83.9939,85.0695,24.2397,4.48989,0.245833
0.667,17.7271,17.7271,4.78157,84.7637,85.0695,24.2427,4.78157,0.2875
0.696,16.7186,16.7186,4.8973,81.8762,85.0695,24.2356,4.8973,0.329167
0.725,17.7271,17.7271,4.78157,84.7637,85.0695,24.2427,4.78157,0.2875
0.754,18.7073,18.7073,4.48989,83.9939,85.0695,24.2397,4.48989,0.245833
0.783,17.7271,17.7271,4.78157,84.7637,85.0695,24.2427,4.78157,0.2875
0.812,16.7186,16.7186,4.8973,81.8762,85.0695,24.2356,4.8973,0.329167
0.841,17.7271,17.7271,4.78157,84.7637,85.0695,24.2427,4.78157,0.2875
0.87,18.7073,18.7073,4.48989,83.9939,85.0695,24.2397,4.48989,0.245833
0.899,17.7271,17.7271,4.78157,84.7637,85.0695,24.2427,4.78157,0.2875
0.928,16.7186,16.7186,4.8973,81.8762,85.0695,24.2356,4.8973,0.329167
0.957,17.7271,17.7271,4.78157,84.7637,85.0695,24.2427,4.78157,0.2875
0.986,18.7073,18.7073,4.48989,83.9939,85.0695,24.2397,4.48989,0.245833
1.015,17.7271,17.7271,4.78157,84.7637,85.0695,24.2427,4.78157,0.2875
1.044,16.7186,16.7186,4.8973,81.8762,85.0695,24.2356,4.8973,0.329167
1.073,17.7271,17.7271,4.78157,84.7637,85.0695,24.2427,4.78157,0.2875
