# RTT Statistics — External P&O MPPT
# mean_ms,std_ms,max_ms,p99_ms,n_samples
# 23.595,10.510,75.067,51.818,172
sample_index,rtt_ms
0,13.807
1,12.641
2,25.152
3,29.086
4,15.406
5,15.764
6,28.261
7,19.299
8,18.342
9,15.620
10,26.620
11,22.319
12,18.707
13,20.707
14,25.388
15,38.308
16,17.682
17,15.105
18,24.869
19,25.889
20,15.726
21,15.642
22,27.556
23,13.963
24,19.343
25,15.736
26,15.317
27,44.844
28,21.400
29,25.393
30,28.535
31,34.379
32,28.642
33,17.513
34,45.593
35,17.659
36,15.837
37,25.892
38,16.333
39,32.669
40,21.870
41,29.047
42,19.226
43,12.560
44,15.750
45,16.646
46,25.438
47,34.275
48,16.625
49,14.549
50,23.510
51,16.013
52,17.290
53,16.654
54,33.841
55,15.363
56,26.302
57,31.499
58,44.420
59,17.349
60,15.196
61,16.325
62,53.708
63,13.868
64,14.395
65,15.106
66,26.471
67,23.294
68,18.490
69,22.395
70,25.994
71,43.692
72,15.326
73,29.753
74,19.890
75,44.245
76,34.249
77,31.774
78,31.666
79,16.073
80,19.476
81,18.695
82,32.415
83,13.117
84,16.407
85,15.544
86,44.174
87,14.371
88,34.225
89,12.990
90,38.740
91,19.534
92,21.343
93,25.939
94,13.020
95,21.764
96,16.025
97,13.906
98,26.669
99,17.261
100,18.566
101,15.806
102,14.605
103,44.839
104,15.382
105,49.527
106,30.626
107,15.841
108,15.354
109,27.734
110,13.956
111,17.944
112,18.382
113,16.950
114,26.566
115,14.978
116,22.326
117,14.980
118,12.400
119,25.663
120,15.614
121,29.812
122,12.996
123,39.967
124,17.879
125,15.000
126,44.292
127,14.981
128,32.337
129,14.903
130,22.574
131,13.650
132,18.501
133,16.816
134,16.280
135,31.026
136,42.391
137,16.269
138,31.004
139,15.480
140,26.502
141,14.904
142,27.881
143,15.946
144,37.827
145,16.216
146,42.593
147,15.997
148,19.344
149,17.921
150,46.957
151,22.703
152,18.584
153,75.067
154,15.153
155,28.677
156,18.416
157,30.142
158,15.243
159,51.046
160,21.438
161,15.206
162,45.949
163,23.038
164,43.843
165,14.285
166,31.385
167,16.972
168,37.964
169,15.284
170,14.080
171,24.913
