# RTT Statistics — External P&O MPPT
# mean_ms,std_ms,max_ms,p99_ms,n_samples
# 30.523,12.296,289.773,57.850,75000
sample_index,rtt_ms
0,17.323
1,13.753
2,43.764
3,16.832
4,12.559
5,42.506
6,15.805
7,14.695
8,36.137
9,24.581
10,45.564
11,15.121
12,13.637
13,17.092
14,27.522
15,29.529
16,37.866
17,27.750
18,13.781
19,51.522
20,12.938
21,31.475
22,25.348
23,12.526
24,14.192
25,16.387
26,41.957
27,46.012
28,27.017
29,13.493
30,13.724
31,14.990
32,32.239
33,34.797
34,24.165
35,26.128
36,36.096
37,14.640
38,44.185
39,22.102
40,27.144
41,29.378
42,13.716
43,42.860
44,25.028
45,15.355
46,34.505
47,17.508
48,37.507
49,38.875
50,22.319
51,12.283
52,29.569
53,15.227
54,16.097
55,41.657
56,14.143
57,12.596
58,22.533
59,31.438
60,14.150
61,37.440
62,28.423
63,36.314
64,14.719
65,47.247
66,35.109
67,55.766
68,15.734
69,39.801
70,26.616
71,54.362
72,13.742
73,14.827
74,12.998
75,30.353
76,36.353
77,46.120
78,12.525
79,22.681
80,41.150
81,14.205
82,31.525
83,30.226
84,16.472
85,16.423
86,13.021
87,43.072
88,35.828
89,28.753
90,15.092
91,24.017
92,16.109
93,24.318
94,13.755
95,16.117
96,33.357
97,31.583
98,13.045
99,34.394
100,29.139
101,12.219
102,27.349
103,19.053
104,16.065
105,45.039
106,13.172
107,16.983
108,14.692
109,49.427
110,37.840
111,54.138
112,18.228
113,27.886
114,14.837
115,34.226
116,43.381
117,14.334
118,14.611
119,12.621
120,39.015
121,14.221
122,18.438
123,52.645
124,25.210
125,13.731
126,26.504
127,29.243
128,48.335
129,27.772
130,48.559
131,25.085
132,23.139
133,29.636
134,19.127
135,38.896
136,43.925
137,17.236
138,53.301
139,14.445
140,16.435
141,22.905
142,24.944
143,37.609
144,14.226
145,46.725
146,14.116
147,16.635
148,34.466
149,16.585
150,45.793
151,36.280
152,14.095
153,35.015
154,22.789
155,39.186
156,26.573
157,14.731
158,16.706
159,13.951
160,25.534
161,15.613
162,35.338
163,38.602
164,15.379
165,13.532
166,33.553
167,12.805
168,13.894
169,13.948
170,31.133
171,32.631
172,22.870
173,26.759
174,37.492
175,14.297
176,24.895
177,14.769
178,24.037
179,28.136
180,37.822
181,17.901
182,27.142
183,25.998
184,22.479
185,26.416
186,12.875
187,31.407
188,13.900
189,24.338
190,24.024
191,15.723
192,31.211
193,12.573
194,32.080
195,26.048
196,12.343
197,31.053
198,36.471
199,18.675
200,34.578
201,26.409
202,20.051
203,16.822
204,16.265
205,31.248
206,13.103
207,13.791
208,48.597
209,24.494
210,12.601
211,35.244
212,13.353
213,26.312
214,16.144
215,47.627
216,16.662
217,14.511
218,27.535
219,16.723
220,12.988
221,12.542
222,30.345
223,13.646
224,19.726
225,31.320
226,27.999
227,17.351
228,33.536
229,14.679
230,12.797
231,28.449
232,29.251
233,12.524
234,13.639
235,22.482
236,27.696
237,31.321
238,37.706
239,13.016
240,35.283
241,39.973
242,38.690
243,13.454
244,26.449
245,25.335
246,18.731
247,36.308
248,14.869
249,19.678
250,26.456
251,34.237
252,17.507
253,31.476
254,14.016
255,16.187
256,47.549
257,15.498
258,15.305
259,14.562
260,31.297
261,27.429
262,56.794
263,13.067
264,12.347
265,13.284
266,36.856
267,23.996
268,12.590
269,35.969
270,13.835
271,28.176
272,42.324
273,39.800
274,40.484
275,37.364
276,14.093
277,32.177
278,43.881
279,38.470
280,12.671
281,27.541
282,31.415
283,31.580
284,53.246
285,14.351
286,33.157
287,43.746
288,12.973
289,15.786
290,22.773
291,43.510
292,20.687
293,33.175
294,23.689
295,21.715
296,13.533
297,25.776
298,15.182
299,12.766
300,15.846
301,24.486
302,27.170
303,26.810
304,51.735
305,52.136
306,12.660
307,35.009
308,35.407
309,24.369
310,13.983
311,43.221
312,23.686
313,14.483
314,33.198
315,15.362
316,28.761
317,13.789
318,25.041
319,15.393
320,17.141
321,42.853
322,26.764
323,24.185
324,33.327
325,15.728
326,15.871
327,35.131
328,32.206
329,15.078
330,43.382
331,32.448
332,12.981
333,29.745
334,26.410
335,12.991
336,14.370
337,25.403
338,12.952
339,17.314
340,40.581
341,13.444
342,16.294
343,13.706
344,42.641
345,24.646
346,15.261
347,25.135
348,28.793
349,14.307
350,32.199
351,36.145
352,15.088
353,48.832
354,18.761
355,31.833
356,13.378
357,12.765
358,14.067
359,26.158
360,33.034
361,13.162
362,28.616
363,15.360
364,15.046
365,26.454
366,36.574
367,23.286
368,29.903
369,12.750
370,12.927
371,13.416
372,40.901
373,23.460
374,13.649
375,32.553
376,13.173
377,12.521
378,16.529
379,26.258
380,16.503
381,16.001
382,15.048
383,22.982
384,20.981
385,15.163
386,12.712
387,26.209
388,15.333
389,21.078
390,36.760
391,12.381
392,35.924
393,31.128
394,13.800
395,25.631
396,30.383
397,30.332
398,53.211
399,17.722
400,19.315
401,17.129
402,24.975
403,25.069
404,27.602
405,29.573
406,13.132
407,15.581
408,33.014
409,18.704
410,18.963
411,23.841
412,15.328
413,17.537
414,17.815
415,29.217
416,16.600
417,17.258
418,41.539
419,39.293
420,14.064
421,27.979
422,28.296
423,14.943
424,29.034
425,12.688
426,13.748
427,17.502
428,28.663
429,25.953
430,26.921
431,36.113
432,25.630
433,48.662
434,29.462
435,16.607
436,26.794
437,13.729
438,13.549
439,12.125
440,31.460
441,40.087
442,13.057
443,25.313
444,12.475
445,16.177
446,12.941
447,39.055
448,36.313
449,66.897
450,14.332
451,14.463
452,29.164
453,14.200
454,15.850
455,13.924
456,31.249
457,14.111
458,18.594
459,35.461
460,13.980
461,38.001
462,27.740
463,36.522
464,13.758
465,36.529
466,39.174
467,12.564
468,31.874
469,24.772
470,13.398
