# RTT Statistics — External P&O MPPT
# mean_ms,std_ms,max_ms,p99_ms,n_samples
# 24.225,9.888,56.165,50.331,517
sample_index,rtt_ms
0,29.767
1,16.375
2,29.658
3,23.159
4,22.618
5,18.573
6,15.466
7,31.440
8,16.634
9,27.390
10,16.482
11,22.355
12,32.540
13,15.677
14,14.553
15,34.124
16,40.197
17,29.311
18,26.344
19,18.338
20,37.687
21,28.539
22,45.541
23,14.114
24,33.353
25,19.016
26,16.559
27,15.712
28,16.205
29,50.591
30,25.343
31,17.754
32,42.490
33,21.585
34,13.703
35,36.635
36,16.051
37,19.704
38,17.077
39,15.728
40,42.506
41,19.116
42,19.533
43,39.658
44,18.166
45,30.624
46,39.753
47,15.402
48,19.273
49,18.586
50,14.806
51,25.306
52,29.736
53,19.751
54,15.875
55,31.684
56,22.991
57,34.821
58,14.974
59,29.158
60,29.660
61,17.480
62,15.272
63,39.515
64,28.424
65,15.297
66,15.309
67,31.352
68,23.422
69,14.948
70,15.269
71,28.360
72,16.646
73,18.882
74,18.601
75,18.038
76,27.888
77,34.624
78,19.431
79,27.975
80,33.043
81,18.674
82,15.078
83,23.019
84,28.761
85,26.929
86,15.482
87,48.943
88,15.058
89,14.854
90,15.437
91,46.458
92,17.570
93,24.979
94,25.144
95,18.971
96,17.801
97,14.721
98,15.256
99,44.037
100,13.244
101,14.780
102,15.294
103,51.957
104,24.194
105,40.659
106,18.485
107,44.725
108,27.922
109,23.448
110,16.201
111,15.032
112,25.405
113,24.883
114,29.234
115,14.874
116,33.439
117,21.065
118,19.132
119,14.883
120,23.477
121,15.948
122,33.647
123,27.833
124,43.429
125,18.137
126,50.068
127,14.135
128,23.551
129,19.919
130,39.304
131,20.178
132,17.861
133,16.187
134,25.948
135,19.043
136,21.317
137,17.403
138,31.812
139,14.534
140,19.485
141,18.213
142,16.546
143,28.479
144,13.275
145,20.350
146,49.645
147,17.183
148,21.699
149,16.115
150,44.906
151,42.900
152,48.666
153,14.282
154,20.861
155,18.527
156,46.298
157,18.620
158,18.984
159,16.688
160,17.341
161,27.462
162,25.781
163,38.514
164,21.271
165,37.499
166,19.009
167,47.285
168,15.667
169,16.534
170,20.802
171,15.155
172,27.951
173,38.060
174,29.777
175,46.541
176,34.758
177,34.343
178,20.880
179,15.658
180,18.295
181,15.707
182,41.934
183,20.762
184,36.564
185,26.760
186,16.745
187,31.835
188,14.909
189,23.749
190,16.812
191,18.739
192,20.917
193,15.331
194,23.123
195,17.133
196,17.905
197,33.561
198,27.777
199,18.879
200,19.796
201,21.107
202,15.761
203,43.644
204,15.917
205,16.752
206,43.688
207,28.669
208,18.242
209,19.385
210,27.830
211,14.699
212,16.916
213,23.601
214,15.609
215,27.772
216,41.891
217,17.425
218,31.055
219,16.397
220,16.989
221,14.933
222,33.677
223,46.765
224,19.173
225,19.119
226,24.764
227,16.761
228,16.799
229,18.694
230,15.976
231,25.385
232,26.826
233,22.868
234,17.778
235,14.711
236,45.321
237,15.843
238,15.775
239,30.130
240,15.926
241,21.250
242,18.807
243,16.593
244,49.410
245,17.178
246,14.785
247,14.496
248,27.048
249,21.484
250,32.763
251,27.508
252,32.175
253,41.531
254,30.584
255,25.764
256,15.825
257,16.857
258,23.447
259,41.204
260,16.611
261,37.766
262,17.074
263,20.404
264,17.585
265,14.611
266,27.135
267,34.670
268,28.476
269,24.691
270,38.079
271,15.389
272,15.230
273,24.272
274,16.049
275,18.463
276,16.231
277,14.927
278,29.956
279,16.123
280,15.268
281,13.814
282,15.718
283,26.010
284,39.979
285,41.041
286,14.222
287,20.255
288,48.613
289,30.353
290,16.473
291,50.289
292,32.288
293,16.019
294,16.086
295,50.339
296,14.148
297,47.622
298,18.036
299,15.242
300,21.856
301,29.827
302,14.978
303,20.149
304,17.201
305,12.634
306,36.160
307,19.435
308,37.902
309,20.925
310,16.138
311,18.275
312,14.146
313,32.517
314,14.213
315,19.180
316,15.120
317,37.118
318,13.903
319,17.152
320,17.947
321,12.864
322,25.960
323,43.072
324,16.222
325,20.556
326,15.293
327,17.197
328,38.196
329,23.486
330,17.048
331,34.322
332,14.232
333,40.502
334,15.220
335,16.227
336,15.355
337,48.715
338,34.314
339,26.516
340,19.884
341,19.406
342,15.015
343,12.881
344,43.254
345,13.520
346,14.810
347,15.658
348,52.401
349,42.144
350,20.618
351,23.102
352,18.962
353,43.394
354,20.444
355,41.330
356,27.074
357,14.360
358,21.020
359,18.672
360,15.459
361,26.766
362,15.159
363,15.585
364,18.087
365,42.001
366,36.232
367,29.180
368,22.035
369,15.239
370,33.639
371,15.622
372,16.762
373,40.048
374,36.356
375,15.418
376,46.414
377,16.280
378,12.195
379,38.191
380,19.008
381,16.995
382,33.392
383,25.756
384,17.776
385,31.539
386,13.415
387,26.913
388,18.724
389,16.916
390,18.308
391,15.314
392,26.703
393,15.820
394,27.324
395,15.319
396,25.846
397,14.426
398,18.417
399,21.530
400,16.657
401,28.648
402,33.343
403,17.786
404,15.714
405,28.738
406,19.358
407,19.446
408,17.216
409,29.042
410,17.232
411,18.422
412,19.409
413,15.983
414,26.600
415,34.285
416,16.641
417,38.933
418,14.382
419,45.415
420,20.966
421,36.625
422,17.381
423,37.855
424,51.799
425,20.051
426,18.273
427,27.358
428,21.031
429,19.751
430,15.376
431,17.490
432,30.738
433,19.867
434,17.238
435,17.437
436,27.991
437,15.392
438,16.432
439,18.305
440,41.888
441,32.499
442,43.778
443,24.823
444,20.772
445,15.716
446,13.329
447,15.290
448,23.789
449,17.635
450,38.389
451,18.545
452,56.165
453,20.272
454,16.599
455,37.572
456,18.889
457,16.521
458,14.897
459,37.052
460,20.807
461,15.241
462,15.592
463,15.601
464,26.685
465,20.831
466,28.982
467,15.760
468,46.950
469,20.593
470,33.592
471,26.905
472,35.223
473,15.186
474,28.127
475,39.707
476,19.445
477,16.074
478,25.191
479,36.608
480,17.026
481,16.721
482,28.512
483,15.493
484,34.216
485,16.769
486,28.588
487,17.856
488,19.282
489,43.720
490,15.331
491,19.805
492,18.636
493,40.024
494,18.134
495,34.625
496,19.418
497,28.002
498,16.483
499,15.601
500,16.508
501,15.725
502,28.546
503,18.563
504,18.571
505,27.926
506,26.416
507,16.712
508,23.573
509,41.394
510,37.431
511,22.635
512,16.450
513,25.925
514,23.954
515,18.789
516,17.448
