# RTT Statistics — External P&O MPPT
# mean_ms,std_ms,max_ms,p99_ms,n_samples
# 23.120,9.208,55.829,50.249,517
sample_index,rtt_ms
0,33.092
1,35.041
2,25.573
3,21.421
4,16.551
5,16.745
6,17.224
7,24.734
8,42.298
9,16.551
10,15.245
11,41.734
12,17.440
13,17.621
14,14.612
15,26.588
16,22.540
17,18.149
18,15.413
19,28.640
20,18.572
21,16.378
22,17.380
23,13.512
24,25.079
25,17.607
26,18.797
27,16.120
28,37.060
29,42.717
30,18.389
31,27.912
32,27.245
33,16.983
34,17.400
35,15.679
36,30.210
37,23.634
38,19.348
39,14.559
40,21.736
41,39.986
42,13.645
43,18.980
44,34.763
45,23.218
46,21.573
47,15.049
48,27.540
49,15.516
50,14.596
51,18.407
52,17.488
53,25.656
54,14.372
55,17.520
56,51.843
57,16.501
58,18.876
59,17.260
60,15.626
61,26.547
62,15.618
63,20.031
64,16.568
65,40.735
66,14.278
67,20.464
68,15.426
69,17.063
70,25.172
71,39.846
72,29.527
73,31.108
74,17.255
75,18.891
76,18.594
77,42.586
78,22.240
79,16.172
80,18.073
81,38.148
82,20.738
83,14.118
84,15.304
85,25.010
86,14.295
87,20.810
88,34.670
89,29.501
90,44.457
91,25.842
92,23.553
93,23.826
94,16.103
95,14.797
96,25.402
97,32.553
98,15.397
99,19.091
100,44.287
101,29.705
102,39.627
103,37.509
104,36.858
105,26.075
106,18.306
107,16.752
108,13.118
109,16.192
110,52.890
111,16.898
112,44.351
113,29.601
114,15.057
115,16.003
116,34.517
117,44.831
118,17.471
119,40.901
120,27.060
121,15.928
122,27.499
123,14.612
124,18.856
125,14.948
126,14.406
127,25.873
128,13.766
129,19.259
130,35.588
131,27.905
132,31.383
133,17.024
134,15.265
135,27.094
136,39.449
137,16.896
138,17.316
139,27.126
140,18.029
141,14.870
142,16.124
143,15.205
144,22.689
145,16.318
146,16.942
147,17.085
148,16.600
149,25.560
150,16.155
151,19.833
152,14.683
153,15.372
154,42.426
155,40.571
156,14.403
157,29.382
158,43.959
159,39.039
160,15.924
161,20.478
162,16.831
163,15.366
164,23.570
165,15.706
166,19.518
167,18.455
168,12.977
169,24.726
170,15.489
171,31.938
172,14.477
173,17.603
174,43.537
175,18.658
176,14.030
177,14.730
178,26.798
179,16.586
180,18.305
181,16.749
182,15.774
183,36.664
184,19.704
185,17.847
186,15.253
187,25.696
188,14.869
189,21.741
190,15.833
191,15.799
192,26.118
193,15.486
194,20.774
195,17.760
196,17.063
197,25.503
198,15.824
199,21.659
200,14.920
201,15.285
202,25.252
203,15.576
204,20.076
205,27.446
206,15.867
207,25.604
208,22.200
209,19.073
210,46.226
211,16.662
212,29.061
213,16.633
214,17.989
215,27.781
216,22.041
217,16.749
218,28.765
219,28.584
220,17.018
221,24.730
222,14.758
223,25.824
224,13.841
225,20.681
226,15.961
227,17.688
228,27.147
229,18.151
230,18.166
231,16.792
232,14.944
233,33.433
234,50.252
235,16.222
236,25.782
237,34.491
238,28.807
239,27.580
240,13.916
241,20.219
242,18.104
243,14.797
244,25.983
245,21.671
246,17.801
247,18.283
248,28.802
249,31.162
250,18.641
251,47.534
252,41.757
253,16.952
254,16.449
255,49.169
256,33.366
257,15.234
258,24.645
259,16.849
260,19.637
261,15.942
262,17.462
263,26.049
264,15.660
265,40.588
266,15.282
267,23.422
268,23.839
269,37.132
270,28.355
271,21.661
272,16.127
273,15.265
274,16.150
275,32.420
276,18.607
277,15.712
278,15.959
279,38.034
280,19.863
281,13.554
282,16.402
283,25.551
284,21.026
285,13.881
286,31.457
287,27.266
288,17.263
289,35.388
290,26.999
291,17.587
292,20.580
293,26.786
294,27.172
295,16.438
296,26.034
297,44.423
298,16.983
299,15.523
300,17.079
301,36.492
302,33.417
303,20.801
304,14.295
305,21.940
306,19.822
307,18.349
308,13.770
309,24.746
310,15.060
311,47.416
312,26.050
313,15.992
314,18.631
315,27.198
316,22.921
317,13.342
318,30.463
319,55.829
320,16.260
321,34.493
322,24.665
323,19.123
324,16.757
325,23.282
326,28.142
327,17.184
328,13.553
329,28.771
330,23.893
331,22.255
332,18.116
333,14.227
334,26.261
335,14.987
336,20.015
337,12.492
338,26.268
339,12.633
340,20.591
341,16.819
342,13.928
343,22.788
344,21.576
345,27.525
346,15.010
347,27.679
348,18.997
349,14.648
350,33.243
351,19.959
352,17.795
353,17.544
354,27.154
355,27.060
356,19.614
357,15.331
358,15.018
359,17.766
360,27.431
361,16.469
362,12.838
363,15.711
364,15.511
365,50.234
366,18.432
367,16.895
368,30.718
