# RTT Statistics — External P&O MPPT
# mean_ms,std_ms,max_ms,p99_ms,n_samples
# 26.436,12.056,312.840,54.657,75000
sample_index,rtt_ms
0,38.822
1,14.879
2,14.889
3,29.630
4,25.150
5,26.107
6,36.359
7,34.157
8,25.834
9,16.379
10,60.874
11,15.402
12,26.477
13,64.695
14,34.514
15,19.651
16,13.773
17,35.017
18,51.134
19,15.752
20,23.807
21,15.278
22,14.357
23,18.471
24,26.999
25,26.579
26,14.540
27,27.806
28,13.685
29,13.787
30,33.672
31,16.087
32,16.135
33,38.729
34,15.493
35,38.934
36,34.154
37,35.326
38,32.265
39,26.442
40,26.732
41,20.050
42,14.172
43,14.912
44,45.270
45,16.765
46,14.315
47,41.860
48,17.431
49,38.052
50,37.532
51,41.109
52,36.184
53,13.860
54,36.371
55,34.675
56,39.373
57,50.674
58,26.642
59,26.997
60,13.350
61,25.033
62,42.719
63,30.888
64,15.363
65,28.508
66,14.839
67,14.050
68,14.062
69,42.737
70,19.541
71,19.419
72,23.354
73,19.091
74,17.421
75,37.149
76,13.813
77,15.554
78,45.788
79,40.097
80,34.312
81,36.697
82,37.732
83,22.537
84,48.343
85,26.922
86,41.530
87,36.123
88,32.571
89,53.355
90,13.989
91,16.198
92,41.795
93,12.778
94,14.297
95,30.265
96,33.639
97,12.926
98,36.483
99,35.270
100,16.919
101,28.121
102,13.432
103,17.212
104,37.912
105,27.894
106,15.411
107,15.391
108,39.704
109,37.275
110,38.237
111,22.661
112,28.434
113,20.544
114,34.369
115,15.035
116,27.623
117,13.097
118,37.153
119,29.861
120,31.824
121,15.397
122,46.529
123,14.979
124,41.004
125,26.046
126,23.746
127,40.408
128,36.982
129,34.453
130,14.312
131,36.309
132,27.399
133,14.842
134,15.584
135,13.001
136,24.111
137,13.240
138,29.075
139,35.352
140,16.058
141,13.588
142,32.729
143,32.372
144,14.364
145,28.312
146,14.415
147,12.725
148,32.215
149,25.850
150,34.319
151,15.846
152,41.258
153,14.623
154,44.848
155,25.166
156,23.326
157,37.591
158,35.828
159,41.609
160,36.076
161,20.886
162,42.829
163,13.736
164,13.393
165,31.608
166,13.870
167,28.885
168,40.439
169,38.250
170,24.598
171,35.972
172,23.454
173,32.267
174,27.212
175,13.186
176,43.045
177,13.614
178,22.997
179,15.809
180,45.505
181,22.186
182,39.052
183,24.948
184,15.027
185,29.150
186,36.646
187,12.577
188,39.443
189,32.654
190,37.288
191,25.736
192,23.183
193,29.310
194,31.427
195,15.067
196,41.871
197,13.477
198,37.519
199,34.161
200,16.778
201,17.189
202,31.592
203,14.603
204,13.831
205,35.926
206,35.695
207,50.845
208,19.438
209,13.358
210,38.953
211,34.654
212,59.644
213,30.146
214,27.703
215,25.741
216,34.496
217,40.867
218,36.028
219,50.178
220,25.721
221,22.954
222,37.872
223,34.960
224,35.421
225,35.222
226,14.655
227,45.263
228,24.035
229,44.375
230,13.057
231,29.246
232,37.682
233,35.487
234,41.382
235,37.354
236,14.234
237,33.868
