# RTT Statistics — External P&O MPPT
# mean_ms,std_ms,max_ms,p99_ms,n_samples
# 25.402,10.894,87.504,53.397,517
sample_index,rtt_ms
0,30.141
1,30.313
2,12.791
3,32.921
4,36.954
5,19.568
6,19.661
7,46.395
8,14.110
9,19.632
10,15.518
11,23.597
12,18.345
13,22.621
14,16.440
15,43.894
16,20.488
17,15.735
18,48.697
19,29.157
20,18.267
21,17.636
22,25.311
23,23.134
24,17.425
25,25.676
26,25.471
27,31.572
28,45.527
29,17.600
30,32.368
31,18.032
32,40.077
33,17.842
34,17.395
35,16.368
36,17.194
37,24.574
38,37.255
39,30.740
40,29.226
41,16.676
42,37.647
43,29.941
44,14.206
45,21.750
46,13.753
47,16.937
48,34.809
49,16.560
50,15.700
51,38.437
52,25.660
53,21.749
54,17.913
55,15.509
56,14.529
57,28.462
58,21.167
59,15.317
60,53.293
61,15.025
62,42.413
63,15.357
64,55.168
65,17.484
66,14.501
67,28.341
68,20.095
69,15.054
70,17.593
71,13.446
72,48.692
73,16.020
74,27.529
75,30.777
76,16.130
77,46.732
78,33.429
79,16.599
80,23.370
81,49.373
82,36.117
83,36.841
84,24.947
85,16.890
86,15.543
87,17.930
88,12.802
89,50.938
90,16.463
91,15.867
92,30.693
93,17.652
94,16.187
95,14.960
96,37.610
97,16.755
98,34.425
99,14.907
100,28.785
101,16.872
102,16.472
103,14.927
104,13.608
105,44.719
106,40.432
107,31.138
108,37.932
109,28.955
110,23.634
111,14.814
112,31.231
113,14.844
114,35.197
115,36.926
116,48.987
117,14.687
118,20.291
119,15.829
120,14.980
121,30.063
122,50.901
123,16.566
124,33.166
125,20.055
126,23.196
127,15.016
128,28.222
129,16.466
130,15.531
131,14.754
132,19.504
133,87.504
134,31.003
135,52.935
136,19.405
137,28.879
138,20.845
139,15.715
140,13.919
141,46.848
142,33.189
143,19.178
144,33.283
145,19.212
146,15.711
147,15.901
148,14.641
149,33.438
150,20.431
151,16.507
152,19.773
153,34.312
154,37.891
155,26.155
156,32.523
157,16.204
158,15.308
159,54.446
160,22.983
161,18.339
162,19.770
163,80.524
164,15.101
165,42.700
166,40.851
167,32.848
168,26.462
169,21.547
170,17.756
171,17.728
172,27.776
173,21.598
174,22.787
175,15.270
176,14.872
177,30.586
178,35.040
179,18.864
180,24.549
181,16.732
182,41.648
183,39.754
184,20.876
185,19.609
186,16.810
187,14.781
188,34.369
189,29.661
190,17.881
191,19.741
192,26.936
193,39.144
194,15.865
195,32.655
196,38.643
197,17.264
198,15.767
199,23.797
200,31.364
201,25.986
202,17.729
203,40.924
204,21.024
205,41.715
206,30.015
207,26.526
208,17.095
209,20.631
210,36.735
211,17.680
212,17.061
213,15.033
214,26.129
215,15.205
216,17.062
217,15.646
218,14.909
219,31.743
220,15.892
221,17.607
222,22.181
223,15.858
224,39.811
225,18.625
226,17.015
227,18.730
228,27.939
229,36.796
230,21.268
231,15.616
232,32.899
233,37.260
234,17.414
235,19.647
236,16.756
237,18.529
238,17.828
239,41.622
240,34.083
241,17.500
242,15.115
243,32.875
244,14.706
245,17.384
246,17.872
247,32.457
248,34.006
249,15.000
250,14.847
251,28.877
252,25.500
253,16.018
254,29.666
255,31.789
256,20.626
257,18.401
258,14.475
259,28.361
260,18.515
261,25.947
262,20.738
263,24.842
264,34.300
265,15.835
266,15.037
267,52.668
268,15.356
269,17.295
270,43.366
271,42.635
272,15.078
273,25.168
274,30.691
275,19.047
276,13.782
277,25.518
278,21.088
279,34.730
280,15.950
281,24.408
282,14.808
283,16.357
284,16.410
285,31.494
286,39.860
287,16.404
288,16.261
289,20.861
290,37.232
291,16.262
292,26.301
293,12.803
294,43.882
295,37.216
296,17.758
297,16.325
298,14.142
299,14.673
300,38.820
301,34.389
302,26.150
303,17.116
304,19.029
305,13.340
306,17.659
307,40.158
308,42.438
309,21.868
310,15.307
311,18.217
312,37.115
313,25.788
314,16.305
315,37.168
316,16.478
317,19.150
318,21.865
319,16.437
320,41.915
321,29.035
322,25.038
323,40.221
324,24.296
325,31.254
326,26.222
327,18.448
328,18.201
329,29.869
330,27.257
331,36.108
332,32.944
333,42.335
334,17.898
335,17.111
336,25.328
337,13.308
338,15.648
339,35.042
340,34.735
341,38.412
342,36.097
343,14.120
344,36.831
345,39.596
346,34.197
347,27.010
348,28.065
349,17.080
350,17.756
351,29.547
352,32.752
353,42.422
354,29.400
355,27.146
356,24.195
357,14.447
358,17.116
359,42.628
360,41.378
361,14.500
362,44.086
363,37.727
364,27.294
365,15.864
366,20.859
367,17.098
368,45.344
369,18.919
370,16.780
371,18.969
372,17.915
373,53.632
374,14.858
375,14.175
376,28.591
377,23.366
378,16.405
379,28.421
380,29.680
381,22.993
382,15.273
383,13.907
384,33.887
385,22.316
386,15.647
387,15.346
388,37.926
389,37.842
390,53.416
391,15.261
392,47.826
393,15.835
394,25.288
395,18.397
396,20.606
