# RTT Statistics — External P&O MPPT
# mean_ms,std_ms,max_ms,p99_ms,n_samples
# 23.708,10.056,63.345,54.384,517
sample_index,rtt_ms
0,14.526
1,13.078
2,24.615
3,14.042
4,16.640
5,19.555
6,17.609
7,23.000
8,18.393
9,17.685
10,16.473
11,12.754
12,27.443
13,22.319
14,19.503
15,44.826
16,44.347
17,48.482
18,15.470
19,31.938
20,15.398
21,36.946
22,22.495
23,16.827
24,21.198
25,24.668
26,34.502
27,24.721
28,46.354
29,46.611
30,16.113
31,29.787
32,16.147
33,37.014
34,15.510
35,28.054
36,18.600
37,21.977
38,14.152
39,15.317
40,27.284
41,19.887
42,12.588
43,48.729
44,15.215
45,20.664
46,42.184
47,21.232
48,44.940
49,15.644
50,28.908
51,16.057
52,41.699
53,41.662
54,17.912
55,16.400
56,15.756
57,15.484
58,29.710
59,39.487
60,17.648
61,15.661
62,40.726
63,16.255
64,15.015
65,16.143
66,29.695
67,25.253
68,15.899
69,15.272
70,28.507
71,14.436
72,17.653
73,19.628
74,13.542
75,24.044
76,19.035
77,21.276
78,20.719
79,15.910
80,21.456
81,36.962
82,16.064
83,16.042
84,20.511
85,25.856
86,19.091
87,40.018
88,29.303
89,16.983
90,15.498
91,30.722
92,31.150
93,16.887
94,48.213
95,41.368
96,20.961
97,47.775
98,22.603
99,14.701
100,38.919
101,15.164
102,32.188
103,15.958
104,25.462
105,23.887
106,17.595
107,14.327
108,26.370
109,42.921
110,16.395
111,14.282
112,48.781
113,17.823
114,19.009
115,24.023
116,36.724
117,17.796
118,42.900
119,21.246
120,14.739
121,14.938
122,37.115
123,19.947
124,22.260
125,17.195
126,44.195
127,16.892
128,35.969
129,27.842
130,18.409
131,16.616
132,39.671
133,50.125
134,15.770
135,45.074
136,15.489
137,18.748
138,19.314
139,14.926
140,37.535
141,42.926
142,42.467
143,16.466
144,15.413
145,17.450
146,15.304
147,27.274
148,14.794
149,20.313
150,15.608
151,17.162
152,35.771
153,17.348
154,22.131
155,18.325
156,26.559
157,22.731
158,36.313
159,14.142
160,48.772
161,15.372
162,16.406
163,29.084
164,13.170
165,17.356
166,33.771
167,26.444
168,12.943
169,27.916
170,29.000
171,23.687
172,13.870
173,41.680
174,15.858
175,36.859
176,16.968
177,16.709
178,15.995
179,39.715
180,17.107
181,22.760
182,29.846
183,56.767
184,18.830
185,18.913
186,29.197
187,18.838
188,13.377
189,16.715
190,15.734
191,28.532
192,17.968
193,17.736
194,37.861
195,44.514
196,15.954
197,17.782
198,15.722
199,28.758
200,15.831
201,20.717
202,17.033
203,15.428
204,23.909
205,17.812
206,22.891
207,15.623
208,14.641
209,24.634
210,17.654
211,20.875
212,23.537
213,32.257
214,18.891
215,15.035
216,36.205
217,27.571
218,16.786
219,20.809
220,14.828
221,39.616
222,15.874
223,19.789
224,17.953
225,17.795
226,44.245
227,16.500
228,16.022
229,16.731
230,28.851
231,21.835
232,16.899
233,15.554
234,16.076
235,37.585
236,27.429
237,15.470
238,14.811
239,46.205
240,13.508
241,15.103
242,17.811
243,51.438
244,16.754
245,45.669
246,15.208
247,22.555
248,54.749
249,18.079
250,17.700
251,18.273
252,14.766
253,23.769
254,14.622
255,16.634
256,16.109
257,16.331
258,29.491
259,18.236
260,15.516
261,15.922
262,15.529
263,27.092
264,32.566
265,34.578
266,25.189
267,17.730
268,29.354
269,14.319
270,28.481
271,13.460
272,20.233
273,35.850
274,45.678
275,18.297
276,14.278
277,14.656
278,29.118
279,19.627
280,41.954
281,26.525
282,17.805
283,16.771
284,14.577
285,29.122
286,16.213
287,19.362
288,16.232
289,32.487
290,27.198
291,19.826
292,14.205
293,23.339
294,16.200
295,16.726
296,21.021
297,27.272
298,18.967
299,19.139
300,29.202
301,24.452
302,18.556
303,19.410
304,16.400
305,26.223
306,37.049
307,29.349
308,24.623
309,15.740
310,14.783
311,15.137
312,16.203
313,18.065
314,13.776
315,21.078
316,14.152
317,25.385
318,15.284
319,36.301
320,15.073
321,20.210
322,33.189
323,16.078
324,16.335
325,26.420
326,19.400
327,15.005
328,13.966
329,24.705
330,13.920
331,41.056
332,17.196
333,26.670
334,36.296
335,15.154
336,16.265
337,21.897
338,21.951
339,18.499
340,15.879
341,32.272
342,16.949
343,16.979
344,32.999
345,13.827
346,20.352
347,18.745
348,14.727
349,20.956
350,56.298
351,16.641
352,24.897
353,18.588
354,17.345
355,14.526
356,42.382
357,41.320
358,19.839
359,27.370
360,18.178
361,17.539
362,15.301
363,25.881
364,39.069
365,17.541
366,26.687
367,29.255
368,16.390
369,16.856
370,39.474
371,19.847
372,33.856
373,13.897
374,29.887
375,37.164
376,16.690
377,17.295
378,25.644
379,16.125
380,34.651
381,16.499
382,25.789
383,17.726
384,17.716
385,15.325
386,12.627
387,28.257
388,21.715
389,17.919
390,14.190
391,28.477
392,17.733
393,17.906
394,17.442
395,41.793
396,29.672
397,38.860
398,27.341
399,33.405
400,16.694
401,17.887
402,29.137
403,35.912
404,28.040
405,35.002
406,35.110
407,17.637
408,41.635
409,30.886
410,56.520
411,34.231
412,16.948
413,16.533
414,25.455
415,17.335
416,17.880
417,18.739
418,16.298
419,41.282
420,18.023
421,38.782
422,25.856
423,18.340
424,15.931
425,14.828
426,14.663
427,26.934
428,42.580
429,14.855
430,40.366
431,17.645
432,17.613
433,15.653
434,16.899
435,52.467
436,20.852
437,14.741
438,26.395
439,15.305
440,33.828
441,14.763
442,29.748
443,16.939
444,22.397
445,29.404
446,29.186
447,18.553
448,16.667
449,17.287
450,14.459
451,48.481
452,15.564
453,26.747
454,26.507
455,14.546
456,19.682
457,21.551
458,14.853
459,50.680
460,29.813
461,17.593
462,63.345
463,19.756
464,14.944
465,31.780
466,18.198
467,19.904
468,17.523
469,17.640
470,23.993
471,21.931
472,37.195
473,24.743
474,15.985
475,31.306
476,15.441
477,37.287
478,19.372
479,17.998
480,16.811
481,25.842
482,17.203
483,26.283
484,56.332
485,36.147
486,18.519
487,14.837
488,30.529
489,15.390
490,19.433
491,48.953
492,17.064
493,18.966
494,16.327
495,17.577
496,28.555
497,14.715
498,31.462
499,15.590
500,42.408
501,16.729
502,17.400
503,16.644
504,23.547
505,12.888
506,17.502
507,35.501
508,27.609
509,12.656
510,19.247
511,17.955
512,14.589
513,22.097
514,15.295
515,17.747
516,18.310
