# RTT Statistics — External P&O MPPT
# mean_ms,std_ms,max_ms,p99_ms,n_samples
# 26.406,12.528,101.006,70.882,516
sample_index,rtt_ms
0,29.669
1,18.912
2,33.550
3,17.790
4,21.543
5,15.647
6,41.658
7,36.506
8,17.369
9,33.651
10,15.419
11,15.878
12,18.095
13,16.759
14,26.329
15,16.860
16,43.669
17,31.480
18,16.750
19,37.367
20,17.423
21,26.335
22,19.593
23,15.652
24,15.546
25,15.488
26,26.639
27,18.916
28,15.152
29,16.710
30,29.370
31,18.763
32,33.428
33,16.302
34,85.399
35,14.545
36,30.327
37,34.596
38,33.122
39,35.711
40,22.198
41,18.392
42,14.549
43,25.655
44,32.809
45,69.578
46,33.155
47,30.715
48,27.130
49,15.422
50,21.117
51,19.196
52,44.764
53,22.689
54,17.538
55,17.049
56,15.235
57,33.207
58,20.585
59,18.606
60,85.675
61,19.530
62,14.466
63,27.493
64,20.475
65,44.383
66,50.810
67,28.939
68,17.691
69,31.111
70,17.549
71,35.538
72,31.804
73,24.515
74,16.537
75,20.148
76,38.340
77,30.760
78,19.831
79,16.833
80,21.271
81,89.009
82,33.958
83,18.978
84,14.896
85,30.309
86,19.496
87,18.918
88,15.077
89,33.814
90,23.000
91,19.844
92,44.012
93,15.206
94,17.316
95,33.713
96,44.547
97,32.936
98,16.326
99,30.652
100,31.413
101,14.897
102,15.364
103,28.093
104,24.335
105,21.074
106,44.266
107,35.858
108,12.301
109,17.169
110,59.188
111,28.910
112,27.850
113,21.783
114,17.460
115,16.464
116,29.837
117,22.333
118,15.565
119,26.998
120,24.338
121,17.805
122,16.627
123,25.355
124,34.417
125,37.140
126,25.184
127,33.970
128,19.069
129,29.296
130,27.334
131,15.641
132,18.420
133,20.962
134,37.285
135,55.902
136,15.581
137,24.796
138,15.806
139,22.745
140,15.875
141,22.808
142,35.667
143,39.593
144,14.250
145,47.102
146,17.585
147,19.477
148,28.625
149,16.628
150,21.819
151,15.786
152,18.799
153,31.296
154,19.934
155,17.505
156,13.571
157,16.712
158,33.693
159,30.345
160,46.025
161,16.508
162,41.410
163,15.301
164,57.090
165,28.705
166,31.413
167,29.105
168,38.927
169,31.654
170,28.727
171,59.600
172,31.848
173,15.671
174,15.824
175,27.001
176,13.760
177,19.703
178,16.865
179,15.686
180,26.261
181,15.107
182,28.037
183,19.906
184,16.912
185,38.697
186,23.846
187,19.009
188,28.202
189,15.717
190,28.069
191,28.111
192,35.389
193,18.066
194,15.974
195,15.939
196,15.530
197,28.714
198,23.720
199,16.734
200,42.594
201,16.642
202,23.782
203,16.767
204,17.563
205,41.008
206,18.705
207,30.611
208,25.971
209,16.794
210,20.066
211,15.932
212,17.070
213,32.993
214,41.325
215,14.835
216,40.036
217,21.875
218,28.811
219,26.252
220,37.925
221,46.496
222,44.492
223,21.872
224,17.054
225,26.460
226,17.486
227,43.731
228,40.154
229,17.824
230,46.889
231,44.733
232,22.942
233,35.678
234,24.947
235,19.485
236,27.973
237,15.569
238,15.736
239,27.684
240,39.923
241,18.143
242,37.679
243,29.356
244,19.871
245,27.388
246,36.646
247,29.299
248,15.679
249,27.175
250,18.717
251,17.158
252,45.946
253,35.010
254,17.631
255,101.006
256,13.002
257,30.857
258,21.602
259,29.458
260,15.480
261,62.131
262,17.557
263,48.929
264,61.177
265,60.763
266,18.632
267,21.841
268,24.324
269,38.752
270,18.884
271,18.681
272,26.203
273,20.152
274,14.503
275,26.277
276,26.315
277,25.611
278,39.982
279,71.090
280,17.860
281,27.683
282,23.248
283,12.846
284,15.783
285,15.915
286,69.700
287,28.223
288,60.353
289,26.538
290,37.584
291,18.141
292,25.064
293,28.624
294,14.002
295,23.053
296,15.408
297,34.050
298,31.096
299,27.901
300,25.276
301,18.845
302,14.310
303,14.067
304,28.344
305,19.194
306,24.864
307,14.264
308,48.093
309,33.327
310,34.803
311,38.676
312,14.717
313,32.382
314,16.988
315,15.418
316,16.324
317,25.783
318,16.056
319,40.241
320,16.954
321,53.109
322,14.976
323,19.320
324,24.897
325,15.641
326,13.925
327,17.186
328,46.214
329,40.473
330,38.146
331,19.243
332,16.122
333,36.252
334,28.622
335,22.337
336,39.096
337,24.433
338,17.835
339,13.809
340,21.496
341,30.365
342,22.051
343,20.083
344,34.194
345,25.486
346,23.195
347,15.560
348,28.100
349,14.976
350,35.545
351,14.720
352,34.121
353,20.957
354,18.634
355,16.368
356,24.752
357,25.517
358,16.255
359,20.552
360,25.449
361,17.484
362,37.323
363,26.937
364,37.862
365,17.994
366,33.631
367,21.238
368,21.795
369,17.158
370,35.792
371,15.772
372,19.651
373,18.391
374,32.977
375,18.249
376,17.546
377,27.281
378,48.238
379,18.355
380,16.799
381,18.351
382,26.734
383,21.849
384,37.351
385,28.055
386,28.580
387,19.706
388,43.712
389,39.770
390,15.851
391,16.269
392,26.649
393,17.392
394,17.271
395,18.363
396,42.842
397,19.959
398,17.299
399,14.349
400,31.168
401,14.721
402,19.303
403,39.235
404,29.293
405,18.823
406,17.170
407,30.649
408,29.284
409,23.160
410,32.572
411,22.777
412,18.593
413,18.950
414,15.957
415,48.390
416,16.722
417,19.005
418,25.195
419,15.438
420,43.780
421,14.482
422,26.167
423,15.198
424,22.745
425,13.598
426,43.235
427,14.299
428,40.817
429,15.658
430,28.335
431,17.290
432,40.796
433,29.837
434,14.432
435,42.178
436,15.780
437,26.894
438,15.396
439,23.170
440,15.291
441,42.111
442,18.189
443,18.387
444,52.823
445,18.708
446,14.453
447,21.524
448,14.860
449,25.523
450,17.505
451,16.627
452,16.694
453,20.456
454,48.119
455,18.626
456,16.767
457,34.573
458,17.279
459,22.821
460,15.768
461,36.391
462,13.415
463,36.652
464,18.060
465,27.666
466,18.066
467,16.361
468,35.715
469,52.775
470,41.237
471,22.541
472,37.468
473,18.471
474,46.862
475,16.721
476,21.212
477,39.686
478,49.400
479,16.408
480,17.831
481,34.800
482,29.328
483,19.807
484,14.337
485,72.757
486,50.536
487,16.397
488,17.367
489,13.682
490,15.974
491,37.257
492,16.304
493,13.922
494,19.412
495,31.637
496,15.440
497,18.010
498,14.723
499,48.598
500,14.552
501,14.475
502,16.351
503,14.916
504,39.206
505,19.130
506,36.649
507,29.643
508,27.597
509,14.655
510,50.890
511,17.355
512,15.410
513,28.777
514,31.481
515,43.517
