# RTT Statistics — External P&O MPPT
# mean_ms,std_ms,max_ms,p99_ms,n_samples
# 27.737,11.530,161.149,53.643,74997
sample_index,rtt_ms
0,17.765
1,36.739
2,46.072
3,14.449
4,40.049
5,26.476
6,15.254
7,13.134
8,23.274
9,37.314
10,13.581
11,40.388
12,27.259
13,13.051
14,22.023
15,34.698
16,22.727
17,19.174
18,46.866
19,38.341
20,35.852
21,15.100
22,31.612
23,23.976
24,16.656
25,18.257
26,41.860
27,30.037
28,15.040
29,26.567
30,12.880
31,13.321
32,19.566
33,22.291
34,14.856
35,13.138
36,20.244
37,19.886
38,13.767
39,13.086
40,18.509
41,24.879
42,15.184
43,12.163
44,17.321
45,24.914
46,12.794
47,31.292
48,37.288
49,17.291
50,33.309
51,23.602
52,15.685
53,30.505
54,36.061
55,36.565
56,44.704
57,29.984
58,28.938
59,31.813
60,23.650
61,15.665
62,37.915
63,31.709
64,18.724
65,43.435
66,38.028
67,38.899
68,33.094
69,62.658
70,57.268
71,12.737
72,37.795
73,39.569
74,13.696
75,12.558
76,15.874
77,36.676
78,12.691
79,34.511
80,26.683
81,12.726
82,30.248
83,40.808
84,38.058
85,13.541
86,18.279
87,12.404
88,13.504
89,15.897
90,25.526
91,15.037
92,14.063
93,17.747
94,20.345
95,12.489
96,13.034
97,18.530
98,22.962
99,12.785
100,46.972
101,20.028
102,14.924
103,15.642
104,14.301
105,23.021
106,30.527
107,23.030
108,39.162
109,14.917
110,44.843
111,12.751
112,16.677
113,26.025
114,26.040
115,26.455
116,42.869
117,14.000
118,17.842
119,38.887
120,23.414
121,29.872
122,25.785
123,13.772
124,12.845
125,14.598
126,33.071
127,16.875
128,15.354
129,37.891
130,14.671
131,12.567
132,42.589
133,38.548
134,25.110
135,23.767
136,13.112
137,12.720
138,39.900
139,27.105
140,23.512
141,14.252
142,21.594
143,13.720
144,14.419
145,39.404
146,34.217
147,24.234
148,37.784
149,14.521
150,31.065
151,38.524
152,15.447
153,43.599
154,27.982
155,12.829
156,18.145
157,19.164
158,14.393
159,12.815
160,43.637
161,14.598
162,12.795
163,21.031
164,23.172
165,13.849
166,13.855
167,21.592
168,27.077
169,14.684
170,13.038
171,16.740
172,23.414
173,16.165
174,26.194
175,38.134
176,37.432
177,27.259
178,22.314
179,13.167
180,47.482
181,13.038
182,12.784
183,43.443
184,27.006
185,36.825
186,25.847
187,36.024
188,17.455
189,26.653
190,27.490
191,50.664
192,23.456
193,17.698
194,15.449
195,22.119
196,26.435
197,19.391
198,47.338
199,28.156
200,32.483
201,24.061
202,25.411
203,37.817
204,24.937
205,23.421
206,38.651
207,39.373
208,28.101
209,31.586
210,15.663
211,28.799
212,28.209
213,37.489
214,38.961
215,38.215
216,35.984
217,40.320
218,23.324
219,30.227
220,42.595
221,33.026
222,24.303
223,37.800
224,13.682
225,18.173
226,37.911
227,25.909
228,16.941
229,27.451
230,13.558
231,12.882
232,13.393
233,23.876
234,12.966
235,12.342
236,13.815
237,17.721
238,18.436
239,29.561
240,24.719
241,38.670
242,12.942
243,35.683
244,41.068
245,44.442
246,31.552
247,46.502
248,46.907
249,35.280
250,27.884
251,18.565
252,16.089
253,53.570
254,22.033
255,56.210
256,15.813
257,23.280
258,14.007
259,34.262
260,48.752
261,46.720
262,15.237
263,50.063
264,46.720
265,18.556
266,16.768
267,14.038
268,33.175
269,29.493
270,35.631
271,49.881
272,35.430
273,14.953
274,35.648
275,28.089
276,19.815
277,39.512
278,33.453
279,29.413
280,31.378
281,29.434
282,17.020
283,19.560
284,17.626
285,28.936
286,12.405
287,15.962
288,22.549
289,41.954
290,23.628
291,15.456
292,14.260
293,34.163
294,20.750
295,13.082
296,39.846
297,49.100
298,13.082
299,47.094
300,39.757
301,35.622
302,13.892
303,30.547
304,15.685
305,21.082
306,13.462
307,14.087
308,46.908
309,30.030
310,15.838
311,28.952
312,38.216
313,28.520
314,50.612
315,53.566
316,24.635
317,13.045
318,43.166
319,28.780
320,25.626
321,21.746
322,35.492
323,13.584
324,25.280
325,28.701
326,42.879
327,21.296
328,16.692
329,25.788
330,24.014
331,13.283
332,20.533
333,19.008
334,38.007
335,15.491
336,15.114
337,21.612
338,14.585
339,21.789
340,53.260
341,12.954
342,22.269
343,14.950
344,16.347
345,15.592
346,24.431
