# RTT Statistics — External P&O MPPT
# mean_ms,std_ms,max_ms,p99_ms,n_samples
# 30.564,11.699,137.875,57.244,50000
sample_index,rtt_ms
0,43.272
1,32.009
2,25.448
3,63.778
4,37.969
5,37.139
6,40.552
7,37.686
8,27.256
9,45.623
10,13.314
11,15.205
12,40.930
13,16.669
14,17.424
15,12.219
16,25.955
17,13.688
18,21.074
19,17.088
20,19.878
21,17.795
22,18.648
23,41.663
24,22.424
25,33.673
26,14.869
27,21.341
28,13.878
29,26.565
30,17.404
31,21.882
32,12.308
33,25.271
34,14.464
35,27.442
36,33.747
37,29.311
38,15.119
39,23.725
40,40.428
41,39.533
42,14.017
43,14.490
44,53.476
45,14.101
46,39.459
47,25.127
48,37.582
49,50.945
50,28.962
51,14.247
52,13.190
53,27.094
54,26.534
55,21.505
56,28.038
57,36.517
58,14.613
59,23.440
60,16.467
61,12.938
62,29.851
63,27.307
64,15.280
65,31.529
66,31.982
67,15.892
68,39.309
69,19.842
70,12.858
71,17.279
72,17.722
73,22.447
74,40.202
75,42.090
76,33.608
77,48.785
78,30.893
79,37.859
80,28.270
81,31.982
82,43.982
83,12.860
84,34.189
85,36.971
86,41.545
87,18.171
88,25.659
89,50.392
90,17.612
91,38.840
92,35.875
93,19.505
94,28.375
95,25.131
96,12.115
97,12.588
98,17.345
99,24.207
100,34.757
101,34.488
102,36.703
103,27.007
104,25.280
105,17.732
106,12.641
107,47.043
108,14.210
109,14.044
110,18.669
111,35.931
112,16.354
113,30.827
114,28.260
115,34.813
116,24.313
117,25.662
118,23.690
119,16.650
120,33.934
121,13.073
122,29.090
123,35.543
124,22.832
125,24.927
126,36.676
127,22.763
128,17.932
129,27.964
130,26.832
131,41.489
132,34.313
133,18.343
134,33.529
135,38.278
136,30.510
137,42.182
138,12.576
139,32.214
140,24.475
141,49.519
142,26.153
143,17.222
144,29.145
145,24.505
146,37.278
147,27.216
148,28.285
149,30.966
150,30.152
151,23.851
152,33.448
153,15.976
154,37.223
155,46.208
156,40.194
157,39.442
158,38.101
159,32.747
160,44.996
161,40.817
162,13.590
163,30.188
164,37.700
165,12.879
166,69.133
167,37.885
168,22.293
169,41.418
170,44.590
171,56.050
172,46.397
173,30.532
174,27.023
175,33.884
176,51.644
177,41.554
178,19.881
179,12.996
180,51.472
181,41.656
182,13.460
183,31.859
184,21.285
185,23.484
186,56.989
187,13.740
188,35.307
