# RTT Statistics — External P&O MPPT
# mean_ms,std_ms,max_ms,p99_ms,n_samples
# 24.504,10.251,65.619,51.983,517
sample_index,rtt_ms
0,28.845
1,12.990
2,18.306
3,14.974
4,15.358
5,30.584
6,18.629
7,17.009
8,36.734
9,27.485
10,19.489
11,37.757
12,34.609
13,23.299
14,22.321
15,42.455
16,30.438
17,36.716
18,42.673
19,25.777
20,31.259
21,24.451
22,18.162
23,13.831
24,49.847
25,34.555
26,20.652
27,13.619
28,23.947
29,18.822
30,18.128
31,16.198
32,15.330
33,29.907
34,14.980
35,18.825
36,15.481
37,47.743
38,19.145
39,16.431
40,20.311
41,44.698
42,20.704
43,15.755
44,13.918
45,14.857
46,25.427
47,41.304
48,19.413
49,31.029
50,15.627
51,15.558
52,18.768
53,14.650
54,27.727
55,16.519
56,20.633
57,15.433
58,18.047
59,26.959
60,43.752
61,17.476
62,28.606
63,18.533
64,16.192
65,16.788
66,16.582
67,43.161
68,17.921
69,37.828
70,25.464
71,35.642
72,17.301
73,14.827
74,46.887
75,16.649
76,15.373
77,14.302
78,51.756
79,38.675
80,25.474
81,19.039
82,16.758
83,33.963
84,24.937
85,29.932
86,17.338
87,14.973
88,24.397
89,17.889
90,37.431
91,17.240
92,20.595
93,19.922
94,17.428
95,14.910
96,14.094
97,41.521
98,45.373
99,47.943
100,36.219
101,26.942
102,43.466
103,14.975
104,12.352
105,28.123
106,21.419
107,35.845
108,27.085
109,17.003
110,17.246
111,23.400
112,36.621
113,19.863
114,15.341
115,20.994
116,38.022
117,18.700
118,18.907
119,13.446
120,13.230
121,26.947
122,23.439
123,37.731
124,38.940
125,42.972
126,41.390
127,17.955
128,17.596
129,13.721
130,15.407
131,26.701
132,38.614
133,15.982
134,35.044
135,15.720
136,20.527
137,41.127
138,25.260
139,39.124
140,16.439
141,36.960
142,18.708
143,14.934
144,31.367
145,47.269
146,17.752
147,15.076
148,37.720
149,19.583
150,16.723
151,16.686
152,15.119
153,44.401
154,17.005
155,17.411
156,15.916
157,25.163
158,20.922
159,33.329
160,14.044
161,50.505
162,18.917
163,18.121
164,34.393
165,15.376
166,20.603
167,16.548
168,14.121
169,27.507
170,30.734
171,16.461
172,47.502
173,38.550
174,54.890
175,14.908
176,17.942
177,20.677
178,47.785
179,16.592
180,32.603
181,16.187
182,24.785
183,17.607
184,20.968
185,16.582
186,15.863
187,32.744
188,17.186
189,43.256
190,30.896
191,16.725
192,20.926
193,18.429
194,21.071
195,28.098
196,17.264
197,17.740
198,31.777
199,24.801
200,17.942
201,29.686
202,21.959
203,26.248
204,17.016
205,16.692
206,15.831
207,46.671
208,31.689
209,16.603
210,17.796
211,22.748
212,33.922
213,16.654
214,14.674
215,14.776
216,29.167
217,39.638
218,50.189
219,38.571
220,16.709
221,18.649
222,26.828
223,17.656
224,18.894
225,15.831
226,41.687
227,21.487
228,19.761
229,16.593
230,26.932
231,16.708
232,18.039
233,21.823
234,45.364
235,33.832
236,18.531
237,18.502
238,25.947
239,22.506
240,13.911
241,15.460
242,36.244
243,29.444
244,13.121
245,15.480
246,39.985
247,29.251
248,21.914
249,16.325
250,29.531
251,20.360
252,22.865
253,43.983
254,34.317
255,28.194
256,29.753
257,16.690
258,36.444
259,14.326
260,28.498
261,16.037
262,18.488
263,36.152
264,30.495
265,31.910
266,18.879
267,15.661
268,50.746
269,21.098
270,15.343
271,47.321
272,16.941
273,15.757
274,19.062
275,50.530
276,15.530
277,14.933
278,24.161
279,16.118
280,18.777
281,36.581
282,27.569
283,19.539
284,37.456
285,38.910
286,17.423
287,17.287
288,35.283
289,24.055
290,20.254
291,18.052
292,28.382
293,27.762
294,19.252
295,18.280
296,41.403
297,22.448
298,16.881
299,28.278
300,19.403
301,14.872
302,16.090
303,15.227
304,24.177
305,37.958
306,24.099
307,26.252
308,19.125
309,17.658
310,41.131
311,18.123
312,21.030
313,12.295
314,18.038
315,29.308
316,23.488
317,15.524
318,13.482
319,25.176
320,16.153
321,17.041
322,29.058
323,28.119
324,28.236
325,13.011
326,17.053
327,52.279
328,15.029
329,14.117
330,24.608
331,36.877
332,28.148
333,24.565
334,15.265
335,17.065
336,14.323
337,13.951
338,26.591
339,24.212
340,16.716
341,17.581
342,20.824
343,32.847
344,32.935
345,26.794
346,18.592
347,15.829
348,38.646
349,43.618
350,50.568
351,14.788
352,19.858
353,19.412
354,15.443
355,26.339
356,19.484
357,17.157
358,14.205
359,25.990
360,49.483
361,14.237
362,29.713
363,15.879
364,18.387
365,31.225
366,26.676
367,17.192
368,38.450
369,17.044
370,26.501
371,20.815
372,20.586
373,15.207
374,14.128
375,47.979
376,19.749
377,42.326
378,37.683
379,39.847
380,29.756
381,19.460
382,20.056
383,15.064
384,23.921
385,15.176
386,30.774
387,38.915
388,58.614
389,16.191
390,35.202
391,16.430
392,44.694
393,14.801
394,25.399
395,20.846
396,15.912
397,17.734
398,26.318
399,34.965
400,19.585
401,47.261
402,15.443
403,35.280
404,15.821
405,23.991
406,16.432
407,28.474
408,15.712
409,14.966
410,28.254
411,21.590
412,19.271
413,15.999
414,23.446
415,15.330
416,20.730
417,36.602
418,29.537
419,17.625
420,18.048
421,14.633
422,17.327
423,25.424
424,18.791
425,30.707
426,14.287
427,24.319
428,15.792
429,28.952
430,14.167
431,16.375
432,25.734
433,15.499
434,15.344
435,20.373
436,15.658
437,25.930
438,15.388
439,20.213
440,32.992
441,24.482
442,15.659
443,17.647
444,17.705
445,17.349
446,27.340
447,19.209
448,21.803
449,16.178
450,34.490
451,17.492
452,22.785
453,34.719
454,26.673
455,22.458
456,22.666
457,17.647
458,51.907
459,15.816
460,15.056
461,16.853
462,23.895
463,25.730
464,17.797
465,17.682
466,25.275
467,14.601
468,21.820
469,17.602
470,15.784
471,31.188
472,16.002
473,20.851
474,65.619
475,21.516
476,26.404
477,13.450
478,25.390
479,18.533
480,15.937
481,19.958
482,15.534
483,23.579
484,18.007
485,16.790
486,52.735
487,15.341
488,16.880
489,16.310
490,15.298
491,28.303
492,37.150
493,51.000
494,15.336
495,19.745
496,44.414
497,51.997
498,18.515
499,18.446
500,23.479
501,32.481
502,17.397
503,15.369
504,25.904
505,30.815
506,18.613
507,15.292
508,29.486
509,35.583
510,15.394
511,15.625
512,44.499
513,37.936
514,16.434
515,50.649
516,21.421
