# RTT Statistics — External P&O MPPT
# mean_ms,std_ms,max_ms,p99_ms,n_samples
# 24.663,10.591,68.536,58.597,517
sample_index,rtt_ms
0,47.374
1,40.071
2,51.076
3,16.461
4,15.929
5,17.617
6,37.608
7,14.951
8,22.476
9,17.281
10,14.850
11,45.816
12,14.752
13,15.875
14,30.482
15,27.240
16,17.422
17,17.790
18,33.254
19,22.560
20,17.400
21,15.627
22,30.556
23,12.549
24,19.506
25,29.619
26,16.673
27,25.661
28,43.137
29,18.748
30,31.522
31,18.536
32,34.234
33,15.801
34,45.554
35,28.554
36,16.138
37,26.676
38,24.312
39,15.474
40,14.240
41,16.621
42,60.783
43,19.304
44,15.263
45,25.475
46,35.627
47,16.474
48,16.829
49,61.640
50,20.925
51,28.879
52,16.781
53,20.655
54,18.897
55,17.082
56,30.713
57,17.431
58,14.981
59,15.383
60,14.616
61,28.339
62,24.699
63,19.345
64,15.768
65,14.757
66,25.509
67,17.401
68,17.583
69,17.172
70,34.220
71,20.600
72,21.630
73,17.036
74,33.546
75,59.291
76,15.925
77,25.658
78,17.517
79,15.026
80,45.938
81,16.836
82,18.656
83,33.478
84,26.546
85,16.110
86,21.703
87,14.956
88,39.353
89,21.906
90,18.260
91,16.007
92,25.884
93,15.862
94,20.658
95,14.856
96,13.730
97,27.916
98,18.508
99,38.771
100,28.025
101,14.079
102,42.415
103,14.799
104,30.978
105,39.605
106,19.343
107,55.887
108,34.477
109,27.215
110,14.886
111,17.863
112,15.480
113,15.746
114,27.399
115,16.444
116,14.218
117,18.965
118,28.351
119,36.302
120,34.108
121,46.830
122,15.521
123,18.687
124,12.626
125,51.297
126,41.879
127,27.068
128,16.283
129,37.548
130,28.266
131,14.737
132,36.782
133,14.901
134,26.001
135,33.921
136,16.326
137,17.813
138,25.574
139,27.605
140,27.891
141,15.186
142,30.517
143,18.148
144,13.036
145,19.279
146,16.775
147,28.247
148,41.341
149,15.056
150,30.901
151,18.884
152,34.754
153,16.217
154,45.711
155,44.491
156,24.964
157,15.123
158,20.795
159,16.261
160,48.657
161,14.573
162,18.736
163,17.232
164,15.344
165,28.154
166,16.653
167,34.571
168,15.021
169,25.555
170,20.709
171,19.495
172,33.937
173,27.816
174,15.197
175,18.808
176,15.267
177,15.616
178,38.753
179,18.585
180,13.340
181,15.741
182,24.913
183,16.639
184,41.861
185,41.544
186,15.810
187,18.866
188,16.527
189,15.629
190,24.795
191,14.686
192,18.357
193,36.690
194,25.939
195,38.627
196,16.928
197,46.856
198,14.726
199,19.740
200,28.965
201,26.716
202,17.890
203,18.573
204,15.073
205,15.642
206,27.979
207,15.490
208,37.068
209,20.611
210,28.779
211,16.669
212,19.400
213,19.868
214,40.721
215,20.733
216,16.631
217,18.794
218,39.651
219,36.866
220,15.512
221,36.112
222,17.687
223,23.850
224,14.882
225,17.774
226,30.865
227,32.639
228,16.889
229,16.559
230,40.889
231,28.416
232,29.924
233,26.601
234,19.927
235,17.728
236,33.306
237,29.455
238,16.706
239,18.449
240,42.507
241,15.293
242,22.251
243,18.447
244,44.208
245,34.490
246,15.936
247,17.447
248,27.735
249,28.228
250,17.593
251,50.550
252,33.597
253,16.091
254,16.599
255,29.749
256,32.577
257,14.523
258,17.515
259,28.706
260,26.350
261,18.579
262,15.537
263,24.931
264,40.610
265,17.105
266,17.069
267,24.877
268,17.819
269,33.008
270,14.228
271,25.428
272,23.410
273,13.089
274,35.187
275,48.389
276,15.422
277,46.162
278,15.023
279,16.241
280,14.854
281,14.769
282,23.401
283,14.330
284,19.905
285,18.890
286,15.070
287,29.260
288,19.830
289,36.329
290,25.034
291,19.194
292,16.300
293,19.017
294,30.121
295,19.195
296,15.284
297,24.781
298,29.951
299,17.649
300,37.563
301,22.698
302,18.061
303,19.114
304,15.374
305,15.523
306,57.437
307,29.535
308,30.008
309,14.191
310,41.483
311,25.270
312,15.163
313,25.656
314,15.129
315,37.247
316,20.244
317,17.089
318,44.129
319,36.277
320,29.730
321,49.047
322,27.875
323,16.290
324,26.945
325,37.824
326,13.956
327,15.367
328,35.191
329,13.637
330,13.516
331,15.167
332,51.096
333,19.603
334,20.179
335,68.536
336,16.167
337,34.883
338,20.334
339,15.268
340,16.261
341,50.439
342,15.001
343,14.909
344,25.066
345,32.674
346,28.048
347,30.636
348,14.238
349,19.895
350,31.549
351,29.314
352,16.836
353,15.816
354,17.291
355,15.317
356,37.811
357,25.436
358,17.394
359,25.387
360,17.591
361,20.164
362,13.219
363,15.895
364,44.158
365,20.641
366,18.574
367,16.290
368,47.702
369,15.183
370,17.472
371,39.834
372,16.481
373,38.116
374,27.187
375,28.020
376,15.250
377,17.208
378,35.329
379,22.900
380,15.722
381,17.080
382,15.708
383,40.097
384,28.579
385,16.359
386,23.256
387,18.040
388,20.667
389,16.866
390,15.362
391,26.088
392,15.858
393,16.854
394,13.435
395,17.396
396,28.195
397,22.824
398,16.436
399,26.733
400,31.695
401,15.847
402,18.352
403,16.368
404,37.496
405,16.316
406,19.300
407,17.231
408,18.795
409,35.545
410,19.570
411,16.596
412,17.859
413,28.846
414,20.409
415,15.447
416,17.878
417,13.224
418,27.536
419,17.661
420,18.559
421,26.802
422,30.383
423,21.357
424,19.883
425,29.745
426,58.935
427,25.326
428,25.861
429,17.839
430,23.236
431,36.215
432,45.680
433,15.761
434,16.493
435,14.829
436,30.900
437,38.627
438,29.122
439,43.278
440,22.944
441,46.795
442,58.818
443,48.418
444,19.751
445,32.370
446,17.584
447,55.298
448,18.736
449,47.477
450,15.440
451,31.176
452,18.639
453,25.529
454,17.219
455,20.739
456,19.844
457,16.751
458,37.732
459,32.650
460,17.826
461,27.708
462,15.337
463,20.144
464,17.708
465,14.873
466,32.114
467,29.688
468,27.887
469,41.077
470,18.216
471,15.477
472,52.339
473,17.717
474,18.179
475,19.592
476,17.097
477,24.894
478,16.255
479,19.615
480,16.166
481,15.887
482,56.492
483,34.255
484,24.304
485,36.654
486,28.593
487,39.925
488,16.488
489,17.774
490,26.266
491,33.941
492,42.461
493,25.368
494,26.860
495,17.760
496,29.563
497,12.753
498,30.501
499,28.595
500,17.407
501,45.824
502,18.450
503,17.902
504,15.569
505,16.882
506,27.574
507,16.969
508,18.702
509,12.880
510,15.429
511,26.642
512,26.770
513,32.877
514,30.684
515,18.493
516,15.460
