# RTT Statistics — External P&O MPPT
# mean_ms,std_ms,max_ms,p99_ms,n_samples
# 29.761,11.019,213.586,53.811,75000
sample_index,rtt_ms
0,35.034
1,39.035
2,36.516
3,42.683
4,26.359
5,23.725
6,49.832
7,14.142
8,38.959
9,41.032
10,32.862
11,26.222
12,34.567
13,50.391
14,13.293
15,40.010
16,21.631
17,13.741
18,32.372
19,14.151
20,21.130
21,33.510
22,19.595
23,46.978
24,19.316
25,38.148
26,25.380
27,18.332
28,14.421
29,20.172
30,13.973
31,32.055
32,27.021
33,28.375
34,25.595
35,41.944
36,22.630
37,23.278
38,12.420
39,34.952
40,29.141
41,31.132
42,47.064
43,28.731
44,29.558
45,49.932
46,14.562
47,19.182
48,24.005
49,40.190
50,17.720
51,23.317
52,31.989
53,16.698
54,30.296
55,23.553
56,47.333
57,13.825
58,30.600
59,14.031
60,43.729
61,37.349
62,22.128
63,25.254
64,15.862
65,33.730
66,35.494
67,28.259
68,44.896
69,30.919
70,39.706
71,15.201
72,31.962
73,36.022
74,16.234
75,18.861
76,37.782
77,41.683
78,15.943
79,27.762
80,20.472
81,52.667
82,40.811
83,46.552
84,21.904
85,39.747
86,26.885
87,17.588
88,37.264
89,23.522
90,44.904
91,26.763
92,29.557
93,20.917
94,36.864
95,26.654
96,13.163
97,38.534
98,37.483
99,45.438
100,47.900
101,46.178
102,30.880
103,50.966
104,14.795
105,24.106
106,16.946
107,26.838
108,19.377
109,21.108
110,29.991
111,27.180
112,29.901
113,17.968
114,35.219
115,17.350
116,24.297
117,15.758
118,14.163
119,43.236
120,14.607
121,13.454
122,43.520
123,12.302
124,31.406
125,35.856
126,24.277
127,13.404
128,18.809
129,37.500
130,14.044
131,44.388
132,14.229
133,41.389
134,35.265
135,37.480
136,45.440
137,35.593
138,53.959
139,24.101
140,18.570
141,47.570
142,38.912
143,25.056
144,36.370
145,52.085
146,16.045
147,33.106
148,35.282
149,27.728
150,53.075
151,48.596
152,45.500
153,13.433
154,40.426
155,43.618
156,42.946
157,12.323
158,32.087
159,39.519
160,15.048
161,27.049
162,39.636
163,29.259
164,36.375
165,19.642
166,12.232
167,27.573
168,14.541
169,32.238
170,25.012
171,19.385
172,45.473
173,13.964
174,34.012
175,32.249
176,22.797
177,47.188
178,24.066
179,40.961
180,31.730
181,47.550
182,31.951
183,25.958
184,50.890
185,58.913
186,34.151
187,15.449
188,36.858
189,66.872
190,43.520
191,34.359
192,29.693
193,57.863
194,40.554
195,13.079
196,34.015
197,21.859
198,45.271
199,16.993
200,22.636
201,13.845
202,37.684
203,39.171
204,25.091
205,41.644
206,59.749
207,30.317
208,22.388
209,27.135
210,24.491
211,14.698
212,30.340
213,40.351
214,16.225
215,65.388
216,31.315
217,53.300
218,14.020
219,13.314
220,19.914
221,24.275
222,24.001
223,26.825
224,20.619
225,26.964
226,28.511
227,34.231
228,14.042
229,13.215
230,67.031
231,35.138
232,37.698
233,22.548
234,40.255
235,37.812
