# RTT Statistics — External P&O MPPT
# mean_ms,std_ms,max_ms,p99_ms,n_samples
# 30.286,10.914,98.308,53.516,24998
sample_index,rtt_ms
0,37.800
1,27.716
2,34.661
3,30.485
4,30.893
5,35.770
6,15.160
7,44.577
8,26.218
9,38.688
10,36.969
11,39.508
12,48.240
13,40.134
14,17.703
15,15.508
16,19.831
17,30.131
18,33.206
19,16.350
20,14.169
21,27.116
22,37.042
23,13.430
24,21.413
25,12.224
26,25.889
27,14.481
28,37.388
29,22.481
30,43.126
31,14.103
32,35.743
33,19.607
34,40.249
35,15.405
36,43.750
37,39.665
38,29.087
39,23.598
40,14.617
41,34.153
42,38.859
43,18.559
44,34.804
45,13.391
46,34.281
47,25.218
48,13.639
49,17.870
50,35.343
51,13.807
52,18.680
53,28.407
54,29.567
55,14.754
56,35.576
57,29.705
58,37.068
59,29.953
60,18.137
61,15.649
62,44.912
63,47.272
64,26.883
65,34.417
66,22.086
67,36.348
68,12.362
69,45.524
70,31.523
71,22.066
72,43.815
73,29.749
74,32.792
75,42.726
76,28.763
77,39.467
78,28.259
79,37.286
80,26.356
81,32.076
82,13.543
83,52.185
84,19.776
85,28.234
86,24.946
87,18.013
88,12.432
89,19.135
90,27.176
91,15.857
92,37.899
93,38.418
94,23.982
95,29.989
96,47.222
97,26.285
98,44.568
99,14.435
100,16.567
101,51.706
102,40.220
103,36.129
104,35.189
105,12.267
106,26.195
107,24.142
108,23.944
109,45.714
110,40.035
111,27.271
112,30.689
113,40.004
114,33.655
115,37.987
116,14.947
117,31.883
118,37.170
119,42.016
120,21.330
121,33.701
122,16.077
123,39.116
124,30.417
125,22.565
126,37.896
127,12.503
128,22.624
129,27.528
130,20.641
131,35.641
132,32.249
133,45.921
134,14.751
135,13.494
136,26.062
137,24.219
138,25.675
139,31.162
140,41.008
141,42.633
142,29.737
143,12.538
144,38.909
145,23.402
146,44.333
147,30.717
148,15.468
149,22.251
150,40.339
151,49.029
152,22.881
153,21.385
154,33.480
155,14.718
156,29.010
157,34.701
158,13.335
159,16.237
160,26.244
161,27.182
162,37.070
163,22.059
164,36.995
165,31.120
166,40.203
167,42.166
168,34.176
169,43.403
170,38.653
171,37.004
172,15.892
173,27.121
174,25.306
175,13.694
176,27.918
177,37.089
178,24.353
179,34.366
180,18.920
181,37.530
182,27.073
183,29.325
184,32.526
185,38.113
186,17.013
187,44.354
188,38.659
189,44.840
190,33.413
191,57.172
192,34.482
193,40.794
194,39.426
195,24.294
196,24.499
197,13.365
198,18.329
199,12.006
200,28.478
201,29.839
202,37.651
203,39.174
204,41.573
205,14.100
206,20.036
207,33.500
208,38.027
209,13.255
210,18.971
211,38.130
212,28.107
213,37.758
214,20.519
215,12.596
216,35.886
217,37.901
218,13.757
219,13.874
220,33.271
221,13.245
222,26.060
223,12.946
224,23.613
225,35.813
226,45.759
227,26.327
228,16.446
229,26.201
230,41.129
231,43.599
232,30.966
233,37.907
234,23.081
235,26.056
236,48.642
237,23.648
238,21.394
239,33.843
240,29.834
241,53.852
242,46.102
243,27.262
244,24.530
245,27.546
246,40.846
247,16.946
248,25.394
249,13.433
250,12.666
251,15.854
252,39.316
253,21.575
254,39.670
255,13.673
256,29.468
257,37.560
258,39.890
259,34.581
260,34.819
261,37.826
262,37.878
263,42.509
264,30.727
265,45.750
266,27.896
267,39.424
268,39.140
269,35.193
270,26.005
271,40.624
272,14.831
273,40.211
274,15.460
275,31.216
276,38.016
277,34.678
278,39.655
279,37.574
280,28.855
281,33.802
282,47.045
283,45.393
284,41.603
285,27.182
286,35.838
287,22.254
288,25.042
289,43.593
290,31.331
291,54.244
292,37.641
293,20.898
294,15.948
295,36.348
296,45.439
297,33.702
298,15.807
299,21.495
300,14.869
301,16.234
302,29.857
303,37.735
304,34.681
305,39.868
306,38.504
307,37.172
308,42.735
309,37.127
310,33.286
311,51.716
312,14.873
313,31.578
314,29.508
315,16.483
316,35.337
317,32.656
318,44.320
319,20.475
320,13.619
321,18.243
322,36.189
323,15.976
324,19.712
325,15.912
326,15.730
327,23.726
328,50.044
329,15.421
330,45.433
331,22.337
332,40.010
333,12.818
334,42.522
335,20.618
336,14.681
337,42.525
338,36.535
339,37.439
340,37.987
341,37.383
342,28.218
343,43.974
344,28.962
345,51.306
346,12.777
347,37.022
348,34.723
349,24.441
350,39.408
351,23.367
352,14.404
353,20.449
354,13.365
355,43.917
356,41.624
357,20.110
358,27.982
359,45.209
360,39.791
361,40.310
362,33.512
363,47.055
364,30.344
365,13.946
366,36.682
367,38.372
368,38.790
369,42.559
370,12.842
371,25.537
372,15.735
373,20.479
374,15.243
375,15.992
376,34.581
377,37.973
378,26.649
379,18.994
380,35.033
381,40.703
382,40.137
383,42.379
384,45.249
385,14.630
386,29.522
387,27.181
388,13.440
389,27.879
390,36.985
391,33.335
392,41.934
393,42.733
394,48.312
395,13.200
396,35.173
397,22.776
398,12.417
399,37.081
400,23.704
401,37.960
402,13.363
403,45.061
404,26.342
405,16.261
406,27.191
407,27.641
408,43.987
409,29.796
410,49.344
411,25.969
412,33.806
413,39.278
414,19.037
415,34.078
416,32.630
417,45.200
418,30.289
419,39.154
420,34.307
421,23.136
422,38.549
423,40.491
424,44.722
425,27.408
426,19.237
427,13.848
428,28.551
429,15.093
430,28.996
431,29.096
432,43.034
433,41.230
434,35.621
435,28.016
436,38.229
437,37.881
438,23.397
439,33.157
440,16.125
441,39.964
442,31.912
443,24.276
444,15.503
445,30.882
446,34.489
447,45.029
448,31.124
449,36.818
450,20.260
451,30.338
452,41.742
453,28.152
454,23.678
455,40.646
456,31.288
457,37.509
458,13.582
459,31.719
460,34.848
461,23.707
462,33.609
463,17.953
464,14.121
465,31.742
466,33.574
467,27.258
468,15.756
469,42.626
470,17.265
471,38.853
472,42.042
473,46.093
474,19.045
475,22.300
476,29.892
477,40.606
478,44.789
479,26.563
480,16.207
481,34.670
482,32.858
483,46.548
484,25.391
485,41.517
486,35.493
487,19.653
488,38.746
489,27.066
490,39.813
491,23.791
492,39.287
493,43.428
494,22.417
495,29.545
496,36.957
497,37.373
498,31.978
499,14.940
500,39.659
501,43.560
502,18.732
503,15.952
504,45.056
505,18.020
506,31.835
507,33.272
508,52.485
509,27.916
510,37.546
511,20.740
512,24.960
513,42.319
514,28.151
515,37.262
516,56.302
517,22.795
518,21.132
519,13.527
520,19.779
521,36.365
522,43.743
523,37.865
524,14.768
525,32.449
526,23.553
527,37.766
528,44.242
529,31.566
530,46.512
531,29.200
532,43.071
533,16.496
534,34.558
535,39.397
536,19.507
537,25.412
538,26.493
539,36.152
540,38.968
541,36.009
542,15.337
543,25.178
544,22.865
545,18.910
546,35.009
