# RTT Statistics — External P&O MPPT
# mean_ms,std_ms,max_ms,p99_ms,n_samples
# 27.177,11.125,116.130,52.917,10000
sample_index,rtt_ms
0,26.245
1,30.277
2,19.351
3,12.720
4,19.808
5,42.155
6,13.150
7,20.647
8,30.807
9,26.469
10,15.328
11,37.439
12,17.491
13,33.630
14,42.457
15,13.397
16,26.628
17,30.711
18,46.702
19,30.764
20,39.080
21,45.417
22,14.702
23,16.139
24,45.575
25,24.521
26,35.022
27,32.240
28,14.878
29,26.056
30,33.108
31,36.756
32,33.712
33,34.897
34,28.563
35,14.017
36,19.132
37,37.240
38,13.953
39,20.332
40,32.405
41,53.901
42,36.391
43,43.986
44,35.767
45,45.971
46,19.720
47,13.892
48,15.727
49,20.286
50,16.538
51,13.871
52,39.141
53,18.873
54,39.793
55,37.580
56,25.796
57,34.591
58,34.334
59,24.617
60,16.264
61,39.854
62,77.594
63,19.117
64,31.878
65,26.596
66,24.756
67,34.446
68,14.625
69,47.634
70,40.387
71,25.553
72,16.578
73,41.384
74,14.130
75,15.884
76,16.505
77,22.231
78,40.097
79,39.776
80,38.053
81,75.965
82,40.914
83,14.329
84,36.693
85,32.695
86,13.785
87,21.635
88,56.710
89,15.873
90,17.397
91,18.855
92,47.868
93,15.085
94,24.771
95,42.275
96,24.748
97,13.480
98,35.341
99,34.275
100,17.665
101,30.300
102,32.010
103,39.868
104,47.405
105,19.687
106,15.054
107,56.062
108,20.689
109,20.785
110,37.948
111,22.459
112,28.394
113,34.255
114,41.555
115,24.574
116,16.216
117,39.110
118,26.275
119,26.763
120,19.606
121,18.107
122,14.725
123,14.218
124,40.521
125,16.148
126,18.766
127,43.272
128,15.932
129,40.622
130,32.544
131,28.431
132,28.350
133,35.073
134,29.089
135,31.907
136,20.263
137,13.732
138,33.516
139,38.607
140,18.682
141,19.250
142,33.923
143,23.221
144,42.367
145,32.674
146,23.584
147,35.291
148,35.665
149,20.403
150,28.389
151,42.398
152,12.204
153,23.922
154,18.649
155,42.098
156,30.395
157,35.847
158,23.366
159,25.878
160,15.456
161,38.337
162,27.013
163,15.070
164,38.814
165,13.929
166,33.123
167,29.227
168,36.821
169,13.848
170,26.640
171,23.240
172,31.724
173,49.746
174,41.637
175,15.976
176,18.512
177,18.122
178,26.884
179,19.574
180,18.367
181,25.246
182,14.114
183,16.060
184,12.485
185,35.638
186,21.152
187,50.986
188,34.628
189,38.295
190,16.417
191,31.005
192,35.715
193,49.910
194,16.557
195,39.082
196,27.957
197,39.801
198,34.330
199,34.932
200,41.911
201,36.044
202,17.496
203,27.389
204,36.369
205,19.396
206,39.449
207,34.373
208,22.516
209,35.379
210,37.899
211,29.261
212,42.815
213,36.305
214,30.895
215,20.336
216,39.750
217,14.034
218,25.831
219,41.479
220,25.332
221,29.600
222,35.116
223,20.152
224,15.491
225,35.974
226,28.247
227,29.914
228,39.077
229,27.803
230,41.393
231,31.702
232,20.294
233,20.014
234,18.179
235,29.424
236,42.909
237,26.570
238,17.241
239,38.826
240,20.838
241,44.854
242,31.930
243,17.588
244,42.179
245,52.597
246,19.598
247,44.212
248,24.455
249,34.066
250,47.554
251,29.729
252,13.823
253,37.811
254,29.681
255,22.135
256,27.947
257,33.573
258,16.345
259,30.852
260,15.191
261,30.971
262,42.028
263,31.949
264,37.292
265,22.180
266,47.214
267,36.231
268,51.868
269,30.779
270,24.567
271,22.816
272,16.271
273,12.933
274,42.625
275,14.838
276,20.144
277,44.264
278,36.038
279,48.988
280,38.852
281,39.738
282,14.972
283,22.943
284,17.423
285,23.681
286,31.678
287,43.850
288,13.812
289,39.824
290,30.087
291,40.139
292,25.035
293,40.637
294,41.687
295,17.997
296,13.564
297,15.544
298,53.611
299,48.787
300,46.290
301,27.401
302,34.112
303,13.500
304,30.051
305,14.591
306,14.899
307,17.743
308,47.083
309,37.797
310,37.431
311,51.369
312,19.393
313,33.059
314,16.640
315,30.191
316,22.404
317,39.637
318,42.369
319,15.659
320,17.499
321,15.103
322,28.913
323,29.726
324,46.153
325,34.894
326,15.220
327,37.873
328,44.673
329,29.100
330,37.445
331,35.876
332,41.318
333,28.384
334,44.434
335,26.342
336,16.289
337,16.349
338,16.532
339,24.357
340,22.050
341,47.564
342,22.507
343,47.095
344,26.603
345,31.224
346,21.107
347,14.817
348,28.089
349,41.960
350,20.228
351,50.852
352,26.849
353,39.047
354,24.150
355,15.145
356,41.796
357,31.485
358,31.039
359,19.962
360,43.802
361,31.481
362,46.265
363,21.133
364,17.948
365,15.843
366,15.382
367,17.858
368,21.693
369,13.771
370,17.223
371,27.410
372,24.907
373,21.757
374,30.941
375,26.140
376,16.125
377,26.497
378,26.328
379,17.098
380,26.614
381,40.100
382,17.468
383,24.884
384,23.187
385,14.346
386,25.334
387,13.998
388,18.890
389,18.936
390,36.440
391,46.132
392,17.188
393,31.915
394,51.857
395,25.012
396,13.850
397,27.102
398,31.278
399,48.621
400,26.458
401,46.815
402,37.466
403,14.168
404,30.126
405,24.728
406,47.231
407,14.468
408,19.888
409,34.163
410,25.920
411,29.513
412,37.085
413,40.230
414,29.188
415,15.729
416,22.067
417,21.200
418,15.708
419,24.688
420,35.978
421,39.286
422,17.333
423,45.708
424,16.434
425,22.425
426,20.861
427,26.128
428,29.173
429,29.047
430,16.009
431,23.213
432,33.330
433,23.413
434,39.956
435,34.122
436,40.750
437,17.400
438,16.757
439,32.003
440,19.748
441,26.967
442,37.317
443,13.765
444,13.429
445,35.802
446,17.582
447,14.762
448,37.310
449,13.034
450,21.721
451,45.456
452,16.221
453,16.897
454,24.555
455,25.290
456,31.390
457,16.185
458,36.792
459,38.357
460,19.595
461,14.862
462,26.594
463,27.918
464,41.065
465,40.336
466,34.072
467,42.800
468,18.302
469,46.745
470,14.825
471,19.766
472,44.930
473,33.717
474,12.481
475,27.381
476,42.346
477,44.170
478,15.261
479,18.031
480,36.927
481,33.206
482,34.302
483,21.922
484,28.493
485,44.975
486,27.692
487,39.441
488,31.841
489,41.592
490,45.096
491,50.902
492,15.248
493,36.543
494,49.942
495,19.515
496,37.782
497,25.296
498,35.269
499,27.575
500,16.102
501,56.118
502,17.567
