Time(s),V_pv_instant(V),V_mppt(V),I_pv(A),P_pv(W),P_ref(W),V_out(V),I_L(A),Duty
0.029,17.0552,17.0552,1.94536,33.1785,34.9614,24.0972,1.94536,0.3
0.058,10.6174,10.6174,1.97115,20.9285,34.9614,24.0651,1.97115,0.566667
0.087,14.2388,14.2388,1.96196,27.9359,34.9614,24.0835,1.96196,0.416667
0.116,17.8558,17.8558,1.92079,34.2974,34.9614,24.1,1.92079,0.266667
0.145,21.3289,21.3289,0.862928,18.4053,34.9614,24.0532,0.862928,0.116667
0.174,10.6103,10.6103,1.9721,20.9245,34.9614,24.0651,1.9721,0.566667
0.203,13.989,13.989,1.96428,27.4782,34.9614,24.0823,1.96428,0.427145
0.232,17.005,17.005,1.94749,33.1172,34.9614,24.097,1.94749,0.30215
0.261,17.8558,17.8558,1.92079,34.2974,34.9614,24.1,1.92079,0.266667
0.29,19.9809,19.9809,1.64151,32.799,35.0839,24.0948,1.64151,0.17721
0.319,14.234,14.234,1.99059,28.3341,35.4068,24.0847,1.99059,0.416667
0.348,17.6095,17.6095,1.97431,34.7665,35.7297,24.1015,1.97431,0.277145
0.377,19.1947,19.1947,1.86914,35.8776,36.0526,24.1039,1.86914,0.211037
0.406,17.8667,17.8667,2.00268,35.7813,36.3756,24.1043,2.00268,0.266667
0.435,18.8508,18.8508,1.95024,36.7636,36.6985,24.1066,1.95024,0.225711
0.464,17.8717,17.8717,2.04003,36.4587,37.0214,24.1062,2.04003,0.266667
0.493,20.6784,20.6784,1.41625,29.2859,37.3443,24.0845,1.41625,0.147007
0.522,20.2567,20.2567,1.65018,33.4272,37.6672,24.0965,1.65018,0.165855
0.551,18.6296,18.6296,2.04517,38.1008,37.9902,24.1106,2.04517,0.235383
0.58,18.283,18.283,2.09186,38.2454,38.3131,24.1111,2.09186,0.249962
0.609,19.7617,19.7617,1.87497,37.0525,38.636,24.107,1.87497,0.187641
0.638,17.1597,17.1597,2.17935,37.397,38.9589,24.1093,2.17935,0.297007
0.667,17.8948,17.8948,2.17019,38.8353,39.2818,24.113,2.17019,0.266427
0.696,18.835,18.835,2.11175,39.7748,39.6048,24.1152,2.11175,0.227279
0.725,18.0042,18.0042,2.20186,39.6427,39.9277,24.1153,2.20186,0.262087
0.754,20.4489,20.4489,1.65469,33.8366,40.2506,24.0976,1.65469,0.157938
0.783,17.1022,17.1022,2.27308,38.8748,40.5735,24.1136,2.27308,0.299719
0.812,17.7867,17.7867,2.26905,40.3589,40.8964,24.1175,2.26905,0.271435
0.841,18.9431,18.9431,2.18456,41.3824,41.2194,24.1198,2.18456,0.223227
0.87,18.8797,18.8797,2.21135,41.7497,41.5423,24.1209,2.21135,0.225996
0.899,18.5973,18.5973,2.26462,42.1159,41.8652,24.1221,2.26462,0.237952
0.928,20.5379,20.5379,1.67053,34.3092,42.1881,24.0989,1.67053,0.154352
0.957,19.0156,19.0156,2.24222,42.6371,42.511,24.1233,2.24222,0.220565
0.986,18.943,18.943,2.27149,43.0288,42.8339,24.1245,2.27149,0.223725
1.015,19.3176,19.3176,2.21545,42.7971,43.1569,24.1236,2.21545,0.20795
1.044,17.9459,17.9459,2.41009,43.2511,43.4798,24.1257,2.41009,0.26564
1.073,19.1509,19.1509,2.28508,43.7615,43.8027,24.1265,2.28508,0.215225
1.102,19.4913,19.4913,2.2191,43.2532,44.1256,24.1248,2.2191,0.200803
1.131,18.9487,18.9487,2.35703,44.6627,44.4485,24.1291,2.35703,0.223974
