# RTT Statistics — External P&O MPPT
# mean_ms,std_ms,max_ms,p99_ms,n_samples
# 23.238,8.279,53.655,50.778,172
sample_index,rtt_ms
0,34.128
1,38.720
2,35.074
3,13.154
4,18.717
5,18.293
6,18.538
7,15.287
8,14.224
9,28.044
10,31.429
11,17.789
12,14.977
13,25.106
14,40.449
15,15.999
16,37.642
17,22.891
18,33.373
19,28.137
20,32.575
21,14.828
22,14.057
23,24.652
24,14.570
25,24.715
26,15.518
27,36.905
28,15.301
29,40.649
30,45.779
31,31.056
32,20.380
33,16.132
34,25.138
35,17.581
36,16.019
37,19.530
38,32.856
39,15.051
40,16.161
41,15.733
42,15.880
43,26.720
44,18.514
45,16.824
46,17.904
47,25.037
48,28.304
49,20.496
50,17.702
51,17.832
52,29.465
53,15.239
54,19.037
55,15.739
56,16.889
57,23.620
58,16.263
59,19.947
60,17.130
61,15.432
62,26.897
63,15.834
64,21.068
65,16.890
66,16.917
67,31.691
68,28.308
69,19.034
70,17.532
71,35.097
72,18.987
73,38.052
74,17.220
75,25.032
76,33.041
77,20.079
78,19.093
79,53.638
80,44.174
81,26.363
82,15.831
83,19.919
84,14.976
85,15.858
86,39.582
87,29.515
88,15.751
89,17.853
90,38.899
91,33.043
92,30.346
93,29.882
94,18.200
95,35.936
96,26.896
97,16.922
98,18.541
99,17.196
100,20.375
101,32.868
102,21.767
103,19.786
104,15.944
105,27.690
106,17.756
107,19.721
108,17.772
109,16.839
110,25.956
111,16.635
112,18.346
113,17.779
114,21.444
115,32.822
116,19.937
117,25.655
118,14.636
119,24.492
120,21.307
121,23.744
122,21.981
123,29.879
124,31.704
125,21.363
126,23.996
127,32.705
128,23.050
129,15.658
130,53.655
131,19.900
132,17.389
133,17.651
134,14.099
135,23.874
136,20.084
137,24.793
138,16.552
139,26.526
140,15.428
141,21.788
142,16.549
143,19.690
144,32.435
145,35.755
146,17.608
147,13.058
148,23.627
149,26.020
150,24.371
151,16.606
152,27.544
153,23.081
154,40.020
155,26.553
156,18.396
157,21.476
158,17.936
159,14.679
160,26.273
161,20.842
162,18.136
163,49.609
164,20.125
165,18.531
166,19.650
167,32.520
168,17.510
169,17.600
170,16.934
171,17.150
