# RTT Statistics — External P&O MPPT
# mean_ms,std_ms,max_ms,p99_ms,n_samples
# 25.602,10.586,57.332,54.817,172
sample_index,rtt_ms
0,15.224
1,13.928
2,30.190
3,17.209
4,16.562
5,25.128
6,44.471
7,16.390
8,37.957
9,41.182
10,13.281
11,34.685
12,16.159
13,29.770
14,38.105
15,28.519
16,18.791
17,18.534
18,27.051
19,15.052
20,15.910
21,16.481
22,26.242
23,52.530
24,27.954
25,34.861
26,30.244
27,17.805
28,18.322
29,30.563
30,33.479
31,17.059
32,15.563
33,57.332
34,38.898
35,44.430
36,23.552
37,20.073
38,48.359
39,18.552
40,18.472
41,14.625
42,47.675
43,15.255
44,15.628
45,18.752
46,54.003
47,14.622
48,17.581
49,15.634
50,27.941
51,20.850
52,19.461
53,17.986
54,31.922
55,41.772
56,49.807
57,15.673
58,18.775
59,22.736
60,18.860
61,30.819
62,30.954
63,28.791
64,34.106
65,27.618
66,36.019
67,29.101
68,49.236
69,33.056
70,31.384
71,21.194
72,19.303
73,18.169
74,32.124
75,25.989
76,19.089
77,15.902
78,28.159
79,17.105
80,19.710
81,20.050
82,16.831
83,24.646
84,17.254
85,30.014
86,51.978
87,26.918
88,26.980
89,19.801
90,39.888
91,18.668
92,27.006
93,17.836
94,44.467
95,16.717
96,24.844
97,14.956
98,49.993
99,19.874
100,56.810
101,43.971
102,51.706
103,17.612
104,32.866
105,16.708
106,22.828
107,18.693
108,29.613
109,15.620
110,39.930
111,39.876
112,17.677
113,38.736
114,19.153
115,38.835
116,16.674
117,28.098
118,18.655
119,19.937
120,16.056
121,31.583
122,16.676
123,16.913
124,38.210
125,28.572
126,19.165
127,16.863
128,24.530
129,29.800
130,16.812
131,43.298
132,16.801
133,40.564
134,19.485
135,16.497
136,15.421
137,24.337
138,16.591
139,18.539
140,33.846
141,26.155
142,14.585
143,19.710
144,19.278
145,15.538
146,23.683
147,16.068
148,19.595
149,25.720
150,30.926
151,17.307
152,29.957
153,18.569
154,30.262
155,18.069
156,20.643
157,15.351
158,24.315
159,13.872
160,22.426
161,14.625
162,17.983
163,24.389
164,41.414
165,16.407
166,25.128
167,15.673
168,20.700
169,18.577
170,15.845
171,25.313
