Time(s),V_pv_instant(V),V_mppt(V),I_pv(A),P_pv(W),P_ref(W),V_out(V),I_L(A),Duty
0.029,17.0552,17.0552,1.94536,33.1785,34.9614,24.0972,1.94536,0.3
0.058,10.6174,10.6174,1.97115,20.9285,34.9614,24.0651,1.97115,0.566667
0.087,14.2388,14.2388,1.96196,27.9359,34.9614,24.0835,1.96196,0.416667
0.116,17.8558,17.8558,1.92079,34.2974,34.9614,24.1,1.92079,0.266667
0.145,21.3289,21.3289,0.862928,18.4053,34.9614,24.0532,0.862928,0.116667
0.174,10.6103,10.6103,1.9721,20.9245,34.9614,24.0651,1.9721,0.566667
0.203,14.2387,14.2387,1.96478,27.9759,34.9614,24.0836,1.96478,0.416667
0.232,15.004,15.004,1.9535,29.3103,34.9614,24.0872,1.9535,0.384131
0.261,17.8555,17.8555,1.92121,34.3041,34.9614,24.1,1.92121,0.266667
0.29,17.8568,17.8568,1.92789,34.4259,35.0839,24.1004,1.92789,0.266667
0.319,14.2364,14.2364,1.98828,28.3059,35.4068,24.0846,1.98828,0.416667
0.348,16.3862,16.3862,1.99346,32.6652,35.7297,24.096,1.99346,0.32842
0.377,18.6449,18.6449,1.93528,36.0833,36.0526,24.1048,1.93528,0.234131
0.406,17.8667,17.8667,2.00268,35.7813,36.3756,24.1043,2.00268,0.266667
0.435,16.0459,16.0459,2.06297,33.1022,36.6985,24.0976,2.06297,0.341667
0.464,10.6329,10.6329,2.09453,22.2709,37.0214,24.0692,2.09453,0.566667
0.493,18.5786,18.5786,2.01371,37.412,37.3443,24.1086,2.01371,0.237313
0.522,20.4089,20.4089,1.57821,32.2096,37.6672,24.093,1.57821,0.159131
0.551,18.743,18.743,2.03358,38.1153,37.9902,24.1105,2.03358,0.230636
0.58,19.6659,19.6659,1.88655,37.1008,38.3131,24.1072,1.88655,0.191667
0.609,8.33463,8.33463,2.19926,18.33,38.636,24.0593,2.19926,0.661899
0.638,19.8404,19.8404,1.86573,37.0168,38.9589,24.1069,1.86573,0.184335
0.667,18.3713,18.3713,2.14049,39.3236,39.2818,24.1142,2.14049,0.246585
0.696,19.1827,19.1827,2.05909,39.4989,39.6048,24.1143,2.05909,0.212621
0.725,21.0127,21.0127,1.25158,26.2991,39.9277,24.0759,1.25158,0.132167
0.754,11.9753,11.9753,2.28411,27.353,40.2506,24.0834,2.28411,0.511899
0.783,18.9983,18.9983,2.14135,40.6821,40.5735,24.1178,2.14135,0.220702
0.812,18.3042,18.3042,2.23743,40.9545,40.8964,24.1189,2.23743,0.249897
0.841,19.4061,19.4061,2.0964,40.6829,41.2194,24.1176,2.0964,0.203613
0.87,20.8075,20.8075,1.46063,30.392,41.5423,24.0876,1.46063,0.141935
0.899,15.5214,15.5214,2.3726,36.826,41.8652,24.1085,2.3726,0.366754
0.928,18.2386,18.2386,2.31601,42.2407,42.1881,24.1226,2.31601,0.253043
0.957,18.2767,18.2767,2.33134,42.6093,42.511,24.1236,2.33134,0.251553
0.986,17.599,17.599,2.39013,42.0639,42.8339,24.1225,2.39013,0.279842
1.015,17.3099,17.3099,2.41955,41.8822,43.1569,24.1221,2.41955,0.291935
1.044,19.1126,19.1126,2.27582,43.4968,43.4798,24.1257,2.27582,0.216754
1.073,17.9038,17.9038,2.43122,43.528,43.8027,24.1265,2.43122,0.267493
1.102,18.2691,18.2691,2.42357,44.2764,44.1256,24.1284,2.42357,0.252381
1.131,17.6244,17.6244,2.48314,43.7638,44.4485,24.1273,2.48314,0.279303
