Time(s),V_pv_instant(V),V_mppt(V),I_pv(A),P_pv(W),P_ref(W),V_out(V),I_L(A),Duty
0.0002,18.9829,18.9829,2,37.9657,34.9614,24.1598,2.3209,0.3
0.0004,4.02087,4.02087,2,8.04173,34.9614,24.2001,3.03307,0.566667
0.0006,14.9678,14.9678,0.0164499,0.246218,34.9614,24.0036,0.0164499,0.416667
0.0008,20.6972,20.6972,1.54007,31.875,34.9614,24.1063,1.54007,0.266667
0.001,20.9315,20.9315,1.08258,22.66,34.9614,24.0755,1.08258,0.116667
0.0012,0.501326,0.501326,2,1.00265,34.9614,24.2695,4.66373,0.716667
0.0014,4.71412,4.71412,0,0,34.9614,24.0003,-7.33277e-08,0.623131
0.0016,17.6533,17.6533,1.87028,33.0166,34.9614,24.1216,1.87028,0.566667
0.0018,12.0479,12.0479,2,24.0958,34.9614,24.1691,2.46183,0.416667
0.002,19.9459,19.9459,0.46903,9.35521,34.9614,24.0333,0.46903,0.266667
0.0022,2.66299,2.66299,2,5.32597,34.9614,24.2841,4.89483,0.716667
0.0024,-0.511699,-0.511699,0,-0,34.9614,23.9995,-0.0951753,0.773131
0.0026,14.0569,14.0569,1.55825,21.9041,34.9614,24.0912,1.55825,0.716667
0.0028,9.22226,9.22226,2,18.4445,34.9614,24.1777,2.70341,0.566667
0.003,15.3826,15.3826,0.43902,6.75325,34.9614,24.0318,0.43902,0.416667
0.0032,5.33066,5.33066,2,10.6613,34.9614,24.255,4.36554,0.716667
0.0034,5.07247,5.07247,2.78648e-07,1.41343e-06,34.9614,24.0003,2.78648e-07,0.623131
0.0036,17.4998,17.4998,1.98672,34.7671,34.9614,24.1286,1.98672,0.572
0.0038,11.834,11.834,2,23.668,34.9614,24.1614,2.35954,0.416667
0.004,8.58304,8.58304,1.77578,15.2416,34.9614,24.1176,1.77578,0.566667
0.0042,6.30408,6.30408,2,12.6082,34.9614,24.1328,2.27615,0.716667
0.0044,9.09388,9.09388,1.23708,11.2499,34.9614,24.0787,1.23708,0.651367
0.0046,7.18269,7.18269,2,14.3654,34.9614,24.1608,2.7563,0.722
0.0048,14.2405,14.2405,0.293126,4.17427,34.9614,24.022,0.293126,0.475254
0.005,10.7056,10.7056,2,21.4111,34.9614,24.2407,3.77383,0.609648
0.0052,-0.39017,-0.39017,1.29941,-0.506993,34.9614,24.0789,1.29941,0.716667
0.0054,13.7879,13.7879,0.951835,13.1238,34.9614,24.058,0.951835,0.691488
0.0056,3.85467,3.85467,2,7.70934,34.9614,24.2184,3.88533,0.746611
0.0058,7.16971,7.16971,0,0,34.9614,24.001,-5.56469e-07,0.625254
0.006,19.7315,19.7315,1.78502,35.2211,34.9614,24.1201,1.78502,0.459647
0.0062,-0.945181,-0.945181,2,-1.89036,34.9614,24.244,4.16764,0.716667
0.0064,4.38687,4.38687,0,0,34.9614,24.0006,-4.86369e-08,0.719578
0.0066,15.8709,15.8709,2,31.7417,34.9614,24.1396,2.22074,0.638046
0.0068,1.28944,1.28944,2,2.57887,34.9614,24.1899,3.13961,0.691864
0.007,10.5479,10.5479,0.0228757,0.241291,34.9614,24.0043,0.0228757,0.609648
0.0072,9.63536,9.63536,2,19.2707,34.9614,24.2215,3.80821,0.716667
0.0074,-0.296396,-0.296396,1.14912,-0.340593,34.9614,24.0689,1.14912,0.730457
0.0076,15.7774,15.7774,0.448251,7.07221,34.9614,24.0312,0.448251,0.539401
0.0078,8.67633,8.67633,2,17.3527,34.9614,24.2536,3.99475,0.625476
0.008,5.16757,5.16757,0.251873,1.30157,34.9614,24.0202,0.251873,0.596816
0.0082,12.595,12.595,2,25.19,34.9614,24.1577,2.70376,0.716667
0.0084,1.91648,1.91648,2,3.83296,34.9614,24.1379,2.26721,0.697878
0.0086,10.8626,10.8626,0.603614,6.55681,34.9614,24.0386,0.603614,0.680402
0.0088,16.4504,16.4504,2,32.9008,34.9614,24.166,2.48617,0.499893
0.009,-1.27548,-1.27548,2,-2.55096,34.9614,24.1875,3.2316,0.729248
0.0092,7.77331,7.77331,0.0165417,0.128584,34.9614,24.0036,0.0165417,0.716667
0.0094,13.2511,13.2511,2,26.5022,34.9614,24.1901,3.11542,0.672083
0.0096,-2.16518,-2.16518,2,-4.33035,34.9614,24.1329,2.40372,0.763309
0.0098,11.2054,11.2054,0.142173,1.5931,34.9614,24.0113,0.142173,0.649893
