# RTT Statistics — External P&O MPPT
# mean_ms,std_ms,max_ms,p99_ms,n_samples
# 30.302,10.940,109.297,53.221,25000
sample_index,rtt_ms
0,29.234
1,38.536
2,19.378
3,25.565
4,16.866
5,37.426
6,49.660
7,29.418
8,26.602
9,38.468
10,38.998
11,31.984
12,34.211
13,15.972
14,35.322
15,23.126
16,45.885
17,15.659
18,42.505
19,37.821
20,31.628
21,32.201
22,14.844
23,29.468
24,37.521
25,38.246
26,31.446
27,28.567
28,33.326
29,34.967
30,12.907
31,12.873
32,15.445
33,38.578
34,30.657
35,39.566
36,35.398
37,13.396
38,38.791
39,37.569
40,25.860
41,39.490
42,41.527
43,14.913
44,36.616
45,32.959
46,35.586
47,27.981
48,35.641
49,41.005
50,36.622
51,39.191
52,15.743
53,34.027
54,35.580
55,38.341
56,43.277
57,29.652
58,14.399
59,36.074
60,36.407
61,37.364
62,37.698
63,27.643
64,14.019
65,40.267
66,23.363
67,25.241
68,25.737
69,24.890
70,38.104
71,34.922
72,38.961
73,30.710
74,12.506
75,13.324
76,27.235
77,26.803
78,37.462
79,36.446
80,32.704
81,53.353
82,34.693
83,39.917
84,15.437
85,18.292
86,35.363
87,14.019
88,25.716
89,34.343
90,26.157
91,37.660
92,24.702
93,35.176
94,25.926
95,39.322
96,44.119
97,38.551
98,14.620
99,46.979
100,38.439
101,29.512
102,34.253
103,37.300
104,37.310
105,14.572
106,26.910
107,25.882
108,42.669
109,39.477
110,39.558
111,33.946
112,48.742
113,27.411
114,30.508
115,24.596
116,14.944
117,33.408
118,26.369
119,36.098
120,16.751
121,22.408
122,12.587
123,38.934
124,37.689
125,18.251
126,23.654
127,31.137
128,16.649
129,37.049
130,12.541
131,21.257
132,15.709
133,39.031
134,41.393
135,47.257
136,39.548
137,22.769
138,13.691
139,29.217
140,38.872
141,16.774
142,50.259
143,24.517
144,38.616
145,36.711
146,35.954
147,36.465
148,27.479
149,41.869
150,26.667
151,15.362
152,22.372
153,27.032
154,36.932
155,23.876
156,22.122
157,15.197
158,34.543
159,29.840
160,14.125
161,31.017
162,24.334
163,42.171
164,35.996
165,46.667
166,31.154
167,37.361
168,35.330
169,25.484
170,31.242
171,16.611
172,32.980
173,37.079
174,16.391
175,43.268
176,12.892
177,35.116
178,28.477
179,33.638
180,19.438
181,30.630
182,30.525
183,46.728
184,40.414
185,45.812
186,31.403
187,15.821
188,36.589
189,23.229
190,47.078
191,13.225
192,41.967
193,27.544
194,14.776
195,26.118
196,32.878
197,43.388
198,42.244
199,29.829
200,51.785
201,49.968
202,35.409
203,42.301
204,13.590
205,21.735
206,25.562
207,14.511
208,21.293
209,31.781
210,35.784
211,24.128
212,38.233
213,14.241
214,21.215
215,37.403
216,39.648
217,17.158
218,34.548
219,25.649
220,13.304
221,29.141
222,40.931
223,28.678
224,48.554
225,13.714
226,14.770
227,15.748
228,27.869
229,13.599
230,17.957
231,14.313
232,40.011
233,35.721
234,39.181
235,37.850
236,36.637
237,15.080
238,43.762
239,30.174
240,35.928
241,20.067
242,38.441
243,14.237
244,43.487
245,38.362
246,37.353
247,37.036
248,40.427
249,40.156
250,27.260
251,20.249
252,14.857
253,29.670
254,39.600
255,13.897
256,17.909
257,12.556
258,22.022
259,37.298
260,14.657
261,15.377
262,13.722
263,48.166
264,32.476
265,21.489
266,16.718
267,17.189
268,23.660
269,16.456
270,31.656
271,14.416
272,21.115
273,34.410
274,41.825
275,35.103
276,43.264
277,14.505
278,37.661
279,29.738
280,12.565
281,19.603
282,37.749
283,32.919
284,34.356
285,24.952
286,17.775
287,23.001
288,25.142
289,37.121
290,13.779
291,31.748
292,38.209
293,41.191
294,13.764
295,26.691
296,13.748
297,21.688
298,19.023
299,38.919
300,35.590
301,27.266
302,37.127
303,25.657
304,46.215
305,16.626
306,39.212
307,48.363
308,22.144
309,38.993
310,28.717
311,34.308
312,21.640
313,39.615
314,14.636
315,22.269
316,13.983
317,17.627
318,37.771
319,13.534
320,16.382
321,42.426
322,12.844
323,13.652
324,28.410
325,37.603
326,39.272
327,36.639
328,26.580
329,45.923
330,30.469
331,33.420
332,37.383
333,40.118
334,24.939
335,39.062
336,47.762
337,14.910
338,36.693
339,15.499
340,12.971
341,35.775
342,37.359
343,38.881
344,26.789
345,34.452
346,23.230
347,19.467
348,28.606
349,50.968
350,40.018
351,17.639
352,42.339
353,38.673
354,35.414
355,28.248
356,40.701
357,28.263
358,13.385
359,34.777
360,37.327
361,47.733
362,27.876
363,37.559
364,37.996
365,38.214
366,38.784
367,40.404
368,36.691
369,37.675
370,36.893
371,44.270
372,38.731
373,14.274
374,38.004
375,38.402
376,12.824
377,30.967
378,26.271
379,36.696
380,14.017
381,46.053
382,32.426
383,26.884
384,13.481
385,32.888
386,35.379
387,14.947
388,15.563
389,32.100
390,18.821
391,26.055
392,31.996
393,30.444
394,24.531
395,24.824
396,32.735
397,23.720
398,26.057
399,37.983
400,39.841
401,40.875
402,41.726
403,26.733
404,37.658
405,25.329
406,37.917
407,38.025
408,14.016
409,32.269
410,36.955
411,24.396
412,33.161
413,33.105
414,46.589
415,13.062
416,15.281
417,44.115
418,15.703
419,18.991
420,13.992
421,28.605
422,15.941
423,25.630
424,51.037
425,38.203
426,36.061
427,26.033
428,44.613
429,32.615
430,51.417
431,13.750
432,34.483
433,28.320
434,31.052
435,14.719
436,27.982
437,16.479
438,18.211
439,13.549
440,30.195
441,38.996
442,40.242
443,32.966
444,13.719
445,28.214
446,41.480
447,13.674
448,40.313
449,38.608
450,35.347
451,24.403
452,50.207
453,30.521
454,13.585
455,26.128
456,32.823
457,30.827
458,25.581
459,40.775
460,52.509
461,33.128
462,38.796
463,16.129
464,18.109
465,45.283
466,34.675
467,42.019
468,12.771
469,26.273
470,38.582
471,13.234
472,34.589
473,35.218
474,12.839
475,29.521
476,26.143
477,37.961
478,46.840
479,14.080
480,13.087
481,50.471
482,13.012
483,29.797
484,32.807
485,36.293
486,29.871
487,52.462
488,53.756
489,27.083
490,52.641
491,12.117
492,35.324
493,37.826
494,42.195
495,44.410
496,33.306
497,43.622
498,32.097
499,30.239
500,27.234
501,13.032
502,34.575
503,27.848
504,36.787
505,47.210
506,14.244
507,35.840
508,37.067
509,40.383
510,15.643
511,15.812
512,18.264
513,15.854
514,25.777
515,40.509
516,43.220
517,29.770
518,37.013
519,28.434
520,33.796
521,38.514
522,36.523
523,16.443
524,30.749
525,19.735
526,38.282
527,37.024
528,21.414
529,35.260
530,12.841
531,15.556
532,47.955
533,16.208
534,32.212
535,36.674
536,26.783
537,35.677
538,28.150
539,32.381
540,13.155
541,25.089
542,12.865
543,24.085
544,39.810
545,39.955
546,15.632
547,42.784
548,37.850
549,24.110
550,42.467
551,12.589
552,26.957
553,28.589
554,45.026
555,27.172
556,18.672
557,13.395
558,36.994
559,39.575
560,52.453
561,21.104
562,33.863
563,30.263
564,58.137
565,38.360
566,13.118
567,22.893
568,25.981
569,23.257
570,34.572
571,13.025
572,36.695
573,22.568
574,24.196
575,37.744
576,48.650
577,14.940
578,35.127
579,26.952
580,52.969
581,26.096
582,20.091
583,33.221
584,12.930
585,39.544
586,45.333
587,34.301
588,38.296
589,28.205
590,39.916
591,14.104
592,21.938
593,32.666
594,26.783
595,39.045
596,25.777
597,35.366
598,41.398
599,36.888
600,15.760
601,39.721
602,39.768
603,39.586
604,36.009
605,39.230
606,41.163
607,53.167
608,16.830
609,14.860
610,14.291
611,41.076
612,36.925
613,39.813
614,39.145
615,28.509
616,12.537
617,39.528
618,37.701
619,13.073
620,32.469
621,36.854
622,23.827
623,40.214
624,35.471
625,15.117
626,28.965
627,41.881
628,13.820
629,42.643
630,18.798
631,39.150
632,27.071
633,36.809
634,37.164
635,38.070
636,36.564
637,24.162
638,45.700
639,32.452
640,50.916
641,38.884
642,15.928
643,26.997
644,25.577
645,15.427
646,37.289
647,31.123
648,16.750
649,39.442
650,12.855
651,34.507
652,20.974
653,39.792
654,40.207
655,35.819
656,53.556
657,40.352
658,15.853
659,40.823
660,38.901
661,38.256
662,28.594
663,41.818
664,30.711
665,14.896
666,30.789
667,12.333
668,19.191
669,12.625
670,28.156
671,27.044
672,38.677
673,37.638
674,20.422
675,13.347
676,35.561
677,20.174
678,25.550
679,21.068
680,12.326
681,36.594
682,24.030
683,16.801
684,46.043
685,34.913
686,37.521
687,37.994
688,14.047
689,36.442
690,49.431
691,35.951
692,38.376
693,17.904
694,14.935
695,22.337
696,31.333
697,49.646
698,28.554
699,35.815
700,21.978
701,14.896
702,27.039
703,40.192
704,19.128
705,45.659
706,31.636
707,50.762
708,24.490
709,24.381
710,38.065
711,20.961
712,23.198
713,26.147
714,35.872
715,44.611
716,15.203
717,38.608
718,38.959
719,34.853
720,32.141
721,15.276
722,35.892
723,37.830
724,44.685
725,34.464
726,35.247
727,23.275
728,26.789
729,37.935
730,42.012
731,37.543
732,42.476
733,30.852
734,36.712
735,21.206
736,38.856
737,32.480
738,32.963
739,55.063
740,38.515
741,43.716
742,13.239
743,45.454
744,30.329
745,14.988
746,24.338
747,33.873
748,35.696
749,44.957
750,13.395
751,28.643
752,41.078
753,36.782
754,45.568
755,13.519
756,16.885
757,14.496
758,35.607
759,38.743
760,40.604
761,34.975
762,14.328
763,29.820
764,24.840
765,41.774
766,39.346
767,13.110
768,39.722
769,19.287
770,24.235
771,24.231
772,37.555
773,33.954
774,14.421
775,36.749
776,39.475
777,37.384
778,13.201
779,27.619
780,31.632
781,47.912
782,15.765
783,34.185
784,40.082
785,35.348
786,36.249
787,18.235
788,29.517
789,38.779
790,16.806
791,43.578
792,33.331
793,36.622
794,17.767
795,38.233
796,39.642
797,38.244
798,48.106
799,28.356
800,15.300
801,35.116
802,35.690
803,46.700
804,29.648
805,37.641
806,22.423
807,42.500
808,35.358
809,39.166
810,48.997
811,28.186
812,44.051
813,27.029
814,41.285
815,25.311
816,36.375
817,13.696
818,45.900
819,22.303
820,37.658
821,42.937
822,39.249
823,31.348
824,48.532
825,33.441
826,36.616
827,22.368
828,37.545
829,39.829
830,46.782
831,30.760
832,31.982
833,37.178
834,39.591
835,19.689
